"Titre de tracé : p33t"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
1,07/12/16 12:00:00 PM,1.56471,20.007,,,
2,07/12/16 12:15:00 PM,0.62210,14.361,,,
3,07/12/16 12:30:00 PM,0.63614,14.314,,,
4,07/12/16 12:45:00 PM,0.69780,14.218,,,
5,07/12/16 01:00:00 PM,0.66911,14.098,,,
6,07/12/16 01:15:00 PM,0.64408,14.242,,,
7,07/12/16 01:30:00 PM,0.63980,14.314,,,
8,07/12/16 01:45:00 PM,0.63919,14.290,,,
9,07/12/16 02:00:00 PM,0.63736,14.385,,,
10,07/12/16 02:15:00 PM,0.72711,14.409,,,
11,07/12/16 02:30:00 PM,0.80220,14.601,,,
12,07/12/16 02:45:00 PM,0.83639,14.577,,,
13,07/12/16 03:00:00 PM,0.89133,14.745,,,
14,07/12/16 03:15:00 PM,0.91392,14.577,,,
15,07/12/16 03:30:00 PM,0.97924,14.649,,,
16,07/12/16 03:45:00 PM,1.03846,14.792,,,
17,07/12/16 04:00:00 PM,1.03724,14.840,,,
18,07/12/16 04:15:00 PM,1.02442,14.601,,,
19,07/12/16 04:30:00 PM,1.08852,14.673,,,
20,07/12/16 04:45:00 PM,1.08181,14.553,,,
21,07/12/16 05:00:00 PM,1.12027,14.697,,,
22,07/12/16 05:15:00 PM,1.14286,14.601,,,
23,07/12/16 05:30:00 PM,1.13553,14.864,,,
24,07/12/16 05:45:00 PM,1.14713,14.864,,,
25,07/12/16 06:00:00 PM,1.13248,14.984,,,
26,07/12/16 06:15:00 PM,1.10684,14.768,,,
27,07/12/16 06:30:00 PM,1.12210,14.792,,,
28,07/12/16 06:45:00 PM,1.12454,14.625,,,
29,07/12/16 07:00:00 PM,1.13248,14.697,,,
30,07/12/16 07:15:00 PM,1.12637,14.505,,,
31,07/12/16 07:30:00 PM,1.14347,14.529,,,
32,07/12/16 07:45:00 PM,1.14103,14.385,,,
33,07/12/16 08:00:00 PM,1.14896,14.361,,,
34,07/12/16 08:15:00 PM,1.19658,14.433,,,
35,07/12/16 08:30:00 PM,1.17399,14.242,,,
36,07/12/16 08:45:00 PM,1.16606,14.098,,,
37,07/12/16 09:00:00 PM,1.12759,14.146,,,
38,07/12/16 09:15:00 PM,1.16545,14.218,,,
39,07/12/16 09:30:00 PM,1.19658,14.050,,,
40,07/12/16 09:45:00 PM,1.20147,14.122,,,
41,07/12/16 10:00:00 PM,1.20574,13.930,,,
