Date/Heure,Temperature,Tension 
2015/12/08 13:00:00,8.548,1.13867 
2015/12/08 13:15:00,8.644,1.21344 
2015/12/08 13:30:00,8.691,1.23728 
2015/12/08 13:45:00,8.759,1.25631 
2015/12/08 14:00:00,8.840,1.26394 
2015/12/08 14:15:00,8.892,1.25807 
2015/12/08 14:30:00,8.937,1.27226 
2015/12/08 14:45:00,8.971,1.25540 
2015/12/08 15:00:00,8.998,1.26280 
2015/12/08 15:15:00,9.024,1.27592 
2015/12/08 15:30:00,9.052,1.27359 
2015/12/08 15:45:00,9.075,1.27501 
2015/12/08 16:00:00,9.094,1.27588 
2015/12/08 16:15:00,9.112,1.27573 
2015/12/08 16:30:00,9.134,1.28004 
2015/12/08 16:45:00,9.154,1.27901 
2015/12/08 17:00:00,9.183,1.28016 
2015/12/08 17:15:00,9.225,1.28084 
2015/12/08 17:30:00,9.270,1.28119 
2015/12/08 17:45:00,9.315,1.28157 
2015/12/08 18:00:00,9.356,1.27928 
2015/12/08 18:15:00,9.386,1.27905 
2015/12/08 18:30:00,9.430,1.28107 
2015/12/08 18:45:00,9.469,1.27687 
2015/12/08 19:00:00,9.523,1.27546 
2015/12/08 19:15:00,9.577,1.27409 
2015/12/08 19:30:00,9.615,1.27321 
2015/12/08 19:45:00,9.629,1.27203 
2015/12/08 20:00:00,9.634,1.26944 
2015/12/08 20:15:00,9.638,1.26905 
2015/12/08 20:30:00,9.648,1.26898 
2015/12/08 20:45:00,9.654,1.26913 
2015/12/08 21:00:00,9.669,1.26860 
2015/12/08 21:15:00,9.686,1.26856 
2015/12/08 21:30:00,9.705,1.26894 
2015/12/08 21:45:00,9.725,1.27169 
2015/12/08 22:00:00,9.748,1.27649 
2015/12/08 22:15:00,9.774,1.28233 
2015/12/08 22:30:00,9.789,1.28485 
2015/12/08 22:45:00,9.792,1.28843 
2015/12/08 23:00:00,9.801,1.28603 
2015/12/08 23:15:00,9.815,1.28645 
2015/12/08 23:30:00,9.769,1.28557 
2015/12/08 23:45:00,9.734,1.28489 
2015/12/09 00:00:00,9.703,1.28607 
2015/12/09 00:15:00,9.678,1.28603 
2015/12/09 00:30:00,9.691,1.28523 
2015/12/09 00:45:00,9.691,1.28359 
2015/12/09 01:00:00,9.668,1.28378 
2015/12/09 01:15:00,9.648,1.28164 
2015/12/09 01:30:00,9.624,1.28237 
2015/12/09 01:45:00,9.588,1.28099 
2015/12/09 02:00:00,9.558,1.28122 
2015/12/09 02:15:00,9.506,1.28023 
2015/12/09 02:30:00,9.435,1.28016 
2015/12/09 02:45:00,9.384,1.28084 
2015/12/09 03:00:00,9.330,1.27905 
2015/12/09 03:15:00,9.265,1.27890 
2015/12/09 03:30:00,9.203,1.28008 
2015/12/09 03:45:00,9.121,1.27787 
2015/12/09 04:00:00,9.074,1.27752 
2015/12/09 04:15:00,9.009,1.27756 
2015/12/09 04:30:00,8.928,1.27634 
2015/12/09 04:45:00,8.877,1.27481 
2015/12/09 05:00:00,8.824,1.27359 
2015/12/09 05:15:00,8.756,1.27310 
2015/12/09 05:30:00,8.700,1.27409 
2015/12/09 05:45:00,8.643,1.27272 
2015/12/09 06:00:00,8.588,1.27287 
2015/12/09 06:15:00,8.526,1.27340 
2015/12/09 06:30:00,8.470,1.27241 
2015/12/09 06:45:00,8.416,1.27073 
2015/12/09 07:00:00,8.366,1.27054 
2015/12/09 07:15:00,8.310,1.26967 
2015/12/09 07:30:00,8.258,1.26993 
2015/12/09 07:45:00,8.212,1.26787 
2015/12/09 08:00:00,8.157,1.26883 
2015/12/09 08:15:00,8.112,1.26875 
2015/12/09 08:30:00,8.057,1.26669 
2015/12/09 08:45:00,8.014,1.26722 
2015/12/09 09:00:00,7.979,1.26555 
2015/12/09 09:15:00,7.943,1.26570 
2015/12/09 09:30:00,7.910,1.26432 
2015/12/09 09:45:00,7.879,1.26539 
2015/12/09 10:00:00,7.849,1.26436 
2015/12/09 10:15:00,7.829,1.26390 
2015/12/09 10:30:00,7.821,1.26284 
2015/12/09 10:45:00,7.818,1.26307 
2015/12/09 11:00:00,7.829,1.26257 
2015/12/09 11:15:00,7.842,1.26169 
2015/12/09 11:30:00,7.856,1.26162 
2015/12/09 11:45:00,7.888,1.26127 
2015/12/09 12:00:00,7.924,1.26127 
2015/12/09 12:15:00,7.960,1.26120 
2015/12/09 12:30:00,8.009,1.26089 
2015/12/09 12:45:00,8.068,1.26036 
2015/12/09 13:00:00,8.126,1.26078 
2015/12/09 13:15:00,8.188,1.25937 
2015/12/09 13:30:00,8.238,1.25887 
