"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Temperature)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Temperature)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Temperature)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161, LBL: Temperature)" 
2015/12/08 13:00:00,8.742,-94.792,9.262,10.173 
2015/12/08 13:15:00,8.668,-94.792,9.213,10.100 
2015/12/08 13:30:00,8.668,-94.792,9.213,10.051 
2015/12/08 13:45:00,8.668,-94.792,9.188,10.051 
2015/12/08 14:00:00,8.693,-94.792,9.188,10.026 
2015/12/08 14:15:00,8.693,-94.792,9.163,10.026 
2015/12/08 14:30:00,8.717,-94.792,9.163,10.026 
2015/12/08 14:45:00,8.767,-94.792,9.139,10.001 
2015/12/08 15:00:00,8.767,-94.792,9.163,10.001 
2015/12/08 15:15:00,8.817,-94.792,9.163,10.001 
2015/12/08 15:30:00,8.817,-94.792,9.163,10.001 
2015/12/08 15:45:00,8.841,-94.792,9.163,10.001 
2015/12/08 16:00:00,8.866,-94.792,9.139,10.001 
2015/12/08 16:15:00,8.891,-94.792,9.139,9.977 
2015/12/08 16:30:00,8.916,-94.792,9.139,9.977 
2015/12/08 16:45:00,8.941,-94.792,9.139,9.977 
2015/12/08 17:00:00,8.941,-94.792,9.139,9.977 
2015/12/08 17:15:00,8.965,-94.792,9.139,9.977 
2015/12/08 17:30:00,8.990,-94.792,9.139,9.977 
2015/12/08 17:45:00,8.990,-94.792,9.139,9.977 
2015/12/08 18:00:00,9.015,-94.792,9.139,9.952 
2015/12/08 18:15:00,9.040,-94.792,9.114,9.977 
2015/12/08 18:30:00,9.064,-94.792,9.089,9.977 
2015/12/08 18:45:00,9.089,-94.792,9.089,9.977 
2015/12/08 19:00:00,9.114,-94.792,9.089,9.977 
2015/12/08 19:15:00,9.139,-94.792,9.089,9.977 
2015/12/08 19:30:00,9.188,-94.792,9.064,9.977 
2015/12/08 19:45:00,9.213,-94.792,9.089,10.001 
2015/12/08 20:00:00,9.238,-94.792,9.089,10.001 
2015/12/08 20:15:00,9.262,-94.792,9.089,10.026 
2015/12/08 20:30:00,9.287,-94.792,9.089,10.026 
2015/12/08 20:45:00,9.287,-94.792,9.089,10.051 
2015/12/08 21:00:00,9.312,-94.792,9.089,10.051 
2015/12/08 21:15:00,9.336,-94.792,9.089,10.051 
2015/12/08 21:30:00,9.336,-94.792,9.089,10.051 
2015/12/08 21:45:00,9.361,-94.792,9.089,10.051 
2015/12/08 22:00:00,9.386,-94.792,9.114,10.051 
