"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)" 
2016/03/07 17:00:00,7.695,7.795,7.770,7.444 
2016/03/07 17:15:00,7.645,6.914,7.695,7.393 
2016/03/07 17:30:00,7.619,7.015,7.670,7.393 
2016/03/07 17:45:00,7.619,7.066,7.670,7.393 
2016/03/07 18:00:00,7.619,7.142,7.645,7.419 
2016/03/07 18:15:00,7.619,8.668,7.645,7.393 
2016/03/07 18:30:00,7.594,8.817,7.645,7.393 
2016/03/07 18:45:00,7.594,8.965,7.645,7.393 
2016/03/07 19:00:00,7.569,8.717,7.645,7.393 
2016/03/07 19:15:00,7.569,8.170,7.645,7.393 
2016/03/07 19:30:00,7.544,8.170,7.645,7.393 
2016/03/07 19:45:00,7.519,8.195,7.645,7.419 
2016/03/07 20:00:00,7.519,8.170,7.645,7.419 
2016/03/07 20:15:00,7.494,8.170,7.645,7.419 
2016/03/07 20:30:00,7.469,8.170,7.645,7.393 
2016/03/07 20:45:00,7.469,8.170,7.645,7.419 
2016/03/07 21:00:00,7.444,8.145,7.619,7.419 
2016/03/07 21:15:00,7.419,8.145,7.619,7.419 
2016/03/07 21:30:00,7.419,8.145,7.645,7.419 
2016/03/07 21:45:00,7.393,8.120,7.645,7.419 
2016/03/07 22:00:00,7.393,8.120,7.645,7.419 
2016/03/07 22:15:00,7.368,8.120,7.645,7.419 
2016/03/07 22:30:00,7.343,8.120,7.645,7.419 
2016/03/07 22:45:00,7.318,8.120,7.645,7.419 
2016/03/07 23:00:00,7.293,8.095,7.645,7.419 
2016/03/07 23:15:00,7.293,8.095,7.645,7.419 
2016/03/07 23:30:00,7.268,8.095,7.645,7.419 
2016/03/07 23:45:00,7.242,8.070,7.645,7.419 
2016/03/08 00:00:00,7.217,8.070,7.645,7.419 
2016/03/08 00:15:00,7.192,8.070,7.645,7.419 
2016/03/08 00:30:00,7.192,8.045,7.619,7.393 
2016/03/08 00:45:00,7.167,8.045,7.619,7.419 
2016/03/08 01:00:00,7.142,8.020,7.619,7.419 
2016/03/08 01:15:00,7.116,8.020,7.619,7.393 
2016/03/08 01:30:00,7.116,7.995,7.619,7.419 
2016/03/08 01:45:00,7.091,7.970,7.619,7.419 
2016/03/08 02:00:00,7.066,7.970,7.619,7.393 
2016/03/08 02:15:00,7.041,7.945,7.619,7.419 
2016/03/08 02:30:00,7.015,7.945,7.619,7.419 
2016/03/08 02:45:00,6.990,7.920,7.619,7.419 
2016/03/08 03:00:00,6.965,7.920,7.594,7.419 
2016/03/08 03:15:00,6.940,7.920,7.594,7.419 
2016/03/08 03:30:00,6.940,7.895,7.594,7.419 
2016/03/08 03:45:00,6.914,7.895,7.594,7.419 
2016/03/08 04:00:00,6.914,7.895,7.594,7.419 
2016/03/08 04:15:00,6.914,7.870,7.619,7.419 
2016/03/08 04:30:00,6.889,7.870,7.594,7.419 
2016/03/08 04:45:00,6.864,7.870,7.594,7.419 
2016/03/08 05:00:00,6.864,7.845,7.594,7.419 
2016/03/08 05:15:00,6.864,7.845,7.619,7.419 
2016/03/08 05:30:00,6.839,7.870,7.619,7.419 
2016/03/08 05:45:00,6.839,7.845,7.645,7.419 
2016/03/08 06:00:00,6.839,7.820,7.645,7.419 
2016/03/08 06:15:00,6.813,7.845,7.645,7.393 
2016/03/08 06:30:00,6.813,7.745,7.619,7.419 
2016/03/08 06:45:00,6.813,7.745,7.645,7.393 
2016/03/08 07:00:00,6.813,7.745,7.645,7.393 
2016/03/08 07:15:00,6.813,7.745,7.619,7.419 
2016/03/08 07:30:00,6.788,7.720,7.619,7.419 
2016/03/08 07:45:00,6.788,7.745,7.619,7.393 
2016/03/08 08:00:00,6.788,7.745,7.594,7.393 
2016/03/08 08:15:00,6.788,7.745,7.594,7.393 
2016/03/08 08:30:00,6.788,7.745,7.594,7.393 
2016/03/08 08:45:00,6.763,7.720,7.594,7.393 
2016/03/08 09:00:00,6.788,7.720,7.594,7.393 
2016/03/08 09:15:00,6.788,7.720,7.594,7.393 
2016/03/08 09:30:00,6.788,7.720,7.619,7.393 
2016/03/08 09:45:00,6.788,7.695,7.594,7.393 
2016/03/08 10:00:00,6.813,7.720,7.594,7.393 
2016/03/08 10:15:00,6.839,7.695,7.594,7.393 
2016/03/08 10:30:00,6.864,7.695,7.594,7.393 
2016/03/08 10:45:00,6.864,7.695,7.594,7.393 
2016/03/08 11:00:00,6.889,7.695,7.594,7.393 
2016/03/08 11:15:00,6.940,7.695,7.594,7.393 
2016/03/08 11:30:00,6.965,7.695,7.594,7.393 
2016/03/08 11:45:00,6.990,7.720,7.594,7.393 
2016/03/08 12:00:00,7.066,7.720,7.594,7.393 
2016/03/08 12:15:00,7.116,7.720,7.594,7.393 
2016/03/08 12:30:00,7.142,7.720,7.569,7.393 
2016/03/08 12:45:00,7.167,7.745,7.569,7.393 
2016/03/08 13:00:00,7.192,7.745,7.569,7.393 
2016/03/08 13:15:00,7.217,7.770,7.569,7.393 
2016/03/08 13:30:00,7.242,7.795,7.544,7.393 
2016/03/08 13:45:00,7.293,7.920,7.569,7.393 
2016/03/08 14:00:00,7.343,8.045,7.569,7.393 
2016/03/08 14:15:00,7.368,7.995,7.594,7.368 
2016/03/08 14:30:00,7.393,8.095,7.594,7.393 
2016/03/08 14:45:00,7.469,13.642,7.619,7.368 
2016/03/08 15:00:00,7.469,7.995,7.594,7.368 
2016/03/08 15:15:00,7.519,7.895,7.594,7.368 
2016/03/08 15:30:00,7.544,7.995,7.594,7.368 
2016/03/08 15:45:00,7.569,8.020,7.619,7.368 
2016/03/08 16:00:00,7.619,8.220,7.619,7.293 
2016/03/08 16:15:00,7.619,8.693,7.619,7.368 
2016/03/08 16:30:00,7.670,9.558,7.619,7.343 
2016/03/08 16:45:00,7.820,85.691,7.770,7.368 
2016/03/08 17:00:00,7.820,88.605,7.795,7.343 
2016/03/08 17:15:00,7.845,90.012,7.795,7.393 
2016/03/08 17:30:00,7.870,91.278,7.795,7.393 
2016/03/08 17:45:00,7.895,92.283,7.795,7.393 
2016/03/08 18:00:00,7.895,92.900,7.795,7.393 
2016/03/08 18:15:00,7.920,93.528,7.795,7.393 
2016/03/08 18:30:00,7.920,94.059,7.820,7.393 
2016/03/08 18:45:00,7.920,94.491,7.820,7.393 
2016/03/08 19:00:00,7.920,94.817,7.820,7.368 
2016/03/08 19:15:00,7.970,95.147,7.820,7.393 
2016/03/08 19:30:00,7.970,95.480,7.820,7.368 
2016/03/08 19:45:00,7.970,95.929,7.845,7.368 
2016/03/08 20:00:00,7.970,96.155,7.845,7.393 
2016/03/08 20:15:00,7.970,96.383,7.845,7.393 
2016/03/08 20:30:00,7.970,96.498,7.820,7.393 
2016/03/08 20:45:00,7.945,96.498,7.820,7.393 
2016/03/08 21:00:00,7.945,96.613,7.845,7.393 
2016/03/08 21:15:00,7.945,96.728,7.845,7.393 
2016/03/08 21:30:00,7.945,96.844,7.845,7.393 
2016/03/08 21:45:00,7.920,97.076,7.845,7.393 
2016/03/08 22:00:00,7.920,97.310,7.870,7.393 
2016/03/08 22:15:00,7.920,97.546,7.845,7.393 
2016/03/08 22:30:00,7.920,97.664,7.845,7.393 
2016/03/08 22:45:00,7.895,98.141,7.845,7.393 
2016/03/08 23:00:00,7.895,98.382,7.870,7.419 
2016/03/08 23:15:00,7.870,98.504,7.870,7.268 
2016/03/08 23:30:00,7.870,98.747,7.870,7.393 
2016/03/08 23:45:00,7.845,98.747,7.895,7.419 
2016/03/09 00:00:00,7.820,98.870,7.895,7.419 
2016/03/09 00:15:00,7.795,99.116,7.895,7.393 
2016/03/09 00:30:00,7.795,99.239,7.895,7.167 
2016/03/09 00:45:00,7.770,99.239,7.920,7.293 
2016/03/09 01:00:00,7.745,99.363,7.920,7.419 
2016/03/09 01:15:00,7.720,99.613,7.920,7.368 
2016/03/09 01:30:00,7.695,99.613,7.920,7.393 
2016/03/09 01:45:00,7.670,99.990,7.945,7.393 
2016/03/09 02:00:00,7.645,99.864,7.945,7.368 
2016/03/09 02:15:00,7.619,99.864,7.945,7.343 
2016/03/09 02:30:00,7.569,99.864,7.945,7.393 
2016/03/09 02:45:00,7.569,99.990,7.945,7.393 
2016/03/09 03:00:00,7.544,99.990,7.945,6.331 
2016/03/09 03:15:00,7.519,99.990,7.945,7.419 
2016/03/09 03:30:00,7.469,99.990,7.945,7.444 
2016/03/09 03:45:00,7.444,100.117,7.945,7.444 
2016/03/09 04:00:00,7.444,100.244,7.945,7.318 
2016/03/09 04:15:00,7.419,100.244,7.945,7.343 
2016/03/09 04:30:00,7.393,100.372,7.945,7.444 
2016/03/09 04:45:00,7.368,100.629,7.970,7.419 
2016/03/09 05:00:00,7.343,101.279,7.970,7.444 
2016/03/09 05:15:00,7.318,101.542,7.970,7.444 
2016/03/09 05:30:00,7.293,101.542,7.970,7.444 
2016/03/09 05:45:00,7.318,101.542,7.970,7.444 
2016/03/09 06:00:00,7.142,30.697,7.820,7.393 
2016/03/09 06:15:00,7.116,8.145,7.795,7.419 
2016/03/09 06:30:00,7.091,8.170,7.795,7.419 
2016/03/09 06:45:00,7.066,8.145,7.795,7.419 
2016/03/09 07:00:00,7.041,8.145,7.795,7.419 
2016/03/09 07:15:00,7.041,8.170,7.795,7.419 
2016/03/09 07:30:00,7.015,8.220,7.795,7.419 
2016/03/09 07:45:00,6.990,8.220,7.795,7.419 
2016/03/09 08:00:00,6.965,8.220,7.795,7.419 
2016/03/09 08:15:00,6.965,8.220,7.795,7.419 
2016/03/09 08:30:00,6.940,8.220,7.795,7.419 
2016/03/09 08:45:00,6.940,8.195,7.795,7.419 
2016/03/09 09:00:00,6.914,8.170,7.795,7.419 
2016/03/09 09:15:00,6.914,8.195,7.795,7.419 
2016/03/09 09:30:00,6.914,8.643,7.795,7.444 
2016/03/09 09:45:00,6.889,8.593,7.770,7.419 
2016/03/09 10:00:00,6.889,8.394,7.770,7.393 
2016/03/09 10:15:00,6.889,8.394,7.770,7.419 
2016/03/09 10:30:00,6.889,8.369,7.770,7.393 
2016/03/09 10:45:00,6.889,8.344,7.770,7.419 
2016/03/09 11:00:00,6.889,8.369,7.770,7.419 
2016/03/09 11:15:00,6.889,8.394,7.745,7.419 
2016/03/09 11:30:00,6.889,8.394,7.745,7.444 
2016/03/09 11:45:00,6.864,8.245,7.745,7.368 
2016/03/09 12:00:00,6.864,8.220,7.745,7.343 
2016/03/09 12:15:00,6.864,8.170,7.720,7.419 
2016/03/09 12:30:00,6.864,8.120,7.720,7.419 
2016/03/09 12:45:00,6.864,8.020,7.720,7.268 
2016/03/09 13:00:00,6.864,7.895,7.720,6.535 
2016/03/09 13:15:00,6.889,7.845,7.720,7.419 
2016/03/09 13:30:00,6.889,7.795,7.720,7.393 
2016/03/09 13:45:00,6.889,7.745,7.720,7.393 
2016/03/09 14:00:00,6.889,7.469,7.695,7.393 
2016/03/09 14:15:00,6.889,7.368,7.695,7.419 
2016/03/09 14:30:00,6.914,7.066,7.695,7.393 
2016/03/09 14:45:00,6.914,7.142,7.695,7.419 
2016/03/09 15:00:00,6.914,7.820,7.695,7.419 
2016/03/09 15:15:00,7.066,95.929,7.870,7.444 
2016/03/09 15:30:00,7.091,101.017,7.870,7.444 
2016/03/09 15:45:00,7.116,124.622,7.870,7.444 
2016/03/09 16:00:00,7.142,124.622,7.845,7.217 
2016/03/09 16:15:00,7.167,124.872,7.870,7.419 
2016/03/09 16:30:00,7.192,125.125,7.845,7.268 
2016/03/09 16:45:00,7.217,125.891,7.845,7.469 
2016/03/09 17:00:00,7.242,127.206,7.845,7.469 
2016/03/09 17:15:00,7.268,128.291,7.845,7.444 
2016/03/09 17:30:00,7.318,129.409,7.845,7.444 
2016/03/09 17:45:00,7.343,130.271,7.845,7.444 
2016/03/09 18:00:00,7.343,130.856,7.820,5.898 
2016/03/09 18:15:00,7.368,132.054,7.845,7.444 
2016/03/09 18:30:00,7.393,136.234,7.845,7.419 
2016/03/09 18:45:00,7.419,136.920,7.820,7.419 
2016/03/09 19:00:00,7.419,137.619,7.820,7.419 
2016/03/09 19:15:00,7.419,138.691,7.820,7.444 
2016/03/09 19:30:00,7.419,139.422,7.820,7.419 
2016/03/09 19:45:00,7.444,139.794,7.795,7.444 
2016/03/09 20:00:00,7.444,140.547,7.795,6.889 
2016/03/09 20:15:00,7.469,140.929,7.795,7.419 
2016/03/09 20:30:00,7.469,140.929,7.770,7.444 
2016/03/09 20:45:00,7.469,140.929,7.770,7.419 
2016/03/09 21:00:00,7.293,7.066,7.594,7.393 
2016/03/09 21:15:00,7.293,7.066,7.569,7.091 
2016/03/09 21:30:00,7.293,7.066,7.594,6.509 
2016/03/09 21:45:00,7.293,7.066,7.594,7.393 
2016/03/09 22:00:00,7.293,7.066,7.569,7.393 
2016/03/09 22:15:00,7.293,7.066,7.569,7.393 
2016/03/09 22:30:00,7.268,7.066,7.569,7.268 
2016/03/09 22:45:00,7.242,7.091,7.569,7.368 
2016/03/09 23:00:00,7.242,7.066,7.569,7.343 
2016/03/09 23:15:00,7.242,7.066,7.569,7.318 
2016/03/09 23:30:00,7.217,7.066,7.569,7.343 
2016/03/09 23:45:00,7.192,7.066,7.544,7.393 
2016/03/10 00:00:00,7.167,7.066,7.544,7.217 
2016/03/10 00:15:00,7.142,7.066,7.544,7.318 
2016/03/10 00:30:00,7.116,7.066,7.544,7.268 
2016/03/10 00:45:00,7.116,7.066,7.544,7.393 
2016/03/10 01:00:00,7.091,7.066,7.519,7.393 
2016/03/10 01:15:00,7.066,7.066,7.519,7.393 
2016/03/10 01:30:00,7.066,7.066,7.519,7.393 
2016/03/10 01:45:00,7.041,7.066,7.519,7.393 
2016/03/10 02:00:00,7.015,7.041,7.519,7.393 
2016/03/10 02:15:00,6.990,7.041,7.519,7.268 
2016/03/10 02:30:00,6.990,7.041,7.519,7.393 
2016/03/10 02:45:00,6.990,7.041,7.519,7.343 
2016/03/10 03:00:00,6.965,7.015,7.519,7.419 
2016/03/10 03:15:00,6.965,7.015,7.544,7.393 
2016/03/10 03:30:00,6.965,7.015,7.544,7.393 
2016/03/10 03:45:00,6.965,7.015,7.569,7.393 
2016/03/10 04:00:00,6.965,7.015,7.569,7.167 
2016/03/10 04:15:00,6.965,6.990,7.569,7.343 
2016/03/10 04:30:00,6.965,6.990,7.569,7.393 
2016/03/10 04:45:00,6.940,6.990,7.569,7.419 
2016/03/10 05:00:00,6.940,6.990,7.544,7.419 
2016/03/10 05:15:00,6.940,6.965,7.544,7.393 
2016/03/10 05:30:00,6.940,6.965,7.544,7.393 
2016/03/10 05:45:00,6.940,6.965,7.544,7.393 
2016/03/10 06:00:00,6.940,6.965,7.544,7.393 
2016/03/10 06:15:00,6.940,6.965,7.544,7.368 
2016/03/10 06:30:00,6.940,6.940,7.544,7.393 
2016/03/10 06:45:00,6.914,6.940,7.544,5.591 
2016/03/10 07:00:00,6.914,6.940,7.544,6.509 
2016/03/10 07:15:00,6.914,6.940,7.544,4.921 
2016/03/10 07:30:00,6.914,6.940,7.544,5.308 
2016/03/10 07:45:00,6.914,6.940,7.544,1.126 
2016/03/10 08:00:00,6.914,6.914,7.519,-6.706 
2016/03/10 08:15:00,6.889,6.914,7.519,-4.957 
2016/03/10 08:30:00,6.914,6.914,7.519,6.889 
2016/03/10 08:45:00,6.889,6.914,7.519,-2.918 
2016/03/10 09:00:00,6.914,6.914,7.519,5.102 
2016/03/10 09:15:00,6.889,6.914,7.494,-6.706 
2016/03/10 09:30:00,6.914,6.914,7.519,6.509 
2016/03/10 09:45:00,6.940,6.914,7.519,1.588 
2016/03/10 10:00:00,6.940,6.889,7.494,-0.789 
2016/03/10 10:15:00,6.965,6.889,7.494,-6.802 
2016/03/10 10:30:00,6.965,6.889,7.494,-6.547 
2016/03/10 10:45:00,6.990,6.889,7.494,-6.136 
2016/03/10 11:00:00,7.041,6.889,7.494,1.344 
2016/03/10 11:15:00,7.066,6.889,7.494,-6.802 
2016/03/10 11:30:00,7.091,6.889,7.494,7.318 
2016/03/10 11:45:00,7.142,6.889,7.519,7.066 
2016/03/10 12:00:00,7.192,6.889,7.494,7.142 
2016/03/10 12:15:00,7.217,6.889,7.494,7.368 
