"Date Heure, GMT+01:00","Temp., °C (SEN S/N: 21049722, LBL: T1)","Temp., °C (SEN S/N: 21049722, LBL: T2)","Temp., °C (SEN S/N: 21049722, LBL: T3)","Temp., °C (SEN S/N: 21049722, LBL: T4)"
05/18/17 12:15:00 PM,246.216,177.188,537.327,330.683
05/18/17 12:30:00 PM,285.42,157.978,304.306,536.327
05/18/17 12:45:00 PM,14.361,14.122,13.738,12.137
05/18/17 01:00:00 PM,14.361,14.098,13.714,12.137
05/18/17 01:15:00 PM,14.361,14.098,13.714,12.137
05/18/17 01:30:00 PM,14.361,14.098,13.714,12.137
05/18/17 01:45:00 PM,14.337,14.098,13.714,12.137
05/18/17 02:00:00 PM,14.337,14.098,13.714,12.137
05/18/17 02:15:00 PM,14.337,14.098,13.714,12.137
05/18/17 02:30:00 PM,14.314,14.074,13.714,12.137
05/18/17 02:45:00 PM,14.314,14.074,13.714,12.137
05/18/17 03:00:00 PM,14.314,14.05,13.714,12.137
05/18/17 03:15:00 PM,14.314,14.05,13.714,12.137
05/18/17 03:30:00 PM,14.29,14.05,13.714,12.137
05/18/17 03:45:00 PM,14.29,14.05,13.714,12.137
05/18/17 04:00:00 PM,14.29,14.05,13.714,12.137
05/18/17 04:15:00 PM,14.29,14.05,13.714,12.137
05/18/17 04:30:00 PM,14.29,14.05,13.69,12.137
05/18/17 04:45:00 PM,14.29,14.05,13.69,12.137
05/18/17 05:00:00 PM,14.29,14.026,13.69,12.137
05/18/17 05:15:00 PM,14.29,14.05,13.69,12.137
05/18/17 05:30:00 PM,14.29,14.05,13.69,12.137
05/18/17 05:45:00 PM,14.314,14.026,13.69,12.137
05/18/17 06:00:00 PM,14.314,14.026,13.69,12.137
05/18/17 06:15:00 PM,14.314,14.05,13.69,12.137
05/18/17 06:30:00 PM,14.314,14.026,13.69,12.161
05/18/17 06:45:00 PM,14.337,14.05,13.69,12.161
05/18/17 07:00:00 PM,14.337,14.026,13.69,12.161
05/18/17 07:15:00 PM,14.361,14.05,13.69,12.161
05/18/17 07:30:00 PM,14.385,14.05,13.69,12.161
05/18/17 07:45:00 PM,14.361,14.05,13.69,12.161
05/18/17 08:00:00 PM,14.385,14.05,13.69,12.161
05/18/17 08:15:00 PM,14.409,14.05,13.69,12.161
05/18/17 08:30:00 PM,14.409,14.05,13.69,12.161
05/18/17 08:45:00 PM,14.409,14.05,13.69,12.161
05/18/17 09:00:00 PM,14.409,14.074,13.69,12.185
05/18/17 09:15:00 PM,14.409,14.074,13.69,12.185
05/18/17 09:30:00 PM,14.409,14.074,13.69,12.185
05/18/17 09:45:00 PM,14.409,14.074,13.69,12.185
05/18/17 10:00:00 PM,14.409,14.074,13.714,12.185
05/18/17 10:15:00 PM,14.409,14.074,13.714,12.185
05/18/17 10:30:00 PM,14.409,14.074,13.714,12.185
05/18/17 10:45:00 PM,14.385,14.074,13.714,12.185
05/18/17 11:00:00 PM,14.385,14.074,13.714,12.185
05/18/17 11:15:00 PM,14.361,14.098,13.714,12.209
05/18/17 11:30:00 PM,14.361,14.074,13.714,12.209
05/18/17 11:45:00 PM,14.361,14.074,13.714,12.209
05/19/17 12:00:00 AM,14.337,14.074,13.714,12.209
05/19/17 12:15:00 AM,14.314,14.074,13.714,12.209
05/19/17 12:30:00 AM,14.314,14.074,13.714,12.209
05/19/17 12:45:00 AM,14.29,14.05,13.714,12.209
05/19/17 01:00:00 AM,14.266,14.074,13.714,12.209
05/19/17 01:15:00 AM,14.242,14.05,13.714,12.209
05/19/17 01:30:00 AM,14.242,14.05,13.714,12.209
05/19/17 01:45:00 AM,14.218,14.05,13.714,12.209
05/19/17 02:00:00 AM,14.194,14.026,13.714,12.209
05/19/17 02:15:00 AM,14.17,14.026,13.714,12.209
05/19/17 02:30:00 AM,14.146,14.026,13.714,12.233
05/19/17 02:45:00 AM,14.122,14.002,13.714,12.233
05/19/17 03:00:00 AM,14.122,13.978,13.714,12.233
05/19/17 03:15:00 AM,14.098,13.978,13.714,12.209
05/19/17 03:30:00 AM,14.074,13.978,13.69,12.209
05/19/17 03:45:00 AM,14.05,13.954,13.69,12.233
05/19/17 04:00:00 AM,14.026,13.954,13.69,12.209
05/19/17 04:15:00 AM,14.002,13.93,13.69,12.209
05/19/17 04:30:00 AM,13.978,13.93,13.69,12.209
05/19/17 04:45:00 AM,13.954,13.906,13.666,12.209
05/19/17 05:00:00 AM,13.93,13.906,13.666,12.209
05/19/17 05:15:00 AM,13.906,13.882,13.666,12.233
05/19/17 05:30:00 AM,13.882,13.858,13.642,12.209
05/19/17 05:45:00 AM,13.834,13.858,13.642,12.209
05/19/17 06:00:00 AM,13.834,13.834,13.642,12.209
