"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 9743325, SEN S/N: 9743325, LBL: Temperature)","Temp., °C (LGR S/N: 9743325, SEN S/N: 9743325, LBL: Température)","Temp., °C (LGR S/N: 9743325, SEN S/N: 9743325, LBL: temperatue)","Temp., °C (LGR S/N: 9743325, SEN S/N: 9743325, LBL: Temperature).1"
2017/05/18 10:30:00,14.457,15.127,13.57,13.57
2017/05/18 10:45:00,14.433,15.008,13.81,13.546
2017/05/18 11:00:00,14.409,14.864,13.858,13.546
2017/05/18 11:15:00,14.385,14.816,13.882,13.594
2017/05/18 11:30:00,14.385,14.792,13.93,13.618
2017/05/18 11:45:00,14.361,14.768,13.978,13.618
2017/05/18 12:00:00,14.361,14.745,14.05,13.618
2017/05/18 12:15:00,14.337,14.745,14.074000000000002,13.642
2017/05/18 12:30:00,14.337,14.720999999999998,14.122,13.618
2017/05/18 12:45:00,14.337,14.697,14.146,13.594
2017/05/18 13:00:00,14.314,14.673,14.194,13.594
2017/05/18 13:15:00,14.314,14.673,14.218,13.594
2017/05/18 13:30:00,14.314,14.673,14.265999999999998,13.618
2017/05/18 13:45:00,14.314,14.649,14.314,13.666
2017/05/18 14:00:00,14.314,14.649,14.337,13.666
2017/05/18 14:15:00,14.29,14.625,14.361,13.714
2017/05/18 14:30:00,14.29,14.625,14.361,13.738
2017/05/18 14:45:00,14.29,14.625,14.385,13.762
2017/05/18 15:00:00,14.29,14.601,14.29,13.762
2017/05/18 15:15:00,14.29,14.577,14.337,13.786
2017/05/18 15:30:00,14.29,14.577,14.361,13.786
2017/05/18 15:45:00,14.314,14.577,14.385,13.81
2017/05/18 16:00:00,14.314,14.553,14.337,13.81
2017/05/18 16:15:00,14.314,14.505,14.337,13.81
2017/05/18 16:30:00,14.337,14.122,14.361,13.834
2017/05/18 16:45:00,14.361,13.305,14.265999999999998,13.93
2017/05/18 17:00:00,14.385,13.112,14.29,13.978
2017/05/18 17:15:00,14.385,13.015999999999998,14.314,14.026
2017/05/18 17:30:00,14.409,11.759,14.337,14.05
2017/05/18 17:45:00,14.433,11.662,14.481,14.074000000000002
2017/05/18 18:00:00,14.433,11.637,14.720999999999998,14.074000000000002
2017/05/18 18:15:00,14.457,11.515999999999998,14.936,14.05
2017/05/18 18:30:00,14.481,11.492,14.912,14.074000000000002
2017/05/18 18:45:00,14.481,11.419,15.008,13.954
2017/05/18 19:00:00,14.505,11.394,15.294,13.882
2017/05/18 19:15:00,14.529000000000002,11.394,15.318,13.762
2017/05/18 19:30:00,14.481,11.394,15.39,13.594
2017/05/18 19:45:00,14.481,11.345999999999998,15.461,12.92
2017/05/18 20:00:00,14.505,11.443,15.461,12.582
2017/05/18 20:15:00,14.409,11.345999999999998,15.39,12.63
2017/05/18 20:30:00,14.361,11.297,15.342,12.654000000000002
2017/05/18 20:45:00,14.361,11.224,15.366,12.122
2017/05/18 21:00:00,14.337,11.127,15.103,12.074000000000002
2017/05/18 21:15:00,14.314,11.102,15.151,12.074000000000002
2017/05/18 21:30:00,14.265999999999998,11.078,15.175,12.05
2017/05/18 21:45:00,14.242,11.053,15.175,12.05
2017/05/18 22:00:00,14.242,11.029000000000002,15.151,12.05
2017/05/18 22:15:00,14.242,10.98,15.055,12.025
2017/05/18 22:30:00,14.218,13.954,14.888,12.001
2017/05/18 22:45:00,14.218,13.906,14.697,11.977
2017/05/18 23:00:00,14.218,13.882,14.481,11.977
2017/05/18 23:15:00,14.194,13.858,14.409,11.977
2017/05/18 23:30:00,14.17,13.834,14.337,11.977
2017/05/18 23:45:00,14.146,13.762,14.361,11.953
2017/05/19 00:00:00,14.122,13.69,14.361,11.953
2017/05/19 00:15:00,14.122,13.618,14.361,11.953
