"Titre de tracé : Hobo_mobile"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Hôte connecté (LGR S/N: 10117164)","Arrêté (LGR S/N: 10117164)","Fin de fichier (LGR S/N: 10117164)"
1,07/12/16 11:00:00 AM,22.154,21.604,20.317,20.650,,,
2,07/12/16 11:15:00 AM,26.500,27.038,23.737,21.819,,,
3,07/12/16 11:30:00 AM,14.553,13.738,13.690,13.738,,,
4,07/12/16 11:45:00 AM,14.768,14.002,13.954,14.002,,,
5,07/12/16 12:00:00 PM,15.031,14.649,14.816,15.079,,,
6,07/12/16 12:15:00 PM,15.270,14.433,14.673,14.912,,,
7,07/12/16 12:30:00 PM,15.175,14.314,14.505,14.697,,,
8,07/12/16 12:45:00 PM,15.127,14.218,14.385,14.529,,,
9,07/12/16 01:00:00 PM,15.127,14.146,14.290,14.409,,,
10,07/12/16 01:15:00 PM,15.127,14.098,14.218,14.314,,,
11,07/12/16 01:30:00 PM,15.127,14.074,14.170,14.242,,,
12,07/12/16 01:45:00 PM,15.151,14.050,14.122,14.170,,,
13,07/12/16 02:00:00 PM,15.151,14.026,14.074,14.122,,,
14,07/12/16 02:15:00 PM,15.199,14.002,14.050,14.098,,,
15,07/12/16 02:30:00 PM,15.223,14.002,14.026,14.074,,,
16,07/12/16 02:45:00 PM,15.270,14.002,14.002,14.074,,,
17,07/12/16 03:00:00 PM,15.318,13.978,13.978,14.050,,,
18,07/12/16 03:15:00 PM,15.318,13.978,13.954,14.026,,,
19,07/12/16 03:30:00 PM,15.366,13.978,13.930,14.002,,,
20,07/12/16 03:45:00 PM,15.485,14.098,13.906,14.002,,,
21,07/12/16 04:00:00 PM,15.557,14.337,13.906,14.026,,,
22,07/12/16 04:15:00 PM,15.581,14.337,13.882,14.242,,,
23,07/12/16 04:30:00 PM,15.605,14.337,13.882,14.242,,,
24,07/12/16 04:45:00 PM,15.605,14.337,13.858,14.242,,,
25,07/12/16 05:00:00 PM,15.605,14.314,13.858,14.242,,,
26,07/12/16 05:15:00 PM,15.605,14.314,13.834,14.194,,,
27,07/12/16 05:30:00 PM,15.581,14.314,13.834,14.194,,,
28,07/12/16 05:45:00 PM,15.605,14.314,13.834,14.194,,,
29,07/12/16 06:00:00 PM,15.652,14.314,13.810,14.194,,,
30,07/12/16 06:15:00 PM,15.676,14.314,13.810,14.170,,,
31,07/12/16 06:30:00 PM,15.700,14.337,13.810,14.170,,,
32,07/12/16 06:45:00 PM,15.700,14.337,13.786,14.170,,,
33,07/12/16 07:00:00 PM,15.676,14.361,13.786,14.170,,,
34,07/12/16 07:15:00 PM,15.652,14.361,13.786,14.146,,,
35,07/12/16 07:30:00 PM,15.629,14.337,13.762,14.146,,,
36,07/12/16 07:45:00 PM,15.629,14.337,13.762,14.146,,,
37,07/12/16 08:00:00 PM,15.581,14.337,13.762,14.146,,,
38,07/12/16 08:15:00 PM,15.557,14.337,13.762,14.146,,,
39,07/12/16 08:30:00 PM,15.533,14.385,13.762,14.122,,,
40,07/12/16 08:45:00 PM,15.509,14.409,13.762,14.122,,,
41,07/12/16 09:00:00 PM,15.461,14.433,13.762,14.098,,,
42,07/12/16 09:15:00 PM,15.438,14.409,13.738,14.050,,,
43,07/12/16 09:30:00 PM,15.390,14.385,13.738,14.026,,,
44,07/12/16 09:45:00 PM,15.390,14.385,13.738,14.026,,,
45,07/12/16 10:00:00 PM,15.342,14.385,13.738,14.026,,,
46,07/12/16 10:15:00 PM,15.342,14.361,13.738,14.026,,,
47,07/12/16 10:30:00 PM,15.318,14.361,13.738,14.026,,,
48,07/12/16 10:45:00 PM,15.270,14.361,13.738,14.026,,,
49,07/12/16 11:00:00 PM,15.247,14.361,13.738,14.050,,,
50,07/12/16 11:15:00 PM,15.223,14.337,13.738,14.050,,,
51,07/12/16 11:30:00 PM,15.175,14.337,13.738,14.026,,,
52,07/12/16 11:45:00 PM,15.127,14.314,13.738,14.002,,,
53,07/13/16 12:00:00 AM,15.103,14.314,13.738,14.002,,,
54,07/13/16 12:15:00 AM,15.055,14.290,13.738,14.002,,,
55,07/13/16 12:30:00 AM,15.031,14.290,13.738,14.002,,,
56,07/13/16 12:45:00 AM,15.008,14.266,13.738,14.002,,,
57,07/13/16 01:00:00 AM,14.960,14.242,13.738,13.978,,,
58,07/13/16 01:15:00 AM,14.936,14.242,13.714,13.978,,,
59,07/13/16 01:30:00 AM,14.912,14.218,13.738,13.954,,,
60,07/13/16 01:45:00 AM,14.888,14.218,13.714,13.954,,,
61,07/13/16 02:00:00 AM,14.840,14.194,13.714,13.954,,,
62,07/13/16 02:15:00 AM,14.816,14.170,13.714,13.954,,,
63,07/13/16 02:30:00 AM,14.768,14.170,13.714,13.954,,,
64,07/13/16 02:45:00 AM,14.745,14.146,13.714,13.930,,,
65,07/13/16 03:00:00 AM,14.721,14.146,13.714,13.954,,,
66,07/13/16 03:15:00 AM,14.697,14.146,13.714,13.930,,,
67,07/13/16 03:30:00 AM,14.673,14.122,13.714,13.954,,,
68,07/13/16 03:45:00 AM,14.649,14.146,13.714,13.930,,,
69,07/13/16 04:00:00 AM,14.625,14.122,13.714,13.930,,,
70,07/13/16 04:15:00 AM,14.601,14.098,13.714,13.954,,,
71,07/13/16 04:30:00 AM,14.601,14.098,13.714,13.954,,,
72,07/13/16 04:45:00 AM,14.577,14.074,13.714,13.954,,,
73,07/13/16 05:00:00 AM,14.553,14.074,13.690,13.930,,,
74,07/13/16 05:15:00 AM,14.529,14.050,13.690,13.954,,,
75,07/13/16 05:30:00 AM,14.529,14.026,13.690,13.930,,,
76,07/13/16 05:45:00 AM,14.505,14.026,13.690,13.930,,,
77,07/13/16 06:00:00 AM,14.481,14.002,13.690,13.930,,,
78,07/13/16 06:15:00 AM,14.457,14.002,13.690,13.930,,,
79,07/13/16 06:30:00 AM,14.433,13.978,13.690,13.930,,,
80,07/13/16 06:45:00 AM,14.433,13.978,13.666,13.930,,,
81,07/13/16 07:00:00 AM,14.433,13.954,13.666,13.930,,,
82,07/13/16 07:15:00 AM,14.409,13.930,13.666,13.930,,,
83,07/13/16 07:30:00 AM,14.409,13.954,13.666,13.930,,,
84,07/13/16 07:45:00 AM,14.409,13.930,13.666,13.930,,,
85,07/13/16 08:00:00 AM,14.409,13.906,13.666,13.930,,,
86,07/13/16 08:15:00 AM,14.385,13.906,13.666,13.930,,,
87,07/13/16 08:30:00 AM,14.385,13.882,13.642,13.930,,,
88,07/13/16 08:45:00 AM,14.409,13.882,13.642,13.930,,,
89,07/13/16 09:00:00 AM,14.409,13.858,13.642,13.930,,,
90,07/13/16 09:15:00 AM,14.409,13.834,13.642,13.930,,,
91,07/13/16 09:30:00 AM,14.433,13.834,13.642,13.930,,,
92,07/13/16 09:45:00 AM,14.457,13.810,13.618,13.930,,,
93,07/13/16 10:00:00 AM,14.481,13.786,13.618,13.930,,,
94,07/13/16 10:15:00 AM,14.505,13.762,13.618,13.930,,,
95,07/13/16 10:30:00 AM,14.553,13.714,13.618,13.930,,,
96,07/13/16 10:45:00 AM,14.601,13.690,13.618,13.930,,,
97,07/13/16 11:00:00 AM,14.649,13.666,13.618,13.930,,,
98,07/13/16 11:15:00 AM,14.697,13.642,13.618,13.930,,,
99,07/13/16 11:30:00 AM,14.721,13.618,13.594,13.930,,,
100,07/13/16 11:45:00 AM,14.745,13.594,13.594,13.906,,,
101,07/13/16 12:00:00 PM,14.768,13.594,13.594,13.906,,,
102,07/13/16 12:15:00 PM,14.792,13.594,13.594,13.906,,,
103,07/13/16 12:30:00 PM,14.816,13.570,13.594,13.906,,,
104,07/13/16 12:45:00 PM,14.816,13.570,13.594,13.906,,,
105,07/13/16 01:00:00 PM,14.840,13.594,13.570,13.906,,,
106,07/13/16 01:15:00 PM,14.864,13.594,13.570,13.906,,,
107,07/13/16 01:30:00 PM,14.912,13.594,13.570,13.906,,,
108,07/13/16 01:45:00 PM,14.936,13.594,13.570,13.906,,,
109,07/13/16 02:00:00 PM,14.960,13.618,13.570,13.906,,,
110,07/13/16 02:15:00 PM,14.960,13.642,13.570,13.906,,,
111,07/13/16 02:30:00 PM,14.936,13.666,13.570,13.906,,,
112,07/13/16 02:45:00 PM,14.936,13.690,13.546,13.882,,,
113,07/13/16 03:00:00 PM,14.912,13.714,13.546,13.906,,,
114,07/13/16 03:15:00 PM,14.912,13.738,13.546,13.906,,,
115,07/13/16 03:30:00 PM,14.912,13.762,13.546,13.882,,,
116,07/13/16 03:45:00 PM,14.888,13.786,13.546,13.882,,,
117,07/13/16 04:00:00 PM,14.888,13.810,13.546,13.882,,,
118,07/13/16 04:15:00 PM,14.888,13.810,13.546,13.882,,,
119,07/13/16 04:30:00 PM,14.888,13.834,13.546,13.906,,,
120,07/13/16 04:45:00 PM,14.888,13.834,13.546,13.882,,,
121,07/13/16 05:00:00 PM,14.888,13.834,13.522,13.906,,,
122,07/13/16 05:15:00 PM,14.888,13.834,13.522,13.882,,,
123,07/13/16 05:30:00 PM,14.888,13.834,13.522,13.882,,,
124,07/13/16 05:45:00 PM,14.888,13.834,13.522,13.882,,,
125,07/13/16 06:00:00 PM,14.888,13.834,13.546,13.882,,,
126,07/13/16 06:15:00 PM,14.888,13.834,13.522,13.882,,,
127,07/13/16 06:30:00 PM,14.888,13.834,13.522,13.882,,,
128,07/13/16 06:45:00 PM,14.888,13.834,13.522,13.882,,,
129,07/13/16 07:00:00 PM,14.888,13.834,13.522,13.882,,,
130,07/13/16 07:15:00 PM,14.888,13.834,13.522,13.882,,,
131,07/13/16 07:30:00 PM,14.888,13.834,13.522,13.882,,,
132,07/13/16 07:45:00 PM,14.864,13.834,13.522,13.882,,,
133,07/13/16 08:00:00 PM,14.840,13.834,13.522,13.882,,,
134,07/13/16 08:15:00 PM,14.840,13.834,13.522,13.882,,,
135,07/13/16 08:30:00 PM,14.792,13.834,13.522,13.882,,,
136,07/13/16 08:45:00 PM,14.768,13.834,13.522,13.882,,,
137,07/13/16 09:00:00 PM,14.745,13.834,13.522,13.882,,,
138,07/13/16 09:15:00 PM,14.721,13.810,13.522,13.882,,,
139,07/13/16 09:30:00 PM,14.697,13.834,13.522,13.882,,,
140,07/13/16 09:45:00 PM,14.649,13.810,13.522,13.882,,,
141,07/13/16 10:00:00 PM,14.625,13.810,13.522,13.858,,,
142,07/13/16 10:15:00 PM,14.577,13.810,13.522,13.858,,,
143,07/13/16 10:30:00 PM,14.553,13.810,13.522,13.858,,,
144,07/13/16 10:45:00 PM,14.529,13.810,13.522,13.858,,,
145,07/13/16 11:00:00 PM,14.505,13.810,13.522,13.858,,,
146,07/13/16 11:15:00 PM,14.457,13.786,13.522,13.858,,,
147,07/13/16 11:30:00 PM,14.433,13.786,13.522,13.858,,,
148,07/13/16 11:45:00 PM,14.385,13.786,13.522,13.858,,,
