"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/03/19 00:00:00,3.6964989703847095e-05,6.652467021694974e-09,1.32358377413766e-06,0.00022308944608084857
16/03/19 00:15:00,1.1664804333122447e-05,4.050139335021186e-09,4.2307704006816493e-07,7.027536776149645e-05
16/03/19 00:30:00,2.439757554384414e-05,7.903415699672678e-09,8.799052011454478e-07,0.00014711191761307418
16/03/19 00:45:00,1.8740451196208596e-05,3.0533289230305627e-09,6.634238616243238e-07,0.00011319611803628504
16/03/19 01:00:00,2.0903253243886866e-05,4.7330050989558e-09,7.508176054216165e-07,0.00012606751988641918
16/03/19 01:15:00,1.9049422917305492e-05,2.0449986148918242e-09,6.751428713869245e-07,0.00011504923168104142
16/03/19 01:30:00,1.9686876839841716e-05,4.06709732558852e-09,7.078257340253913e-07,0.00011872263712575659
16/03/19 01:45:00,1.9069892005063593e-05,2.5595574548731292e-09,6.798895810788963e-07,0.00011513030767673627
16/03/19 02:00:00,1.695698665571399e-05,-1.7880534830538863e-09,5.940233904766501e-07,0.00010249633487546816
16/03/19 02:15:00,2.0868390492978506e-05,1.0336476563566066e-08,7.852949011066812e-07,0.00012546911602839828
16/03/19 02:30:00,1.5534627891611308e-05,-1.1700584501284084e-08,5.024858751312422e-07,9.44275816436857e-05
16/03/19 02:45:00,1.949400939338375e-05,9.909386200490644e-09,7.44732517432567e-07,0.00011696797446347773
16/03/19 03:00:00,1.8544704289524816e-05,1.417662875979886e-09,6.447561986533401e-07,0.00011225025809835643
16/03/19 03:15:00,1.4833524801360909e-05,-6.397293805804338e-09,5.139552854416252e-07,8.971758506959304e-05
16/03/19 03:30:00,1.891668580356054e-05,9.34436794608473e-09,7.17015666396037e-07,0.00011366132093826309
16/03/19 03:45:00,1.8417085811961442e-05,2.435474932838133e-09,6.45832756163145e-07,0.00011136037937831134
16/03/19 04:00:00,1.6680318367434666e-05,-2.6930397148405838e-11,5.913757945563702e-07,0.00010071464930661023
16/03/19 04:15:00,1.8670405552256852e-05,6.458193091418707e-09,6.853312584098603e-07,0.00011243170592933893
16/03/19 04:30:00,1.9988172425655648e-05,6.488566572926402e-09,7.181050705185044e-07,0.00012056608829880133
16/03/19 04:45:00,1.918375892273616e-05,3.011874749603294e-09,6.814474318161956e-07,0.00011584258754737675
16/03/19 05:00:00,2.0258761651348323e-05,6.369881067058714e-09,7.330826292673009e-07,0.0001220929843839258
16/03/19 05:15:00,2.0042225514771417e-05,4.031685207905866e-09,7.145464451241423e-07,0.00012101007450837642
16/03/19 05:30:00,2.048329588433262e-05,5.3838373759163005e-09,7.364259317910182e-07,0.000123517558677122
16/03/19 05:45:00,2.0725738067994826e-05,5.013160553346552e-09,7.422231078635377e-07,0.00012505603081081063
16/03/19 06:00:00,1.654694278840907e-05,-6.588735779189392e-09,5.644438374474703e-07,0.00010023979120887816
16/03/19 06:15:00,1.8270915461471304e-05,5.2003281680867985e-09,6.787589654777548e-07,0.00010992035822710022
16/03/19 06:30:00,1.8320171875529923e-05,2.6118427420840362e-09,6.504796488115971e-07,0.00011066932347603142
16/03/19 06:45:00,1.6802179743535817e-05,-1.8075187180333074e-10,5.94571076817374e-07,0.00010146940621780232
16/03/19 07:00:00,1.7362550352117978e-05,3.162326400740767e-09,6.268926995289803e-07,0.00010467180982232094
16/03/19 07:15:00,1.6260681150015444e-05,-3.3041118452370455e-11,5.734868864237797e-07,9.825348388403654e-05
16/03/19 07:30:00,1.9192713807569817e-05,8.285535813001843e-09,7.13447207090212e-07,0.00011546617315616459
16/03/19 07:45:00,1.9344321117387153e-05,4.353283511449035e-09,6.874091695863171e-07,0.00011684057244565338
16/03/19 08:00:00,1.8722859749686904e-05,3.0691305052954476e-09,6.694593253087078e-07,0.00011298378376523033
16/03/19 08:15:00,1.7992648281506263e-05,2.040251079193922e-09,6.409322850231547e-07,0.00010862318595172837
16/03/19 08:30:00,1.7297303202212788e-05,1.5148811094434222e-09,6.173996780489688e-07,0.00010440735786687583
16/03/19 08:45:00,1.5676319890189916e-05,-1.3615623073448546e-09,5.521135335584404e-07,9.472484816797078e-05
16/03/19 09:00:00,1.723909008433111e-05,4.790018603983981e-09,6.310942808340769e-07,0.00010380896128481254
16/03/19 09:15:00,1.594211244082544e-05,-2.8990410072538e-10,5.578907575909398e-07,9.639844938647002e-05
16/03/19 09:30:00,1.4194151845003944e-05,-2.2705064495198712e-09,5.016907493882172e-07,8.572953811381012e-05
16/03/19 09:45:00,1.9023194909095764e-05,1.1129540844478925e-08,7.215093660306593e-07,0.00011428867583163083
16/03/19 10:00:00,1.570574750076048e-05,-4.040655365855628e-09,5.260459374767379e-07,9.528271766612306e-05
16/03/19 10:15:00,1.746778070810251e-05,6.303781496797001e-09,6.517123551930126e-07,0.00010502119403099641
