"Date Heure, GMT+01:00",Flux advectif (W/m2) pour la profondeur 0.0027 m,Flux advectif (W/m2) pour la profondeur 0.0082 m,Flux advectif (W/m2) pour la profondeur 0.0137 m,Flux advectif (W/m2) pour la profondeur 0.0192 m,Flux advectif (W/m2) pour la profondeur 0.0247 m,Flux advectif (W/m2) pour la profondeur 0.0302 m,Flux advectif (W/m2) pour la profondeur 0.0357 m,Flux advectif (W/m2) pour la profondeur 0.0412 m,Flux advectif (W/m2) pour la profondeur 0.0467 m,Flux advectif (W/m2) pour la profondeur 0.0522 m,Flux advectif (W/m2) pour la profondeur 0.0577 m,Flux advectif (W/m2) pour la profondeur 0.0632 m,Flux advectif (W/m2) pour la profondeur 0.0687 m,Flux advectif (W/m2) pour la profondeur 0.0742 m,Flux advectif (W/m2) pour la profondeur 0.0797 m,Flux advectif (W/m2) pour la profondeur 0.0852 m,Flux advectif (W/m2) pour la profondeur 0.0907 m,Flux advectif (W/m2) pour la profondeur 0.0962 m,Flux advectif (W/m2) pour la profondeur 0.1017 m,Flux advectif (W/m2) pour la profondeur 0.1072 m,Flux advectif (W/m2) pour la profondeur 0.1127 m,Flux advectif (W/m2) pour la profondeur 0.1182 m,Flux advectif (W/m2) pour la profondeur 0.1237 m,Flux advectif (W/m2) pour la profondeur 0.1292 m,Flux advectif (W/m2) pour la profondeur 0.1347 m,Flux advectif (W/m2) pour la profondeur 0.1402 m,Flux advectif (W/m2) pour la profondeur 0.1457 m,Flux advectif (W/m2) pour la profondeur 0.1512 m,Flux advectif (W/m2) pour la profondeur 0.1567 m,Flux advectif (W/m2) pour la profondeur 0.1622 m,Flux advectif (W/m2) pour la profondeur 0.1677 m,Flux advectif (W/m2) pour la profondeur 0.1732 m,Flux advectif (W/m2) pour la profondeur 0.1787 m,Flux advectif (W/m2) pour la profondeur 0.1842 m,Flux advectif (W/m2) pour la profondeur 0.1897 m,Flux advectif (W/m2) pour la profondeur 0.1952 m,Flux advectif (W/m2) pour la profondeur 0.2007 m,Flux advectif (W/m2) pour la profondeur 0.2062 m,Flux advectif (W/m2) pour la profondeur 0.2117 m,Flux advectif (W/m2) pour la profondeur 0.2172 m,Flux advectif (W/m2) pour la profondeur 0.2227 m,Flux advectif (W/m2) pour la profondeur 0.2282 m,Flux advectif (W/m2) pour la profondeur 0.2337 m,Flux advectif (W/m2) pour la profondeur 0.2392 m,Flux advectif (W/m2) pour la profondeur 0.2447 m,Flux advectif (W/m2) pour la profondeur 0.2502 m,Flux advectif (W/m2) pour la profondeur 0.2557 m,Flux advectif (W/m2) pour la profondeur 0.2612 m,Flux advectif (W/m2) pour la profondeur 0.2667 m,Flux advectif (W/m2) pour la profondeur 0.2722 m,Flux advectif (W/m2) pour la profondeur 0.2778 m,Flux advectif (W/m2) pour la profondeur 0.2833 m,Flux advectif (W/m2) pour la profondeur 0.2888 m,Flux advectif (W/m2) pour la profondeur 0.2943 m,Flux advectif (W/m2) pour la profondeur 0.2998 m,Flux advectif (W/m2) pour la profondeur 0.3053 m,Flux advectif (W/m2) pour la profondeur 0.3108 m,Flux advectif (W/m2) pour la profondeur 0.3163 m,Flux advectif (W/m2) pour la profondeur 0.3218 m,Flux advectif (W/m2) pour la profondeur 0.3273 m,Flux advectif (W/m2) pour la profondeur 0.3328 m,Flux advectif (W/m2) pour la profondeur 0.3383 m,Flux advectif (W/m2) pour la profondeur 0.3438 m,Flux advectif (W/m2) pour la profondeur 0.3493 m,Flux advectif (W/m2) pour la profondeur 0.3548 m,Flux advectif (W/m2) pour la profondeur 0.3603 m,Flux advectif (W/m2) pour la profondeur 0.3658 m,Flux advectif (W/m2) pour la profondeur 0.3713 m,Flux advectif (W/m2) pour la profondeur 0.3768 m,Flux advectif (W/m2) pour la profondeur 0.3823 m,Flux advectif (W/m2) pour la profondeur 0.3878 m,Flux advectif (W/m2) pour la profondeur 0.3933 m,Flux advectif (W/m2) pour la profondeur 0.3988 m,Flux advectif (W/m2) pour la profondeur 0.4043 m,Flux advectif (W/m2) pour la profondeur 0.4098 m,Flux advectif (W/m2) pour la profondeur 0.4153 m,Flux advectif (W/m2) pour la profondeur 0.4208 m,Flux advectif (W/m2) pour la profondeur 0.4263 m,Flux advectif (W/m2) pour la profondeur 0.4318 m,Flux advectif (W/m2) pour la profondeur 0.4373 m,Flux advectif (W/m2) pour la profondeur 0.4428 m,Flux advectif (W/m2) pour la profondeur 0.4483 m,Flux advectif (W/m2) pour la profondeur 0.4538 m,Flux advectif (W/m2) pour la profondeur 0.4593 m,Flux advectif (W/m2) pour la profondeur 0.4648 m,Flux advectif (W/m2) pour la profondeur 0.4703 m,Flux advectif (W/m2) pour la profondeur 0.4758 m,Flux advectif (W/m2) pour la profondeur 0.4813 m,Flux advectif (W/m2) pour la profondeur 0.4868 m,Flux advectif (W/m2) pour la profondeur 0.4923 m,Flux advectif (W/m2) pour la profondeur 0.4978 m,Flux advectif (W/m2) pour la profondeur 0.5033 m,Flux advectif (W/m2) pour la profondeur 0.5088 m,Flux advectif (W/m2) pour la profondeur 0.5143 m,Flux advectif (W/m2) pour la profondeur 0.5198 m,Flux advectif (W/m2) pour la profondeur 0.5253 m,Flux advectif (W/m2) pour la profondeur 0.5308 m,Flux advectif (W/m2) pour la profondeur 0.5363 m,Flux advectif (W/m2) pour la profondeur 0.5418 m,Flux advectif (W/m2) pour la profondeur 0.5473 m
16/03/19 00:00:00,580.41077,588.61786,596.1451,603.0275,609.2879,614.9666,620.09644,624.6975,628.80817,632.4514,635.66,638.46234,640.87366,642.9325,644.65985,646.0709,647.202,648.06903,648.6953,649.10474,649.30756,649.33563,649.2029,648.922,648.5154,648.0012,647.3936,646.7056,645.9531,645.14923,644.30426,643.4363,642.55054,641.6565,640.7685,639.8958,639.04285,638.21655,637.4267,636.68024,635.9768,635.3211,634.7205,634.1797,633.6936,633.26697,632.9001,632.5953,632.3499,632.1569,632.01904,631.9363,631.89655,631.8975,631.93726,632.00635,632.09753,632.2037,632.31586,632.4247,632.5205,632.5893,632.622,632.60864,632.52985,632.3779,632.13196,631.7814,631.307,630.6924,629.9212,628.9724,627.82965,626.4696,624.87115,623.0156,620.8797,618.43994,615.67303,612.5509,609.05255,605.14954,600.8152,596.02216,590.7404,584.9402,578.59546,571.67114,564.1393,555.9647,547.117,537.55914,527.2581,516.1787,504.28375,491.5382,477.90228,463.33862,447.80978,431.2714
16/03/19 00:15:00,608.21063,609.481,611.62537,614.4655,617.8158,621.5298,625.4937,629.6012,633.7654,637.92206,642.0093,645.9774,649.7972,653.4335,656.8589,660.06915,663.03876,665.77844,668.2755,670.5223,672.5366,674.3209,675.8747,677.21313,678.349,679.2841,680.028,680.6091,681.02686,681.2961,681.4305,681.43555,681.3335,681.1373,680.8465,680.48035,680.05786,679.5848,679.06934,678.52313,677.95197,677.367,676.7826,676.19543,675.6154,675.053,674.5091,673.991,673.499,673.0445,672.6196,672.2269,671.87274,671.5544,671.2742,671.0286,670.8103,670.62695,670.46576,670.32556,670.2016,670.085,669.97095,669.8469,669.7119,669.55225,669.3582,669.1166,668.8218,668.4585,668.00916,667.46344,666.80383,666.0187,665.08936,663.99744,662.7223,661.24854,659.55664,657.6191,655.41595,652.9322,650.13135,646.98676,643.46826,639.53864,635.16144,630.29175,624.8653,618.8085,612.0293,604.3939,595.7141,585.72797,574.06415,560.1756,543.2657,522.1536,495.08994,459.48053
16/03/19 00:30:00,650.16943,651.2083,652.208,653.2979,654.55774,656.04297,657.7776,659.76434,662.00586,664.47034,667.1288,669.96216,672.93097,676.003,679.14935,682.32214,685.51056,688.66974,691.77844,694.818,697.7566,700.5835,703.2829,705.8442,708.2594,710.5206,712.62256,714.5572,716.32184,717.9192,719.3573,720.6388,721.76636,722.74,723.57025,724.26526,724.8262,725.26764,725.5976,725.8227,725.95917,726.00916,725.9769,725.88104,725.7282,725.52075,725.26965,724.9814,724.6597,724.32245,723.9693,723.6107,723.24567,722.87646,722.5086,722.15015,721.80756,721.47174,721.1478,720.83716,720.5411,720.25165,719.9715,719.6994,719.42847,719.159,718.88684,718.59753,718.2896,717.9545,717.58496,717.1736,716.7126,716.1865,715.5796,714.8818,714.0825,713.1626,712.10144,710.8871,709.49774,707.9008,706.0798,703.99854,701.62225,698.90405,695.7841,692.18677,688.0211,683.1557,677.41797,670.5687,662.29565,652.161,639.5732,623.7258,603.5368,577.5499,543.84247,499.91678
16/03/19 00:45:00,623.12726,623.5867,624.1938,624.9004,625.6862,626.55383,627.50336,628.55,629.704,630.978,632.38495,633.91974,635.58746,637.38306,639.3065,641.35266,643.5062,645.75446,648.0795,650.47363,652.9191,655.3953,657.8896,660.3815,662.8608,665.30963,667.7074,670.0465,672.32196,674.5208,676.6304,678.6453,680.5582,682.3664,684.062,685.6402,687.1099,688.466,689.7043,690.83026,691.84094,692.7495,693.55457,694.2626,694.87085,695.3922,695.8239,696.1803,696.46533,696.6811,696.8355,696.93365,696.9832,696.9907,696.952,696.8786,696.7695,696.6412,696.48987,696.3193,696.13336,695.9347,695.7282,695.5116,695.2822,695.04114,694.79175,694.53534,694.2661,693.98346,693.6861,693.3657,693.0165,692.6347,692.2157,691.7455,691.2191,690.62726,689.96014,689.195,688.31604,687.30457,686.1336,684.7674,683.1687,681.28094,679.0371,676.34717,673.09436,669.11993,664.21423,658.101,650.40295,640.61945,628.0753,611.8669,590.76886,563.1334,526.7169,478.45856
16/03/19 01:00:00,624.6027,624.9005,625.20355,625.5577,625.968,626.43494,626.9659,627.571,628.23517,628.9739,629.7894,630.68445,631.659,632.72565,633.8821,635.1308,636.4743,637.91016,639.4356,641.0482,642.74286,644.51953,646.36273,648.27515,650.24646,652.2615,654.3097,656.38873,658.48303,660.5799,662.6716,664.75037,666.8088,668.83374,670.81244,672.7476,674.6226,676.4307,678.1763,679.85004,681.44934,682.96277,684.39417,685.74243,686.99817,688.1667,689.25604,690.2568,691.16754,692.003,692.7603,693.438,694.0414,694.5742,695.0378,695.4374,695.77673,696.05853,696.28894,696.4668,696.5986,696.6893,696.74286,696.7606,696.7476,696.69995,696.626,696.52325,696.393,696.2372,696.0543,695.84595,695.6099,695.34326,695.0401,694.70233,694.3203,693.88257,693.38336,692.8104,692.1497,691.3781,690.4721,689.39215,688.0995,686.53705,684.62866,682.275,679.3464,675.67,671.0176,665.0913,657.4916,647.69055,634.9989,618.48883,596.95593,568.8137,531.9968,483.8377
16/03/19 01:15:00,595.13153,595.1976,595.3199,595.4763,595.67194,595.90424,596.17554,596.48596,596.85016,597.26575,597.7302,598.2509,598.8302,599.4608,600.15753,600.9129,601.7294,602.61914,603.58246,604.6118,605.70715,606.87335,608.1081,609.4114,610.7782,612.20135,613.688,615.22614,616.8156,618.45166,620.12445,621.8328,623.5671,625.3234,627.0944,628.8741,630.65125,632.4225,634.17535,635.9101,637.6179,639.29126,640.92816,642.52875,644.08136,645.58124,647.02637,648.4142,649.7457,651.01245,652.2143,653.3539,654.43384,655.44006,656.3842,657.2598,658.0754,658.8288,659.51855,660.1484,660.7181,661.23157,661.68634,662.0898,662.4425,662.74994,663.0087,663.2242,663.39874,663.53174,663.62384,663.67303,663.683,663.65137,663.57574,663.4535,663.2836,663.0573,662.77057,662.4097,661.9626,661.4053,660.7158,659.8622,658.79175,657.4522,655.7683,653.6429,650.93976,647.4856,643.0599,637.3612,629.9933,620.4471,608.0527,591.9266,570.9137,543.50903,507.72818,460.96277
16/03/19 01:30:00,603.9182,603.8539,603.8069,603.77966,603.7772,603.8094,603.8737,603.9703,604.0965,604.2573,604.4553,604.6904,604.97003,605.2917,605.65784,606.0785,606.55096,607.06805,607.6371,608.26544,608.9556,609.6978,610.4944,611.34784,612.26556,613.24524,614.28174,615.37756,616.5254,617.7276,618.9779,620.279,621.6308,623.0258,624.4579,625.9258,627.42847,628.95825,630.5103,632.0771,633.6637,635.2541,636.8493,638.44086,640.02246,641.5904,643.14343,644.6691,646.16766,647.6417,649.0772,650.4781,651.8345,653.14746,654.4134,655.63367,656.7982,657.91455,658.98035,659.99524,660.9533,661.85583,662.70636,663.50116,664.24023,664.9237,665.55475,666.13074,666.65173,667.1238,667.5408,667.9109,668.2302,668.49286,668.70215,668.85516,668.94775,668.97046,668.9214,668.78656,668.552,668.19495,667.693,667.01404,666.1122,664.9234,663.37115,661.3522,658.73193,655.33484,650.9219,645.1912,637.7541,628.0867,615.50867,599.13715,577.8273,550.0729,513.9204,466.8426
16/03/19 01:45:00,590.3615,590.3399,590.3233,590.31146,590.3069,590.3071,590.32434,590.3561,590.39984,590.4703,590.56256,590.67413,590.80975,590.97205,591.1658,591.3885,591.64514,591.94293,592.27454,592.64484,593.0563,593.5088,594.0073,594.55676,595.1472,595.7837,596.4685,597.20184,597.9835,598.8147,599.69556,600.6236,601.60376,602.6287,603.69354,604.808,605.9624,607.1556,608.3851,609.6558,610.95557,612.2829,613.6384,615.01697,616.4098,617.8145,619.23785,620.6675,622.0967,623.52484,624.95197,626.36694,627.771,629.1569,630.52716,631.8733,633.1951,634.48676,635.7469,636.977,638.1708,639.3246,640.4334,641.50494,642.53296,643.5167,644.45557,645.3447,646.18933,646.9843,647.7279,648.41766,649.0595,649.64514,650.1716,650.6362,651.0341,651.3632,651.60693,651.76105,651.80316,651.72253,651.4867,651.06335,650.4033,649.4499,648.1231,646.3236,643.9145,640.71906,636.5188,631.011,623.8062,614.41077,602.1716,586.2384,565.5121,538.5648,503.54755,458.0589
16/03/19 02:00:00,522.66486,522.72675,522.7946,522.856,522.9178,522.97736,523.03705,523.09875,523.1605,523.22906,523.3015,523.3801,523.4694,523.57153,523.6866,523.8188,523.96783,524.13367,524.3234,524.53467,524.7716,525.03217,525.3203,525.63666,525.9901,526.37427,526.78937,527.23755,527.72217,528.245,528.803,529.3948,530.0216,530.6867,531.3923,532.13306,532.9137,533.7289,534.5839,535.46954,536.3862,537.3423,538.3272,539.3428,540.38544,541.45386,542.54126,543.6524,544.782,545.92883,547.08655,548.2571,549.43555,550.6158,551.79645,552.97766,554.15894,555.33026,556.4945,557.6446,558.7806,559.8987,560.9976,562.07574,563.131,564.15765,565.1558,566.12463,567.0606,567.96246,568.8264,569.6518,570.4321,571.16736,571.8554,572.48615,573.0561,573.55597,573.97644,574.30884,574.5371,574.6355,574.5812,574.33563,573.8581,573.086,571.9463,570.3362,568.1372,565.1853,561.2754,556.145,549.4635,540.8034,529.6276,515.26404,496.86856,473.39066,443.53076,405.70175
16/03/19 02:15:00,643.7934,643.8145,643.7984,643.7876,643.77423,643.76324,643.7622,643.7562,643.7529,643.75195,643.75366,643.758,643.7675,643.7822,643.80237,643.8303,643.866,643.92004,643.98706,644.0672,644.16833,644.2828,644.421,644.5879,644.7783,644.99493,645.2431,645.52,645.82587,646.1634,646.5351,646.94586,647.39844,647.8803,648.4002,648.9593,649.5617,650.20325,650.8818,651.60223,652.3684,653.17145,654.01776,654.90454,655.82806,656.7897,657.7877,658.8173,659.88226,660.9773,662.105,663.26,664.4374,665.63965,666.8614,668.09875,669.3491,670.619,671.8967,673.1821,674.4714,675.7644,677.05865,678.3449,679.62054,680.88684,682.1374,683.3746,684.5881,685.7779,686.9401,688.0713,689.16956,690.22845,691.23737,692.1983,693.0974,693.9217,694.6685,695.3148,695.84827,696.24054,696.4588,696.46484,696.2056,695.61926,694.6187,693.096,690.9128,687.8852,683.7767,678.28577,671.0156,661.4543,648.93005,632.5499,611.1377,583.1078,546.326,497.86252
