"Date Heure, GMT+01:00",Température (K) pour la profondeur 0.0027 m,Température (K) pour la profondeur 0.0082 m,Température (K) pour la profondeur 0.0137 m,Température (K) pour la profondeur 0.0192 m,Température (K) pour la profondeur 0.0247 m,Température (K) pour la profondeur 0.0302 m,Température (K) pour la profondeur 0.0357 m,Température (K) pour la profondeur 0.0412 m,Température (K) pour la profondeur 0.0467 m,Température (K) pour la profondeur 0.0522 m,Température (K) pour la profondeur 0.0577 m,Température (K) pour la profondeur 0.0632 m,Température (K) pour la profondeur 0.0687 m,Température (K) pour la profondeur 0.0742 m,Température (K) pour la profondeur 0.0797 m,Température (K) pour la profondeur 0.0852 m,Température (K) pour la profondeur 0.0907 m,Température (K) pour la profondeur 0.0962 m,Température (K) pour la profondeur 0.1017 m,Température (K) pour la profondeur 0.1072 m,Température (K) pour la profondeur 0.1127 m,Température (K) pour la profondeur 0.1182 m,Température (K) pour la profondeur 0.1237 m,Température (K) pour la profondeur 0.1292 m,Température (K) pour la profondeur 0.1347 m,Température (K) pour la profondeur 0.1402 m,Température (K) pour la profondeur 0.1457 m,Température (K) pour la profondeur 0.1512 m,Température (K) pour la profondeur 0.1567 m,Température (K) pour la profondeur 0.1622 m,Température (K) pour la profondeur 0.1677 m,Température (K) pour la profondeur 0.1732 m,Température (K) pour la profondeur 0.1787 m,Température (K) pour la profondeur 0.1842 m,Température (K) pour la profondeur 0.1897 m,Température (K) pour la profondeur 0.1952 m,Température (K) pour la profondeur 0.2007 m,Température (K) pour la profondeur 0.2062 m,Température (K) pour la profondeur 0.2117 m,Température (K) pour la profondeur 0.2172 m,Température (K) pour la profondeur 0.2227 m,Température (K) pour la profondeur 0.2282 m,Température (K) pour la profondeur 0.2337 m,Température (K) pour la profondeur 0.2392 m,Température (K) pour la profondeur 0.2447 m,Température (K) pour la profondeur 0.2502 m,Température (K) pour la profondeur 0.2557 m,Température (K) pour la profondeur 0.2612 m,Température (K) pour la profondeur 0.2667 m,Température (K) pour la profondeur 0.2722 m,Température (K) pour la profondeur 0.2778 m,Température (K) pour la profondeur 0.2833 m,Température (K) pour la profondeur 0.2888 m,Température (K) pour la profondeur 0.2943 m,Température (K) pour la profondeur 0.2998 m,Température (K) pour la profondeur 0.3053 m,Température (K) pour la profondeur 0.3108 m,Température (K) pour la profondeur 0.3163 m,Température (K) pour la profondeur 0.3218 m,Température (K) pour la profondeur 0.3273 m,Température (K) pour la profondeur 0.3328 m,Température (K) pour la profondeur 0.3383 m,Température (K) pour la profondeur 0.3438 m,Température (K) pour la profondeur 0.3493 m,Température (K) pour la profondeur 0.3548 m,Température (K) pour la profondeur 0.3603 m,Température (K) pour la profondeur 0.3658 m,Température (K) pour la profondeur 0.3713 m,Température (K) pour la profondeur 0.3768 m,Température (K) pour la profondeur 0.3823 m,Température (K) pour la profondeur 0.3878 m,Température (K) pour la profondeur 0.3933 m,Température (K) pour la profondeur 0.3988 m,Température (K) pour la profondeur 0.4043 m,Température (K) pour la profondeur 0.4098 m,Température (K) pour la profondeur 0.4153 m,Température (K) pour la profondeur 0.4208 m,Température (K) pour la profondeur 0.4263 m,Température (K) pour la profondeur 0.4318 m,Température (K) pour la profondeur 0.4373 m,Température (K) pour la profondeur 0.4428 m,Température (K) pour la profondeur 0.4483 m,Température (K) pour la profondeur 0.4538 m,Température (K) pour la profondeur 0.4593 m,Température (K) pour la profondeur 0.4648 m,Température (K) pour la profondeur 0.4703 m,Température (K) pour la profondeur 0.4758 m,Température (K) pour la profondeur 0.4813 m,Température (K) pour la profondeur 0.4868 m,Température (K) pour la profondeur 0.4923 m,Température (K) pour la profondeur 0.4978 m,Température (K) pour la profondeur 0.5033 m,Température (K) pour la profondeur 0.5088 m,Température (K) pour la profondeur 0.5143 m,Température (K) pour la profondeur 0.5198 m,Température (K) pour la profondeur 0.5253 m,Température (K) pour la profondeur 0.5308 m,Température (K) pour la profondeur 0.5363 m,Température (K) pour la profondeur 0.5418 m,Température (K) pour la profondeur 0.5473 m
16/03/19 00:00:00,280.7295,280.8367,280.935,281.02484,281.10663,281.1808,281.24774,281.30786,281.36154,281.40912,281.45102,281.48758,281.5191,281.546,281.5685,281.58698,281.60175,281.61307,281.62125,281.62656,281.62924,281.6296,281.62784,281.6242,281.6189,281.61218,281.60425,281.59525,281.58542,281.57492,281.5639,281.55255,281.541,281.52933,281.51773,281.50632,281.49518,281.4844,281.4741,281.46432,281.45514,281.4466,281.43875,281.43167,281.42532,281.41977,281.41498,281.41098,281.40778,281.40527,281.40347,281.40237,281.40186,281.4019,281.4024,281.4033,281.40448,281.40588,281.40735,281.40875,281.41,281.41092,281.41135,281.41116,281.41013,281.40814,281.40494,281.40036,281.39417,281.38614,281.37607,281.36368,281.34875,281.331,281.31012,281.2859,281.258,281.22614,281.19,281.14923,281.10355,281.05258,280.99597,280.93338,280.8644,280.78867,280.7058,280.6154,280.51703,280.41028,280.29474,280.16992,280.0354,279.89072,279.73538,279.56894,279.39087,279.20068,278.9979,278.78192
16/03/19 00:15:00,280.6453,280.66107,280.68768,280.72278,280.76416,280.8101,280.8591,280.90985,280.96133,281.0127,281.0632,281.11227,281.15945,281.2044,281.2468,281.2865,281.32327,281.35718,281.38806,281.4159,281.44083,281.4629,281.48215,281.49875,281.5128,281.52438,281.5337,281.54092,281.54614,281.54953,281.55124,281.55142,281.55023,281.54788,281.54443,281.54004,281.53488,281.52908,281.5228,281.5161,281.50916,281.50204,281.49487,281.4877,281.48065,281.4738,281.46716,281.46088,281.4549,281.44934,281.44415,281.43936,281.43503,281.43115,281.42776,281.4248,281.42218,281.41995,281.418,281.41632,281.41483,281.41342,281.41205,281.41055,281.4089,281.40695,281.4046,281.40167,281.39807,281.39362,281.3881,281.38138,281.37326,281.3636,281.35214,281.33868,281.32297,281.3048,281.28394,281.26004,281.23288,281.20224,281.1677,281.1289,281.0855,281.03705,280.98306,280.923,280.85608,280.78137,280.69775,280.60358,280.49652,280.37335,280.2295,280.0582,279.84964,279.58926,279.2555,278.81635
16/03/19 00:30:00,280.62177,280.6338,280.64548,280.6582,280.67288,280.69012,280.7102,280.7332,280.75906,280.78754,280.81827,280.85098,280.88528,280.92075,280.95706,280.9937,281.03046,281.0669,281.10278,281.13785,281.1718,281.2045,281.23572,281.26535,281.29324,281.31937,281.34366,281.36603,281.38647,281.405,281.4217,281.43655,281.44962,281.46094,281.4706,281.4787,281.48526,281.49045,281.49435,281.49707,281.49872,281.4994,281.49915,281.49814,281.49646,281.4942,281.49142,281.48822,281.48468,281.4809,281.47693,281.4729,281.46878,281.46466,281.46054,281.4565,281.45267,281.44888,281.44525,281.44177,281.43845,281.4352,281.43207,281.42902,281.426,281.42297,281.41992,281.41666,281.41318,281.4094,281.4052,281.40054,281.3953,281.3893,281.3824,281.37442,281.3653,281.35477,281.34262,281.3287,281.31277,281.29446,281.27356,281.24966,281.22238,281.19116,281.1553,281.11395,281.06607,281.01013,280.94415,280.8654,280.77023,280.65366,280.50885,280.32654,280.09427,279.7953,279.40747,278.90207
16/03/19 00:45:00,280.59702,280.60242,280.60944,280.6176,280.62674,280.6368,280.64792,280.66022,280.6738,280.68875,280.70526,280.72336,280.74304,280.76428,280.78702,280.8112,280.8367,280.86334,280.8909,280.91928,280.9482,280.97754,281.00708,281.0366,281.06595,281.09488,281.12326,281.15097,281.1779,281.2039,281.22882,281.25266,281.27527,281.29663,281.31668,281.33533,281.35263,281.3686,281.38318,281.39642,281.40833,281.419,281.42844,281.4367,281.4438,281.44983,281.45483,281.45892,281.46213,281.46454,281.46622,281.46722,281.46765,281.46756,281.46695,281.46594,281.4645,281.46283,281.46088,281.4587,281.45636,281.45386,281.45126,281.44855,281.44568,281.4427,281.4396,281.43643,281.4331,281.42963,281.42596,281.42203,281.41776,281.4131,281.408,281.40228,281.3959,281.38876,281.3807,281.3715,281.36093,281.3488,281.33475,281.3184,281.29926,281.27667,281.24985,281.2177,281.17886,281.1314,281.07285,280.99988,280.90802,280.7913,280.64163,280.44827,280.1966,279.86694,279.43256,278.85693
16/03/19 01:00:00,280.58386,280.5875,280.59125,280.59555,280.60046,280.6061,280.6125,280.6197,280.62766,280.63654,280.64633,280.65707,280.66876,280.68152,280.69537,280.71033,280.72638,280.74356,280.7618,280.78107,280.80133,280.82257,280.8446,280.8674,280.89084,280.91486,280.9393,280.96408,280.98904,281.01407,281.03903,281.06384,281.08838,281.11255,281.1362,281.15927,281.18164,281.20325,281.22406,281.24402,281.2631,281.28116,281.29825,281.3143,281.3293,281.3433,281.35626,281.36823,281.37915,281.38913,281.39816,281.40628,281.4135,281.41992,281.4255,281.4303,281.4344,281.43777,281.44055,281.44272,281.44434,281.44547,281.44614,281.44638,281.44626,281.44574,281.44492,281.44373,281.4422,281.44037,281.43823,281.4358,281.433,281.42987,281.42627,281.42227,281.41776,281.41257,281.40665,281.39984,281.392,281.38284,281.37207,281.35922,281.34384,281.32526,281.30255,281.27454,281.2397,281.19592,281.14053,281.06998,280.9795,280.8628,280.71167,280.51508,280.25867,279.92355,279.48514,278.91165
16/03/19 01:15:00,280.58606,280.5868,280.58807,280.58978,280.59198,280.5946,280.59775,280.6014,280.6057,280.61063,280.61618,280.6224,280.6294,280.6371,280.64554,280.65472,280.66473,280.6756,280.68735,280.69995,280.7134,280.72775,280.74295,280.759,280.77585,280.79343,280.8118,280.8308,280.85046,280.8707,280.8914,280.9125,280.93393,280.95563,280.9775,280.9995,281.0215,281.04343,281.06512,281.08658,281.1077,281.12845,281.1487,281.1685,281.1877,281.2063,281.22418,281.24133,281.25778,281.27344,281.2883,281.30237,281.31567,281.3281,281.33972,281.3505,281.36053,281.36978,281.37823,281.38596,281.39294,281.39923,281.4048,281.4097,281.41397,281.4177,281.42084,281.42343,281.4255,281.42706,281.4281,281.42862,281.42865,281.42816,281.42712,281.4255,281.4233,281.4204,281.41675,281.41217,281.40652,281.3995,281.39084,281.38013,281.36673,281.34998,281.32892,281.30237,281.26862,281.2255,281.17026,281.09915,281.00723,280.88815,280.73355,280.5324,280.27032,279.92853,279.48227,278.89902
16/03/19 01:30:00,280.5975,280.59677,280.59628,280.59607,280.5962,280.59668,280.59753,280.59882,280.6005,280.60254,280.60507,280.60812,280.61166,280.61572,280.62036,280.62564,280.63156,280.6381,280.64526,280.6531,280.66168,280.6709,280.68085,280.69147,280.70282,280.71494,280.72778,280.74136,280.75555,280.77042,280.78592,280.80206,280.8188,280.83606,280.85382,280.872,280.8906,280.90952,280.9287,280.94812,280.96774,280.9874,281.00714,281.02682,281.0464,281.0658,281.08502,281.10394,281.1225,281.14072,281.15848,281.1758,281.1926,281.20886,281.22455,281.23965,281.2541,281.2679,281.2811,281.29367,281.30554,281.3167,281.32724,281.3371,281.34628,281.35477,281.36258,281.36972,281.3762,281.38205,281.38724,281.39185,281.3958,281.39908,281.4017,281.40363,281.4048,281.4051,281.4045,281.40286,281.4,281.39563,281.38947,281.3811,281.37,281.35535,281.3362,281.3113,281.279,281.2371,281.18265,281.11194,281.02017,280.90088,280.74567,280.54364,280.28067,279.93817,279.49203,278.91107
16/03/19 01:45:00,280.60278,280.60242,280.60205,280.60175,280.60153,280.60138,280.6014,280.60162,280.60202,280.60272,280.60367,280.6049,280.6064,280.6083,280.6106,280.61325,280.61633,280.6199,280.62393,280.62845,280.63348,280.63907,280.6452,280.65195,280.65924,280.6671,280.6756,280.6847,280.6944,280.70477,280.71576,280.72733,280.73953,280.75232,280.76562,280.77954,280.79398,280.8089,280.82428,280.84015,280.8564,280.87308,280.89005,280.9073,280.92477,280.94244,280.96027,280.97815,280.9961,281.014,281.0319,281.04962,281.06723,281.08463,281.1018,281.11868,281.13525,281.15146,281.16727,281.18268,281.19763,281.2121,281.226,281.23944,281.25232,281.26465,281.27643,281.2876,281.2982,281.30814,281.31744,281.32608,281.3341,281.34143,281.348,281.3538,281.35876,281.36285,281.36588,281.36777,281.36826,281.3672,281.36417,281.3588,281.35043,281.33838,281.32162,281.29892,281.26852,281.2282,281.17523,281.10577,281.01492,280.89645,280.74213,280.54123,280.2799,279.94016,279.49866,278.92514
16/03/19 02:00:00,280.59842,280.5991,280.59967,280.60016,280.60062,280.60104,280.60147,280.60193,280.6024,280.6029,280.60352,280.60425,280.60513,280.6062,280.60745,280.60895,280.61072,280.61276,280.6151,280.61777,280.6208,280.62415,280.62793,280.63208,280.6367,280.64178,280.64734,280.65338,280.65994,280.667,280.67456,280.68268,280.6913,280.70044,280.71017,280.72043,280.73123,280.74252,280.75436,280.7667,280.77948,280.79276,280.80646,280.82065,280.8352,280.85013,280.86536,280.88092,280.89673,280.91278,280.929,280.94537,280.96185,280.9784,280.995,281.01157,281.02814,281.0446,281.0609,281.07706,281.09302,281.10873,281.12418,281.1393,281.1541,281.16852,281.18253,281.1961,281.20923,281.2219,281.23404,281.24564,281.2566,281.2669,281.27655,281.28537,281.29333,281.30032,281.30618,281.3108,281.31393,281.31525,281.3144,281.31082,281.30396,281.2929,281.27664,281.2537,281.22238,281.1804,281.1248,281.05185,280.95688,280.8338,280.675,280.4709,280.2095,279.87592,279.45166,278.91418
16/03/19 02:15:00,280.59332,280.594,280.59464,280.59534,280.59604,280.5967,280.5974,280.5981,280.59885,280.59955,280.6003,280.6011,280.60193,280.6028,280.6038,280.60483,280.60596,280.60727,280.6087,280.6103,280.6121,280.6141,280.6164,280.61896,280.6218,280.6249,280.6284,280.63217,280.6363,280.6408,280.64572,280.65103,280.65677,280.66293,280.66953,280.67654,280.68405,280.692,280.70038,280.70926,280.71863,280.72845,280.73877,280.7495,280.7607,280.77234,280.78436,280.79675,280.80957,280.82272,280.8362,280.85,280.8641,280.87848,280.89307,280.90784,280.92273,280.93784,280.95303,280.96832,280.98364,280.999,281.01434,281.0296,281.04474,281.05975,281.0746,281.08926,281.10364,281.1177,281.13147,281.14487,281.15787,281.1704,281.18237,281.19376,281.2044,281.2142,281.22308,281.23077,281.23715,281.24188,281.24457,281.24478,281.2419,281.23523,281.22372,281.20615,281.18088,281.14578,281.0981,281.03436,280.94992,280.83884,280.6933,280.50293,280.25406,279.92825,279.5007,278.93735
