"Date Heure, GMT+01:00",Pression différentielle (m),Temperature (K)
17/05/25 13:00:00,-0.013505157396433,288.069
17/05/25 13:15:00,-0.0148383787480896,288.15
17/05/25 13:30:00,-0.0157189967902324,288.217
17/05/25 13:45:00,-0.0173115309434779,288.293
17/05/25 14:00:00,-0.0184042196060192,288.383
17/05/25 14:15:00,-0.0196117378190184,288.468
17/05/25 14:30:00,-0.0214868426634284,288.556
17/05/25 14:45:00,-0.0229203434499641,288.67
17/05/25 15:00:00,-0.0235818025357428,288.738
17/05/25 15:15:00,-0.0248725955031173,288.813
17/05/25 15:30:00,-0.026136365813939,288.928
17/05/25 15:45:00,-0.0280198219272832,289.036
17/05/25 16:00:00,-0.0294546195239579,289.144
17/05/25 16:15:00,-0.0303818246462648,289.25199999999995
17/05/25 16:30:00,-0.0316341170836162,289.36
17/05/25 16:45:00,-0.0329908102278863,289.479
17/05/25 17:00:00,-0.034070938109856,289.589
17/05/25 17:15:00,-0.0350576101741192,289.696
17/05/25 17:30:00,-0.0360590088331567,289.729
17/05/25 17:45:00,-0.0372660110004828,289.79
17/05/25 18:00:00,-0.0379482938961697,289.876
17/05/25 18:15:00,-0.0381472368745682,289.97
17/05/25 18:30:00,-0.0381223292164627,290.03099999999995
17/05/25 18:45:00,-0.0386754258638932,290.099
17/05/25 19:00:00,-0.0389394847080495,290.16
17/05/25 19:15:00,-0.0393630929645884,290.207
17/05/25 19:30:00,-0.039154026831958,290.239
17/05/25 19:45:00,-0.0395677731063861,290.251
17/05/25 20:00:00,-0.038670598675072,290.265
17/05/25 20:15:00,-0.037493287632261,290.266
17/05/25 20:30:00,-0.0361400267818342,290.244
17/05/25 20:45:00,-0.0347719475503635,290.207
17/05/25 21:00:00,-0.0334343740850443,290.152
17/05/25 21:15:00,-0.0317740760833359,290.089
17/05/25 21:30:00,-0.0307425076779525,290.027
17/05/25 21:45:00,-0.0292498964545233,289.949
17/05/25 22:00:00,-0.0275277856707886,289.87
17/05/25 22:15:00,-0.0256055981857985,289.799
17/05/25 22:30:00,-0.0239180092620721,289.723
17/05/25 22:45:00,-0.0225878262753538,289.647
17/05/25 23:00:00,-0.0208581111099806,289.568
17/05/25 23:15:00,-0.0198481472789714,289.494
17/05/25 23:30:00,-0.0184794093998026,289.419
17/05/25 23:45:00,-0.0171361495868398,289.339
17/05/26 00:00:00,-0.0156372307919111,289.255
17/05/26 00:15:00,-0.0143158776959577,289.166
17/05/26 00:30:00,-0.0128937665432945,289.077
17/05/26 00:45:00,-0.0114154576552363,288.98999999999995
17/05/26 01:00:00,-0.0102155438238756,288.905
17/05/26 01:15:00,-0.0091680197679195,288.823
17/05/26 01:30:00,-0.0078733533087133,288.741
17/05/26 01:45:00,-0.0065462086869334,288.67
17/05/26 02:00:00,-0.0057320576831146,288.596
17/05/26 02:15:00,-0.0044179185865667,288.522
17/05/26 02:30:00,-0.0034252954558667,288.444
17/05/26 02:45:00,-0.002479133741891,288.368
17/05/26 03:00:00,-0.001414571128261,288.293
17/05/26 03:15:00,-0.0005412553251214,288.223
17/05/26 03:30:00,0.0004936535878356,288.153
17/05/26 03:45:00,0.0013951836794841,288.086
17/05/26 04:00:00,0.0022306371150416,288.027
17/05/26 04:15:00,0.0030299697378164,287.968
17/05/26 04:30:00,0.0037434509245231,287.912
17/05/26 04:45:00,0.0041991469614028,287.861
17/05/26 05:00:00,0.0045725629114108,287.809
17/05/26 05:15:00,0.0054046758393947,287.758
17/05/26 05:30:00,0.0056658558592228,287.713
17/05/26 05:45:00,0.0058653656990497,287.67
17/05/26 06:00:00,0.006300842211292,287.631
17/05/26 06:15:00,0.0063875118356683,287.601
17/05/26 06:30:00,0.0064814836990478,287.574
17/05/26 06:45:00,0.0060930390116302,287.55499999999995
17/05/26 07:00:00,0.0059779786195495,287.546
17/05/26 07:15:00,0.0052375460773025,287.55499999999995
17/05/26 07:30:00,0.0040221587638718,287.586
17/05/26 07:45:00,0.0027107933134692,287.601
17/05/26 08:00:00,0.0016198123285569,287.63
17/05/26 08:15:00,0.0007755290022345,287.676
17/05/26 08:30:00,-5.56231354158896e-05,287.686
17/05/26 08:45:00,-0.00119549961672,287.71599999999995
17/05/26 09:00:00,-0.002099942409867,287.749
17/05/26 09:15:00,-0.0030576158744832,287.782
17/05/26 09:30:00,-0.0038029709384929,287.821
17/05/26 09:45:00,-0.004852962951287,287.852
17/05/26 10:00:00,-0.0057875211283525,287.88199999999995
17/05/26 10:15:00,-0.0063617063044843,287.914
17/05/26 10:30:00,-0.0072507094927315,287.951
17/05/26 10:45:00,-0.0081448829829495,287.989
17/05/26 11:00:00,-0.0088887986347952,288.02
17/05/26 11:15:00,-0.0095999339814319,288.059
17/05/26 11:30:00,-0.0105049810598495,288.098
17/05/26 11:45:00,-0.0110925452048611,288.137
17/05/26 12:00:00,-0.0120670976865411,288.174
17/05/26 12:15:00,-0.0134287811069146,288.223
17/05/26 12:30:00,-0.0146509920375178,288.284
17/05/26 12:45:00,-0.0155989835458906,288.35299999999995
17/05/26 13:00:00,-0.017103979070696,288.447
17/05/26 13:15:00,-0.0188142215987275,288.534
17/05/26 13:30:00,-0.0198912567533314,288.607
17/05/26 13:45:00,-0.0209523906197901,288.69199999999995
17/05/26 14:00:00,-0.0222018042328134,288.784
17/05/26 14:15:00,-0.0238354699602021,288.872
17/05/26 14:30:00,-0.0255574925043392,288.969
17/05/26 14:45:00,-0.026597839984732,289.093
17/05/26 15:00:00,-0.0277176939058511,289.157
17/05/26 15:15:00,-0.0292515080044362,289.254
17/05/26 15:30:00,-0.0303481414598217,289.35799999999995
17/05/26 15:45:00,-0.0318815651761737,289.47
17/05/26 16:00:00,-0.0328772810342394,289.585
17/05/26 16:15:00,-0.0345937428941727,289.696
17/05/26 16:30:00,-0.0356323488197661,289.809
17/05/26 16:45:00,-0.0369113278938647,289.924
17/05/26 17:00:00,-0.0382938012469761,290.041
17/05/26 17:15:00,-0.0391539350456883,290.15
17/05/26 17:30:00,-0.0398740803089572,290.247
17/05/26 17:45:00,-0.0407520877922369,290.351
17/05/26 18:00:00,-0.0417525292076129,290.45
