"Date Heure, GMT+01:00","Temp., °C (SEN S/N: 21065779, LBL: Triv)","Tension, V (SEN S/N: 21065779, LBL: U)"
05/18/17 12:00:00,19.961,2.49996
05/18/17 12:15:00,14.931,1.52277
05/18/17 12:30:00,14.921,1.9855
05/18/17 12:45:00,14.913,2.49996
05/18/17 13:00:00,14.922,2.49996
05/18/17 13:15:00,14.934,2.49996
05/18/17 13:30:00,14.94,2.49996
05/18/17 13:45:00,14.954,2.49996
05/18/17 14:00:00,14.922,2.49996
05/18/17 14:15:00,15.031,2.49996
05/18/17 14:30:00,15.093,2.49996
05/18/17 14:45:00,15.109,2.49996
05/18/17 15:00:00,15.16,2.49603
05/18/17 15:15:00,15.221,2.47024
05/18/17 15:30:00,15.29,2.44068
05/18/17 15:45:00,15.343,2.41684
05/18/17 16:00:00,15.417,2.39536
05/18/17 16:15:00,15.494,2.37469
05/18/17 16:30:00,15.558,2.35546
05/18/17 16:45:00,15.603,2.32429
05/18/17 17:00:00,15.655,2.3051
05/18/17 17:15:00,15.699,2.28767
05/18/17 17:30:00,15.779,2.2718
05/18/17 17:45:00,15.821,2.25273
05/18/17 18:00:00,15.837,2.23667
05/18/17 18:15:00,15.84,2.21424
05/18/17 18:30:00,15.87,2.19551
05/18/17 18:45:00,15.876,2.1799
05/18/17 19:00:00,15.894,2.15675
05/18/17 19:15:00,15.924,2.26204
05/18/17 19:30:00,16.734,2.23457
05/18/17 19:45:00,16.088,2.14038
05/18/17 20:00:00,15.661,2.10689
05/18/17 20:15:00,15.621,2.07397
05/18/17 20:30:00,15.548,2.0449
05/18/17 20:45:00,15.457,2.01476
05/18/17 21:00:00,15.378,1.99809
05/18/17 21:15:00,15.291,1.9744
05/18/17 21:30:00,15.205,1.94659
05/18/17 21:45:00,15.127,1.92622
05/18/17 22:00:00,15.069,1.90692
05/18/17 22:15:00,15.018,1.88861
05/18/17 22:30:00,14.973,1.87499
05/18/17 22:45:00,14.919,1.85801
05/18/17 23:00:00,14.865,1.83989
05/18/17 23:15:00,14.797,1.82258
05/18/17 23:30:00,14.716,1.8014
05/18/17 23:45:00,14.631,1.77966
05/19/17 00:00:00,14.538,1.76005
05/19/17 00:15:00,14.454,1.74189
05/19/17 00:30:00,14.358,1.7187
05/19/17 00:45:00,14.246,1.69574
05/19/17 01:00:00,14.162,1.68322
05/19/17 01:15:00,14.09,1.66133
05/19/17 01:30:00,14.033,1.64469
05/19/17 01:45:00,13.966,1.62978
05/19/17 02:00:00,13.948,1.61715
05/19/17 02:15:00,13.916,1.60658
05/19/17 02:30:00,13.871,1.59262
05/19/17 02:45:00,13.826,1.57622
05/19/17 03:00:00,13.757,1.56119
05/19/17 03:15:00,13.681,1.5452
05/19/17 03:30:00,13.608,1.53067
05/19/17 03:45:00,13.535,1.51175
05/19/17 04:00:00,13.46,1.49638
05/19/17 04:15:00,13.386,1.4818
05/19/17 04:30:00,13.32,1.46693
05/19/17 04:45:00,13.254,1.45609
05/19/17 05:00:00,13.204,1.44263
05/19/17 05:15:00,13.157,1.43301
05/19/17 05:30:00,13.12,1.41535
05/19/17 05:45:00,13.072,1.40963
05/19/17 06:00:00,13.028,1.3986
05/19/17 06:15:00,12.971,1.38434
05/19/17 06:30:00,12.925,1.37472
05/19/17 06:45:00,12.88,1.36763
05/19/17 07:00:00,12.835,1.35573
05/19/17 07:15:00,12.799,1.3489
05/19/17 07:30:00,12.775,1.34272
05/19/17 07:45:00,12.743,1.33845
05/19/17 08:00:00,12.726,1.32853
05/19/17 08:15:00,12.696,1.32349
05/19/17 08:30:00,12.657,1.31666
05/19/17 08:45:00,12.66,1.31369
05/19/17 09:00:00,12.669,1.30877
05/19/17 09:15:00,12.636,1.30144
05/19/17 09:30:00,12.601,1.29614
05/19/17 09:45:00,12.595,1.29175
05/19/17 10:00:00,12.609,1.28893
05/19/17 10:15:00,12.639,1.29099
05/19/17 10:30:00,12.695,1.29168
05/19/17 10:45:00,12.723,1.29427
05/19/17 11:00:00,12.716,1.29225
05/19/17 11:15:00,12.698,1.28943
05/19/17 11:30:00,12.69,1.28733
05/19/17 11:45:00,12.69,1.2863
05/19/17 12:00:00,12.695,1.28138
05/19/17 12:15:00,12.71,1.28122
05/19/17 12:30:00,12.752,1.28332
05/19/17 12:45:00,12.803,1.28752
05/19/17 13:00:00,12.88,1.29477
05/19/17 13:15:00,12.965,1.30079
05/19/17 13:30:00,13.026,1.3069
05/19/17 13:45:00,13.075,1.30865
05/19/17 14:00:00,13.117,1.31537
05/19/17 14:15:00,13.174,1.32052
05/19/17 14:30:00,13.216,1.31792
05/19/17 14:45:00,13.255,1.3188
05/19/17 15:00:00,13.287,1.31922
05/19/17 15:15:00,13.312,1.3188
05/19/17 15:30:00,13.356,1.32128
05/19/17 15:45:00,13.401,1.32376
05/19/17 16:00:00,13.44,1.3257
05/19/17 16:15:00,13.539,1.33516
05/19/17 16:30:00,13.571,1.34283
05/19/17 16:45:00,13.631,1.34176
05/19/17 17:00:00,13.638,1.34737
05/19/17 17:15:00,13.651,1.33845
05/19/17 17:30:00,13.623,1.3294
05/19/17 17:45:00,13.637,1.32822
05/19/17 18:00:00,13.651,1.32856
05/19/17 18:15:00,13.657,1.32235
05/19/17 18:30:00,13.684,1.32399
05/19/17 18:45:00,13.712,1.32448
05/19/17 19:00:00,13.733,1.32536
05/19/17 19:15:00,13.73,1.32326
05/19/17 19:30:00,13.721,1.32227
05/19/17 19:45:00,13.709,1.31899
05/19/17 20:00:00,13.697,1.31044
05/19/17 20:15:00,13.682,1.30613
05/19/17 20:30:00,13.678,1.30152
05/19/17 20:45:00,13.669,1.29641
05/19/17 21:00:00,13.635,1.29271
05/19/17 21:15:00,13.584,1.28737
05/19/17 21:30:00,13.529,1.27756
05/19/17 21:45:00,13.469,1.27096
05/19/17 22:00:00,13.427,1.2623
05/19/17 22:15:00,13.336,1.25444
05/19/17 22:30:00,13.327,1.24952
05/19/17 22:45:00,13.242,1.24231
05/19/17 23:00:00,13.168,1.23205
05/19/17 23:15:00,13.111,1.22084
05/19/17 23:30:00,13.064,1.21221
05/19/17 23:45:00,13.025,1.20649
