"Date Heure, GMT+01:00",Flux advectif (W/m2) pour la profondeur 0.0020 m,Flux advectif (W/m2) pour la profondeur 0.0060 m,Flux advectif (W/m2) pour la profondeur 0.0100 m,Flux advectif (W/m2) pour la profondeur 0.0140 m,Flux advectif (W/m2) pour la profondeur 0.0180 m,Flux advectif (W/m2) pour la profondeur 0.0220 m,Flux advectif (W/m2) pour la profondeur 0.0260 m,Flux advectif (W/m2) pour la profondeur 0.0300 m,Flux advectif (W/m2) pour la profondeur 0.0340 m,Flux advectif (W/m2) pour la profondeur 0.0380 m,Flux advectif (W/m2) pour la profondeur 0.0420 m,Flux advectif (W/m2) pour la profondeur 0.0460 m,Flux advectif (W/m2) pour la profondeur 0.0500 m,Flux advectif (W/m2) pour la profondeur 0.0540 m,Flux advectif (W/m2) pour la profondeur 0.0580 m,Flux advectif (W/m2) pour la profondeur 0.0620 m,Flux advectif (W/m2) pour la profondeur 0.0660 m,Flux advectif (W/m2) pour la profondeur 0.0700 m,Flux advectif (W/m2) pour la profondeur 0.0740 m,Flux advectif (W/m2) pour la profondeur 0.0780 m,Flux advectif (W/m2) pour la profondeur 0.0820 m,Flux advectif (W/m2) pour la profondeur 0.0860 m,Flux advectif (W/m2) pour la profondeur 0.0900 m,Flux advectif (W/m2) pour la profondeur 0.0940 m,Flux advectif (W/m2) pour la profondeur 0.0980 m,Flux advectif (W/m2) pour la profondeur 0.1020 m,Flux advectif (W/m2) pour la profondeur 0.1060 m,Flux advectif (W/m2) pour la profondeur 0.1100 m,Flux advectif (W/m2) pour la profondeur 0.1140 m,Flux advectif (W/m2) pour la profondeur 0.1180 m,Flux advectif (W/m2) pour la profondeur 0.1220 m,Flux advectif (W/m2) pour la profondeur 0.1260 m,Flux advectif (W/m2) pour la profondeur 0.1300 m,Flux advectif (W/m2) pour la profondeur 0.1340 m,Flux advectif (W/m2) pour la profondeur 0.1380 m,Flux advectif (W/m2) pour la profondeur 0.1420 m,Flux advectif (W/m2) pour la profondeur 0.1460 m,Flux advectif (W/m2) pour la profondeur 0.1500 m,Flux advectif (W/m2) pour la profondeur 0.1540 m,Flux advectif (W/m2) pour la profondeur 0.1580 m,Flux advectif (W/m2) pour la profondeur 0.1620 m,Flux advectif (W/m2) pour la profondeur 0.1660 m,Flux advectif (W/m2) pour la profondeur 0.1700 m,Flux advectif (W/m2) pour la profondeur 0.1740 m,Flux advectif (W/m2) pour la profondeur 0.1780 m,Flux advectif (W/m2) pour la profondeur 0.1820 m,Flux advectif (W/m2) pour la profondeur 0.1860 m,Flux advectif (W/m2) pour la profondeur 0.1900 m,Flux advectif (W/m2) pour la profondeur 0.1940 m,Flux advectif (W/m2) pour la profondeur 0.1980 m,Flux advectif (W/m2) pour la profondeur 0.2020 m,Flux advectif (W/m2) pour la profondeur 0.2060 m,Flux advectif (W/m2) pour la profondeur 0.2100 m,Flux advectif (W/m2) pour la profondeur 0.2140 m,Flux advectif (W/m2) pour la profondeur 0.2180 m,Flux advectif (W/m2) pour la profondeur 0.2220 m,Flux advectif (W/m2) pour la profondeur 0.2260 m,Flux advectif (W/m2) pour la profondeur 0.2300 m,Flux advectif (W/m2) pour la profondeur 0.2340 m,Flux advectif (W/m2) pour la profondeur 0.2380 m,Flux advectif (W/m2) pour la profondeur 0.2420 m,Flux advectif (W/m2) pour la profondeur 0.2460 m,Flux advectif (W/m2) pour la profondeur 0.2500 m,Flux advectif (W/m2) pour la profondeur 0.2540 m,Flux advectif (W/m2) pour la profondeur 0.2580 m,Flux advectif (W/m2) pour la profondeur 0.2620 m,Flux advectif (W/m2) pour la profondeur 0.2660 m,Flux advectif (W/m2) pour la profondeur 0.2700 m,Flux advectif (W/m2) pour la profondeur 0.2740 m,Flux advectif (W/m2) pour la profondeur 0.2780 m,Flux advectif (W/m2) pour la profondeur 0.2820 m,Flux advectif (W/m2) pour la profondeur 0.2860 m,Flux advectif (W/m2) pour la profondeur 0.2900 m,Flux advectif (W/m2) pour la profondeur 0.2940 m,Flux advectif (W/m2) pour la profondeur 0.2980 m,Flux advectif (W/m2) pour la profondeur 0.3020 m,Flux advectif (W/m2) pour la profondeur 0.3060 m,Flux advectif (W/m2) pour la profondeur 0.3100 m,Flux advectif (W/m2) pour la profondeur 0.3140 m,Flux advectif (W/m2) pour la profondeur 0.3180 m,Flux advectif (W/m2) pour la profondeur 0.3220 m,Flux advectif (W/m2) pour la profondeur 0.3260 m,Flux advectif (W/m2) pour la profondeur 0.3300 m,Flux advectif (W/m2) pour la profondeur 0.3340 m,Flux advectif (W/m2) pour la profondeur 0.3380 m,Flux advectif (W/m2) pour la profondeur 0.3420 m,Flux advectif (W/m2) pour la profondeur 0.3460 m,Flux advectif (W/m2) pour la profondeur 0.3500 m,Flux advectif (W/m2) pour la profondeur 0.3540 m,Flux advectif (W/m2) pour la profondeur 0.3580 m,Flux advectif (W/m2) pour la profondeur 0.3620 m,Flux advectif (W/m2) pour la profondeur 0.3660 m,Flux advectif (W/m2) pour la profondeur 0.3700 m,Flux advectif (W/m2) pour la profondeur 0.3740 m,Flux advectif (W/m2) pour la profondeur 0.3780 m,Flux advectif (W/m2) pour la profondeur 0.3820 m,Flux advectif (W/m2) pour la profondeur 0.3860 m,Flux advectif (W/m2) pour la profondeur 0.3900 m,Flux advectif (W/m2) pour la profondeur 0.3940 m,Flux advectif (W/m2) pour la profondeur 0.3980 m
17/05/25 13:00:00,-20.81523,-20.709274,-20.607971,-20.511194,-20.418785,-20.330803,-20.247032,-20.167288,-20.091444,-20.019554,-19.95145,-19.886946,-19.825943,-19.768328,-19.71407,-19.663124,-19.615185,-19.570164,-19.528114,-19.48895,-19.452366,-19.418343,-19.38677,-19.357613,-19.330788,-19.306112,-19.283419,-19.262758,-19.244041,-19.22705,-19.211658,-19.197956,-19.18577,-19.17497,-19.165407,-19.157017,-19.149845,-19.14372,-19.13847,-19.134007,-19.130379,-19.127457,-19.125067,-19.123112,-19.121574,-19.120378,-19.11944,-19.118628,-19.11786,-19.117092,-19.116196,-19.115162,-19.113762,-19.112097,-19.109962,-19.107359,-19.104115,-19.100271,-19.09562,-19.090197,-19.083914,-19.07658,-19.068213,-19.058735,-19.048105,-19.036196,-19.022919,-19.008276,-18.99214,-18.974466,-18.955172,-18.934227,-18.911499,-18.886953,-18.860529,-18.8322,-18.801804,-18.769344,-18.734766,-18.697968,-18.658907,-18.61754,-18.57374,-18.527552,-18.478842,-18.42758,-18.373663,-18.3171,-18.257805,-18.195683,-18.130753,-18.06292,-17.992144,-17.91838,-17.841536,-17.761574,-17.678461,-17.592144,-17.502579,-17.40973
17/05/25 13:15:00,-24.756897,-24.645603,-24.509493,-24.375101,-24.24283,-24.112787,-23.985085,-23.860022,-23.738165,-23.619143,-23.503181,-23.390455,-23.281023,-23.174936,-23.07207,-22.972397,-22.875977,-22.782843,-22.69304,-22.60637,-22.522722,-22.442364,-22.364895,-22.290337,-22.218668,-22.149803,-22.083635,-22.02011,-21.95923,-21.900871,-21.844679,-21.79075,-21.739077,-21.68939,-21.641642,-21.595886,-21.551744,-21.509197,-21.468294,-21.428886,-21.390837,-21.354052,-21.318445,-21.28404,-21.250534,-21.217932,-21.186169,-21.15502,-21.124628,-21.094723,-21.065382,-21.036276,-21.007542,-20.979013,-20.950605,-20.922277,-20.893833,-20.865131,-20.836292,-20.807121,-20.777512,-20.747463,-20.716848,-20.685705,-20.6539,-20.621418,-20.58817,-20.553967,-20.51886,-20.482742,-20.445595,-20.407454,-20.368193,-20.327827,-20.286385,-20.24373,-20.199766,-20.154634,-20.108236,-20.060593,-20.011555,-19.961237,-19.909695,-19.856932,-19.802986,-19.747866,-19.691687,-19.634506,-19.576359,-19.51742,-19.457857,-19.39773,-19.337261,-19.27659,-19.216085,-19.155933,-19.096355,-19.037823,-18.980648,-18.923828
17/05/25 13:30:00,-25.219484,-25.134283,-25.046183,-24.95901,-24.872913,-24.788303,-24.704865,-24.622576,-24.541508,-24.461693,-24.383121,-24.305964,-24.230202,-24.155638,-24.08259,-24.011143,-23.941217,-23.872784,-23.805998,-23.740747,-23.677032,-23.614803,-23.554058,-23.495066,-23.437521,-23.381422,-23.326832,-23.273752,-23.222181,-23.172127,-23.123497,-23.076077,-23.030073,-22.985329,-22.941658,-22.899012,-22.857603,-22.81725,-22.77766,-22.73902,-22.701296,-22.664318,-22.627949,-22.592306,-22.557274,-22.522615,-22.488462,-22.45465,-22.421024,-22.38772,-22.354502,-22.32149,-22.288328,-22.255222,-22.221935,-22.188467,-22.154821,-22.120893,-22.08657,-22.051817,-22.016668,-21.981123,-21.945034,-21.908186,-21.870594,-21.832342,-21.793396,-21.75366,-21.713083,-21.671667,-21.629475,-21.586359,-21.542337,-21.497412,-21.451593,-21.404856,-21.357164,-21.308569,-21.258984,-21.20851,-21.157246,-21.105171,-21.052225,-20.998508,-20.943949,-20.888565,-20.83258,-20.775877,-20.718546,-20.660526,-20.601923,-20.542696,-20.482967,-20.422655,-20.36169,-20.299995,-20.237673,-20.17461,-20.110563,-20.046654
17/05/25 13:45:00,-28.953318,-28.837908,-28.697178,-28.559044,-28.42367,-28.290861,-28.160254,-28.032328,-27.907066,-27.784313,-27.664152,-27.546398,-27.431238,-27.3185,-27.20805,-27.100069,-26.994247,-26.890743,-26.789606,-26.690655,-26.594002,-26.499697,-26.407387,-26.317087,-26.229057,-26.143082,-26.059042,-25.976973,-25.896696,-25.81833,-25.741758,-25.666967,-25.593777,-25.522175,-25.45215,-25.383785,-25.316816,-25.251234,-25.187107,-25.124184,-25.06255,-25.002268,-24.943022,-24.884623,-24.827261,-24.77095,-24.715378,-24.660484,-24.606453,-24.553,-24.500174,-24.44792,-24.396114,-24.34468,-24.293737,-24.243172,-24.192753,-24.1425,-24.092505,-24.04263,-23.992842,-23.942968,-23.893068,-23.843159,-23.793276,-23.74326,-23.69305,-23.642532,-23.591787,-23.540936,-23.489685,-23.438171,-23.386366,-23.33424,-23.281807,-23.229118,-23.176054,-23.12273,-23.069117,-23.01515,-22.96073,-22.90608,-22.85113,-22.795895,-22.740498,-22.684883,-22.62907,-22.573063,-22.51695,-22.4607,-22.404371,-22.347982,-22.291656,-22.235456,-22.17946,-22.12381,-22.068546,-22.013815,-21.959892,-21.906185
17/05/25 14:00:00,-30.01873,-29.917217,-29.80931,-29.703074,-29.598116,-29.494738,-29.392872,-29.292171,-29.193213,-29.095705,-28.99961,-28.90519,-28.811953,-28.720299,-28.63018,-28.541393,-28.453995,-28.367922,-28.283316,-28.199963,-28.117807,-28.037273,-27.958136,-27.880201,-27.80353,-27.728067,-27.65394,-27.580952,-27.509104,-27.438417,-27.36894,-27.300539,-27.233145,-27.166773,-27.101357,-27.036821,-26.973576,-26.911112,-26.849472,-26.788736,-26.728777,-26.669603,-26.611143,-26.553272,-26.496004,-26.439264,-26.383055,-26.327257,-26.271935,-26.217089,-26.162535,-26.108402,-26.054754,-26.001213,-25.947844,-25.894773,-25.84191,-25.789164,-25.736483,-25.683855,-25.631224,-25.578627,-25.525896,-25.47308,-25.420172,-25.36714,-25.314083,-25.260868,-25.207563,-25.154047,-25.100466,-25.046797,-24.992908,-24.93878,-24.884497,-24.82994,-24.775166,-24.720175,-24.665054,-24.609716,-24.554274,-24.498667,-24.442936,-24.386982,-24.330921,-24.274778,-24.218618,-24.162384,-24.10616,-24.04995,-23.993732,-23.937693,-23.881826,-23.826065,-23.770485,-23.715073,-23.659819,-23.604733,-23.549866,-23.49566
17/05/25 14:15:00,-32.484535,-32.36478,-32.228485,-32.094196,-31.962543,-31.83347,-31.706436,-31.581879,-31.459723,-31.339512,-31.221312,-31.10528,-30.991606,-30.879997,-30.770458,-30.662907,-30.557062,-30.453268,-30.351374,-30.251324,-30.153238,-30.056763,-29.961967,-29.86892,-29.777546,-29.687637,-29.599197,-29.512362,-29.42698,-29.342985,-29.260452,-29.179157,-29.099121,-29.020525,-28.943174,-28.86706,-28.791851,-28.717678,-28.644676,-28.572645,-28.501516,-28.431488,-28.362364,-28.29401,-28.226553,-28.159868,-28.09395,-28.028595,-27.964066,-27.900242,-27.83692,-27.774035,-27.711718,-27.650034,-27.588524,-27.527576,-27.46713,-27.406927,-27.347088,-27.287584,-27.228386,-27.16933,-27.11051,-27.05205,-26.99376,-26.935705,-26.87788,-26.820038,-26.762358,-26.704847,-26.647436,-26.590094,-26.53282,-26.475674,-26.418625,-26.361702,-26.304932,-26.248283,-26.19167,-26.135231,-26.078836,-26.022663,-25.966516,-25.910696,-25.855097,-25.799747,-25.74469,-25.68985,-25.63536,-25.5812,-25.527441,-25.474022,-25.420992,-25.368488,-25.316492,-25.26509,-25.214336,-25.16427,-25.115025,-25.06642
17/05/25 14:30:00,-36.275738,-36.13292,-35.96629,-35.802452,-35.641106,-35.48245,-35.326466,-35.17293,-35.022133,-34.874054,-34.728676,-34.585342,-34.444332,-34.305923,-34.169888,-34.036217,-33.90454,-33.77478,-33.647358,-33.52212,-33.398632,-33.277172,-33.157867,-33.04064,-32.92521,-32.811417,-32.69954,-32.58936,-32.481014,-32.37435,-32.269157,-32.165565,-32.06371,-31.963234,-31.864138,-31.76662,-31.6706,-31.575739,-31.482166,-31.390013,-31.299063,-31.209251,-31.120636,-31.033216,-30.946781,-30.861532,-30.777395,-30.694162,-30.611902,-30.530602,-30.450201,-30.370619,-30.29199,-30.214111,-30.136978,-30.060524,-29.98487,-29.909954,-29.8357,-29.762177,-29.689112,-29.616772,-29.545115,-29.473814,-29.403126,-29.332983,-29.263346,-29.194246,-29.125591,-29.057402,-28.989676,-28.922417,-28.855717,-28.789474,-28.723686,-28.658384,-28.593504,-28.529007,-28.46505,-28.401508,-28.338524,-28.275948,-28.21389,-28.152267,-28.091063,-28.030386,-27.97022,-27.910465,-27.851215,-27.792402,-27.734179,-27.676504,-27.61934,-27.56257,-27.506279,-27.45039,-27.394974,-27.340033,-27.285484,-27.231552
17/05/25 14:45:00,-38.258656,-38.111507,-37.951958,-37.795246,-37.64107,-37.490086,-37.341625,-37.195522,-37.052288,-36.911106,-36.771973,-36.635616,-36.50172,-36.36978,-36.23993,-36.11209,-35.98604,-35.862053,-35.73999,-35.619766,-35.501377,-35.384674,-35.26972,-35.156498,-35.04474,-34.934635,-34.826256,-34.719387,-34.613804,-34.50979,-34.4074,-34.306217,-34.206375,-34.107864,-34.010605,-33.914665,-33.819763,-33.7259,-33.63334,-33.54194,-33.451565,-33.362274,-33.274197,-33.186916,-33.100708,-33.015423,-32.930996,-32.84734,-32.764526,-32.682423,-32.601368,-32.521137,-32.441536,-32.362488,-32.284336,-32.206993,-32.130257,-32.054005,-31.978487,-31.903624,-31.8293,-31.755434,-31.682024,-31.609272,-31.537167,-31.465544,-31.394398,-31.323761,-31.253704,-31.184084,-31.11497,-31.04649,-30.978344,-30.910555,-30.843288,-30.77645,-30.71,-30.644205,-30.578825,-30.513859,-30.4492,-30.384981,-30.321228,-30.257883,-30.194971,-30.132387,-30.070292,-30.008757,-29.947546,-29.886816,-29.826496,-29.766558,-29.707026,-29.647959,-29.58935,-29.531288,-29.473783,-29.416807,-29.360292,-29.304403
17/05/25 15:00:00,-38.83842,-38.703808,-38.56466,-38.427036,-38.291386,-38.157402,-38.024864,-37.894005,-37.764885,-37.637806,-37.512535,-37.388924,-37.26735,-37.14728,-37.028797,-36.912186,-36.79715,-36.683548,-36.57144,-36.460976,-36.352295,-36.24524,-36.139317,-36.0351,-35.93243,-35.8308,-35.730583,-35.631626,-35.534187,-35.437935,-35.34286,-35.249023,-35.156292,-35.06486,-34.974518,-34.88526,-34.796875,-34.709587,-34.623367,-34.53822,-34.453854,-34.37056,-34.287983,-34.206326,-34.12537,-34.04519,-33.965782,-33.887146,-33.8092,-33.732025,-33.65553,-33.57966,-33.504467,-33.42983,-33.35573,-33.28237,-33.20948,-33.137043,-33.065205,-32.9939,-32.92312,-32.85285,-32.782913,-32.713356,-32.64431,-32.575584,-32.50737,-32.439667,-32.37212,-32.304943,-32.238213,-32.17185,-32.105778,-32.04018,-31.974949,-31.91004,-31.845497,-31.781284,-31.717285,-31.653646,-31.590403,-31.527443,-31.464722,-31.402304,-31.340155,-31.278343,-31.216848,-31.155664,-31.094667,-31.033936,-30.973515,-30.91347,-30.853848,-30.794527,-30.735556,-30.676874,-30.61863,-30.560587,-30.5029,-30.445631
17/05/25 15:15:00,-41.968624,-41.803658,-41.619938,-41.43946,-41.26183,-41.087177,-40.915047,-40.745785,-40.579678,-40.415886,-40.254555,-40.095898,-39.93959,-39.785637,-39.634384,-39.485588,-39.338665,-39.194042,-39.052002,-38.91173,-38.77351,-38.637623,-38.50383,-38.371994,-38.242092,-38.11427,-37.988277,-37.864048,-37.741432,-37.620792,-37.501892,-37.384575,-37.26897,-37.154957,-37.042427,-36.93181,-36.82247,-36.714516,-36.608078,-36.502834,-36.399025,-36.296494,-36.195343,-36.0954,-35.99675,-35.899227,-35.802982,-35.70792,-35.61392,-35.52097,-35.429165,-35.338528,-35.24893,-35.160202,-35.072495,-34.985584,-34.89952,-34.814392,-34.73004,-34.646687,-34.564198,-34.482487,-34.401527,-34.32141,-34.241985,-34.163387,-34.08555,-34.008278,-33.931725,-33.855732,-33.780552,-33.705963,-33.63202,-33.558582,-33.485855,-33.413677,-33.342045,-33.270992,-33.20053,-33.130592,-33.061275,-32.992496,-32.924286,-32.8565,-32.78934,-32.72262,-32.656364,-32.590714,-32.525608,-32.46103,-32.39697,-32.333347,-32.270157,-32.207478,-32.1453,-32.08358,-32.02236,-31.961655,-31.901468,-31.84184
