"Date Heure, GMT+01:00",Débit d'eau échangé (m/s)
17/05/25 13:00:00,-6.75254170801054e-07
17/05/25 13:15:00,-2.5498752620478626e-07
17/05/25 13:30:00,-4.667716666517663e-07
17/05/25 13:45:00,-4.362856600437226e-07
17/05/25 14:00:00,-4.879642006017093e-07
17/05/25 14:15:00,-5.082349048279866e-07
17/05/25 14:30:00,-5.719723503716523e-07
17/05/25 14:45:00,-5.95497681388224e-07
17/05/25 15:00:00,-6.028910775057739e-07
17/05/25 15:15:00,-6.481826630988508e-07
17/05/25 15:30:00,-6.76382910569373e-07
17/05/25 15:45:00,-7.355865250247007e-07
17/05/25 16:00:00,-7.611436103616143e-07
17/05/25 16:15:00,-7.787899676259258e-07
17/05/25 16:30:00,-8.172243610715668e-07
17/05/25 16:45:00,-8.514822980032477e-07
17/05/25 17:00:00,-8.741704391468375e-07
17/05/25 17:15:00,-8.986645525510539e-07
17/05/25 17:30:00,-9.242687042387843e-07
17/05/25 17:45:00,-9.581503945810255e-07
17/05/25 18:00:00,-9.655626627136371e-07
17/05/25 18:15:00,-9.649417052060016e-07
17/05/25 18:30:00,-9.617999694455648e-07
17/05/25 18:45:00,-9.862001206784043e-07
17/05/25 19:00:00,-9.852594757830957e-07
17/05/25 19:15:00,-1.0007800028688507e-06
17/05/25 19:30:00,-9.833406693360303e-07
17/05/25 19:45:00,-1.0076090575239505e-06
17/05/25 20:00:00,-9.589593901182525e-07
17/05/25 20:15:00,-9.313610576100473e-07
17/05/25 20:30:00,-8.932277069106931e-07
17/05/25 20:45:00,-8.595906137998099e-07
17/05/25 21:00:00,-8.259910941887938e-07
17/05/25 21:15:00,-7.785830007378536e-07
17/05/25 21:30:00,-7.6459576803245e-07
17/05/25 21:45:00,-7.159272854551091e-07
17/05/25 22:00:00,-6.715292784065241e-07
17/05/25 22:15:00,-6.196061690388888e-07
17/05/25 22:30:00,-5.81933704779658e-07
17/05/25 22:45:00,-5.530655471375212e-07
17/05/25 23:00:00,-5.014999260311015e-07
17/05/25 23:15:00,-4.90268803332583e-07
17/05/25 23:30:00,-4.458519526906457e-07
17/05/25 23:45:00,-4.151213772729534e-07
17/05/26 00:00:00,-3.7359700399974827e-07
17/05/26 00:15:00,-3.443009006787179e-07
17/05/26 00:30:00,-3.055514241623314e-07
17/05/26 00:45:00,-2.680717727798765e-07
17/05/26 01:00:00,-2.424817751034425e-07
17/05/26 01:15:00,-2.1743736056123453e-07
17/05/26 01:30:00,-1.802540197104463e-07
17/05/26 01:45:00,-1.4732941622241924e-07
17/05/26 02:00:00,-1.3528693898479105e-07
17/05/26 02:15:00,-9.145566082224832e-08
17/05/26 02:30:00,-7.468177187774927e-08
17/05/26 02:45:00,-4.928460839437321e-08
17/05/26 03:00:00,-2.094266626784247e-08
17/05/26 03:15:00,-2.4412436516740854e-09
17/05/26 03:30:00,2.734148907279632e-08
17/05/26 03:45:00,4.685777099666666e-08
17/05/26 04:00:00,6.772459215653726e-08
17/05/26 04:15:00,8.728864031581907e-08
17/05/26 04:30:00,1.0401785743852088e-07
17/05/26 04:45:00,1.114582843797507e-07
17/05/26 05:00:00,1.2051896192133427e-07
17/05/26 05:15:00,1.49370606550292e-07
17/05/26 05:30:00,1.442629411485541e-07
17/05/26 05:45:00,1.5135533715238125e-07
17/05/26 06:00:00,1.6564359839321696e-07
17/05/26 06:15:00,1.6114736922645534e-07
17/05/26 06:30:00,1.6536611724404793e-07
17/05/26 06:45:00,1.467956138867521e-07
17/05/26 07:00:00,1.5082389381859684e-07
17/05/26 07:15:00,1.195924284047578e-07
17/05/26 07:30:00,8.417514152370131e-08
17/05/26 07:45:00,5.042277706479581e-08
17/05/26 08:00:00,2.6782839057659658e-08
17/05/26 08:15:00,8.647970339836775e-09
17/05/26 08:30:00,-1.2873170085470065e-08
17/05/26 08:45:00,-4.6739604186996075e-08
17/05/26 09:00:00,-6.429362997550925e-08
17/05/26 09:15:00,-9.079251128696342e-08
17/05/26 09:30:00,-1.0532415473107903e-07
17/05/26 09:45:00,-1.3816763555496436e-07
17/05/26 10:00:00,-1.581114617010826e-07
17/05/26 10:15:00,-1.6752487397297955e-07
17/05/26 10:30:00,-1.9655054472877964e-07
17/05/26 10:45:00,-2.1748910228325258e-07
17/05/26 11:00:00,-2.3422771278092114e-07
17/05/26 11:15:00,-2.521092028473504e-07
17/05/26 11:30:00,-2.782588808258879e-07
17/05/26 11:45:00,-2.8686568498415e-07
17/05/26 12:00:00,-3.196797422333475e-07
17/05/26 12:15:00,-3.584574699289078e-07
17/05/26 12:30:00,-3.85971077321301e-07
17/05/26 12:45:00,-4.0610069618196576e-07
17/05/26 13:00:00,-4.545057947780151e-07
17/05/26 13:15:00,-4.984805173080531e-07
17/05/26 13:30:00,-5.148757509232382e-07
17/05/26 13:45:00,-5.441107191472838e-07
17/05/26 14:00:00,-5.781241156910255e-07
17/05/26 14:15:00,-6.253252422538935e-07
17/05/26 14:30:00,-6.688014195788128e-07
17/05/26 14:45:00,-6.835600174781575e-07
17/05/26 15:00:00,-7.161248163356504e-07
17/05/26 15:15:00,-7.60626278406562e-07
17/05/26 15:30:00,-7.79542517648224e-07
17/05/26 15:45:00,-8.279475878225639e-07
17/05/26 16:00:00,-8.413610430579865e-07
17/05/26 16:15:00,-9.001131502373028e-07
17/05/26 16:30:00,-9.106859124585753e-07
17/05/26 16:45:00,-9.513401550975686e-07
17/05/26 17:00:00,-9.855605185293825e-07
17/05/26 17:15:00,-9.987670637201518e-07
17/05/26 17:30:00,-1.0166579613724025e-06
17/05/26 17:45:00,-1.0415659517093445e-06
17/05/26 18:00:00,-1.0681859521355364e-06
17/05/26 18:15:00,-1.0693523790905601e-06
17/05/26 18:30:00,-1.089218585548224e-06
17/05/26 18:45:00,-1.1032341262762202e-06
17/05/26 19:00:00,-1.0978347972923075e-06
17/05/26 19:15:00,-1.1087462326031527e-06
17/05/26 19:30:00,-1.088409590010997e-06
17/05/26 19:45:00,-1.0828034646692686e-06
17/05/26 20:00:00,-1.0587232281977776e-06
17/05/26 20:15:00,-1.0384807183072553e-06
17/05/26 20:30:00,-1.0164321793126874e-06
17/05/26 20:45:00,-9.951548918252229e-07
17/05/26 21:00:00,-9.503430646873312e-07
17/05/26 21:15:00,-9.268084113500663e-07
17/05/26 21:30:00,-8.859471449795819e-07
17/05/26 21:45:00,-8.473622870042163e-07
17/05/26 22:00:00,-8.058049729697814e-07
17/05/26 22:15:00,-7.477019607904367e-07
17/05/26 22:30:00,-7.239320893859258e-07
17/05/26 22:45:00,-6.866546868877776e-07
17/05/26 23:00:00,-6.589435770365526e-07
17/05/26 23:15:00,-6.258050007090787e-07
17/05/26 23:30:00,-6.044901397217473e-07
17/05/26 23:45:00,-5.700722454093921e-07
17/05/27 00:00:00,-5.289288651511015e-07
17/05/27 00:15:00,-5.14932196438167e-07
17/05/27 00:30:00,-4.7482353693339974e-07
17/05/27 00:45:00,-4.5442112650562194e-07
17/05/27 01:00:00,-4.290051549560303e-07
17/05/27 01:15:00,-3.875231300298765e-07
17/05/27 01:30:00,-3.761790310363722e-07
17/05/27 01:45:00,-3.5207526138947287e-07
17/05/27 02:00:00,-3.0688713081872265e-07
17/05/27 02:15:00,-2.934360452400142e-07
17/05/27 02:30:00,-2.6943570219373214e-07
17/05/27 02:45:00,-2.475471205798385e-07
17/05/27 03:00:00,-2.3624536993338552e-07
17/05/27 03:15:00,-1.975852370605935e-07
17/05/27 03:30:00,-1.9424598463047005e-07
17/05/27 03:45:00,-1.616553078065408e-07
17/05/27 04:00:00,-1.586875981729463e-07
17/05/27 04:15:00,-1.3104937579555553e-07
17/05/27 04:30:00,-1.0994385490903369e-07
17/05/27 04:45:00,-8.186705713342235e-08
17/05/27 05:00:00,-6.025007337484567e-08
17/05/27 05:15:00,-4.334802383709757e-08
17/05/27 05:30:00,-2.3785737823800446e-08
17/05/27 05:45:00,-1.2735032584032524e-08
17/05/27 06:00:00,-3.4840266227575967e-09
17/05/27 06:15:00,1.3749229310633382e-08
17/05/27 06:30:00,9.551861523959815e-09
17/05/27 06:45:00,6.72892586095486e-09
17/05/27 07:00:00,6.586360790095114e-09
17/05/27 07:15:00,-1.9370041570709873e-08
17/05/27 07:30:00,-4.186005497786027e-08
17/05/27 07:45:00,-6.212781755721153e-08
17/05/27 08:00:00,-9.424582003703108e-08
17/05/27 08:15:00,-8.682773966484092e-08
17/05/27 08:30:00,-1.4450046137426398e-07
