"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 0.0020 m,Flux d'énergie total (W/m2) pour la profondeur 0.0060 m,Flux d'énergie total (W/m2) pour la profondeur 0.0100 m,Flux d'énergie total (W/m2) pour la profondeur 0.0140 m,Flux d'énergie total (W/m2) pour la profondeur 0.0180 m,Flux d'énergie total (W/m2) pour la profondeur 0.0220 m,Flux d'énergie total (W/m2) pour la profondeur 0.0260 m,Flux d'énergie total (W/m2) pour la profondeur 0.0300 m,Flux d'énergie total (W/m2) pour la profondeur 0.0340 m,Flux d'énergie total (W/m2) pour la profondeur 0.0380 m,Flux d'énergie total (W/m2) pour la profondeur 0.0420 m,Flux d'énergie total (W/m2) pour la profondeur 0.0460 m,Flux d'énergie total (W/m2) pour la profondeur 0.0500 m,Flux d'énergie total (W/m2) pour la profondeur 0.0540 m,Flux d'énergie total (W/m2) pour la profondeur 0.0580 m,Flux d'énergie total (W/m2) pour la profondeur 0.0620 m,Flux d'énergie total (W/m2) pour la profondeur 0.0660 m,Flux d'énergie total (W/m2) pour la profondeur 0.0700 m,Flux d'énergie total (W/m2) pour la profondeur 0.0740 m,Flux d'énergie total (W/m2) pour la profondeur 0.0780 m,Flux d'énergie total (W/m2) pour la profondeur 0.0820 m,Flux d'énergie total (W/m2) pour la profondeur 0.0860 m,Flux d'énergie total (W/m2) pour la profondeur 0.0900 m,Flux d'énergie total (W/m2) pour la profondeur 0.0940 m,Flux d'énergie total (W/m2) pour la profondeur 0.0980 m,Flux d'énergie total (W/m2) pour la profondeur 0.1020 m,Flux d'énergie total (W/m2) pour la profondeur 0.1060 m,Flux d'énergie total (W/m2) pour la profondeur 0.1100 m,Flux d'énergie total (W/m2) pour la profondeur 0.1140 m,Flux d'énergie total (W/m2) pour la profondeur 0.1180 m,Flux d'énergie total (W/m2) pour la profondeur 0.1220 m,Flux d'énergie total (W/m2) pour la profondeur 0.1260 m,Flux d'énergie total (W/m2) pour la profondeur 0.1300 m,Flux d'énergie total (W/m2) pour la profondeur 0.1340 m,Flux d'énergie total (W/m2) pour la profondeur 0.1380 m,Flux d'énergie total (W/m2) pour la profondeur 0.1420 m,Flux d'énergie total (W/m2) pour la profondeur 0.1460 m,Flux d'énergie total (W/m2) pour la profondeur 0.1500 m,Flux d'énergie total (W/m2) pour la profondeur 0.1540 m,Flux d'énergie total (W/m2) pour la profondeur 0.1580 m,Flux d'énergie total (W/m2) pour la profondeur 0.1620 m,Flux d'énergie total (W/m2) pour la profondeur 0.1660 m,Flux d'énergie total (W/m2) pour la profondeur 0.1700 m,Flux d'énergie total (W/m2) pour la profondeur 0.1740 m,Flux d'énergie total (W/m2) pour la profondeur 0.1780 m,Flux d'énergie total (W/m2) pour la profondeur 0.1820 m,Flux d'énergie total (W/m2) pour la profondeur 0.1860 m,Flux d'énergie total (W/m2) pour la profondeur 0.1900 m,Flux d'énergie total (W/m2) pour la profondeur 0.1940 m,Flux d'énergie total (W/m2) pour la profondeur 0.1980 m,Flux d'énergie total (W/m2) pour la profondeur 0.2020 m,Flux d'énergie total (W/m2) pour la profondeur 0.2060 m,Flux d'énergie total (W/m2) pour la profondeur 0.2100 m,Flux d'énergie total (W/m2) pour la profondeur 0.2140 m,Flux d'énergie total (W/m2) pour la profondeur 0.2180 m,Flux d'énergie total (W/m2) pour la profondeur 0.2220 m,Flux d'énergie total (W/m2) pour la profondeur 0.2260 m,Flux d'énergie total (W/m2) pour la profondeur 0.2300 m,Flux d'énergie total (W/m2) pour la profondeur 0.2340 m,Flux d'énergie total (W/m2) pour la profondeur 0.2380 m,Flux d'énergie total (W/m2) pour la profondeur 0.2420 m,Flux d'énergie total (W/m2) pour la profondeur 0.2460 m,Flux d'énergie total (W/m2) pour la profondeur 0.2500 m,Flux d'énergie total (W/m2) pour la profondeur 0.2540 m,Flux d'énergie total (W/m2) pour la profondeur 0.2580 m,Flux d'énergie total (W/m2) pour la profondeur 0.2620 m,Flux d'énergie total (W/m2) pour la profondeur 0.2660 m,Flux d'énergie total (W/m2) pour la profondeur 0.2700 m,Flux d'énergie total (W/m2) pour la profondeur 0.2740 m,Flux d'énergie total (W/m2) pour la profondeur 0.2780 m,Flux d'énergie total (W/m2) pour la profondeur 0.2820 m,Flux d'énergie total (W/m2) pour la profondeur 0.2860 m,Flux d'énergie total (W/m2) pour la profondeur 0.2900 m,Flux d'énergie total (W/m2) pour la profondeur 0.2940 m,Flux d'énergie total (W/m2) pour la profondeur 0.2980 m,Flux d'énergie total (W/m2) pour la profondeur 0.3020 m,Flux d'énergie total (W/m2) pour la profondeur 0.3060 m,Flux d'énergie total (W/m2) pour la profondeur 0.3100 m,Flux d'énergie total (W/m2) pour la profondeur 0.3140 m,Flux d'énergie total (W/m2) pour la profondeur 0.3180 m,Flux d'énergie total (W/m2) pour la profondeur 0.3220 m,Flux d'énergie total (W/m2) pour la profondeur 0.3260 m,Flux d'énergie total (W/m2) pour la profondeur 0.3300 m,Flux d'énergie total (W/m2) pour la profondeur 0.3340 m,Flux d'énergie total (W/m2) pour la profondeur 0.3380 m,Flux d'énergie total (W/m2) pour la profondeur 0.3420 m,Flux d'énergie total (W/m2) pour la profondeur 0.3460 m,Flux d'énergie total (W/m2) pour la profondeur 0.3500 m,Flux d'énergie total (W/m2) pour la profondeur 0.3540 m,Flux d'énergie total (W/m2) pour la profondeur 0.3580 m,Flux d'énergie total (W/m2) pour la profondeur 0.3620 m,Flux d'énergie total (W/m2) pour la profondeur 0.3660 m,Flux d'énergie total (W/m2) pour la profondeur 0.3700 m,Flux d'énergie total (W/m2) pour la profondeur 0.3740 m,Flux d'énergie total (W/m2) pour la profondeur 0.3780 m,Flux d'énergie total (W/m2) pour la profondeur 0.3820 m,Flux d'énergie total (W/m2) pour la profondeur 0.3860 m,Flux d'énergie total (W/m2) pour la profondeur 0.3900 m,Flux d'énergie total (W/m2) pour la profondeur 0.3940 m,Flux d'énergie total (W/m2) pour la profondeur 0.3980 m
16/06/27 12:00:00,-228.98431,-222.82666,-210.73112,-199.02599,-187.69121,-176.75677,-166.21269,-156.02892,-146.20544,-136.75229,-127.65939,-118.896774,-110.494415,-102.432304,-94.68042,-87.26875,-80.1873,-73.406044,-66.93496,-60.764072,-54.89334,-49.322758,-44.022324,-39.00203,-34.261852,-29.781796,-25.571838,-21.61198,-17.902212,-14.442521,-11.212904,-8.223347,-5.44385,-2.8943992,-0.5649872,1.5543902,3.4737415,5.2030697,6.7423844,8.091691,9.251,10.250309,11.079626,11.748958,12.258308,12.617683,12.827088,12.906524,12.855991,12.665504,12.365059,11.944661,11.414313,10.784016,10.053774,9.233589,8.333461,7.3433957,6.2833934,5.1534553,3.963581,2.7137716,1.4140298,0.07435286,-1.3152543,-2.724799,-4.174274,-5.6336856,-7.1130333,-8.612312,-10.101534,-11.590694,-13.069798,-14.548839,-16.007826,-17.426765,-18.815655,-20.184494,-21.50329,-22.762053,-23.970776,-25.119467,-26.218128,-27.236765,-28.155394,-29.014,-29.782595,-30.441196,-31.009794,-31.478397,-31.827019,-32.045666,-32.144337,-32.12304,-31.961782,-31.650578,-31.199429,-30.588346,-29.82733,-29.416252
16/06/27 12:15:00,234.62651,210.62576,165.23184,126.46022,93.54668,65.768265,42.478836,23.103256,7.1093025,-5.9508953,-16.470407,-24.807331,-31.265059,-36.132504,-39.66459,-42.02264,-43.394806,-43.966465,-43.860645,-43.19831,-42.0887,-40.599567,-38.837402,-36.85765,-34.704872,-32.422867,-30.054815,-27.67336,-25.270733,-22.888767,-20.569006,-18.29274,-16.10104,-14.004797,-11.9947605,-10.091553,-8.3256855,-6.667598,-5.1176553,-3.70615,-2.4233365,-1.2694235,-0.234588,0.68102443,1.4672945,2.1141253,2.6314316,3.0291407,3.32719,3.52553,3.6141262,3.5829475,3.4419634,3.2011516,2.8804898,2.47996,1.9895544,1.4492517,0.8190526,0.11894852,-0.6210758,-1.4110217,-2.250895,-3.1506925,-4.0704293,-5.0301027,-6.0297127,-7.049269,-8.078774,-9.108236,-10.167646,-11.237012,-12.286343,-13.325643,-14.3749075,-15.404145,-16.40337,-17.37258,-18.29179,-19.181005,-20.040226,-20.869469,-21.64874,-22.37806,-23.05744,-23.666897,-24.226454,-24.75612,-25.215933,-25.605927,-25.976116,-26.296555,-26.557293,-26.768381,-26.939888,-27.081888,-27.224466,-27.36773,-27.5218,-27.613426
16/06/27 12:30:00,-0.914546,8.597632,24.352934,34.289146,39.735676,41.797325,41.35024,39.113064,35.615246,31.292984,26.524061,21.561401,16.60605,11.799469,7.2654715,3.0717878,-0.7386837,-4.126835,-7.076495,-9.613749,-11.746423,-13.483601,-14.875299,-15.922218,-16.625492,-17.066526,-17.26692,-17.228338,-17.012445,-16.630877,-16.115192,-15.476867,-14.747264,-13.977632,-13.149127,-12.292786,-11.409544,-10.520241,-9.665609,-8.826327,-8.022974,-7.256072,-6.5360756,-5.8733797,-5.2683406,-4.721265,-4.2324224,-3.8220415,-3.490323,-3.2174504,-3.0135748,-2.8888226,-2.8133209,-2.7971663,-2.8704367,-3.0132074,-3.2055507,-3.4675145,-3.7691557,-4.1305113,-4.5416145,-4.9825034,-5.473199,-5.993732,-6.5741096,-7.194354,-7.814494,-8.434541,-9.094499,-9.784376,-10.454196,-11.133963,-11.813684,-12.493368,-13.163026,-13.79267,-14.4123,-15.021921,-15.601544,-16.161175,-16.690815,-17.15048,-17.560173,-17.93989,-18.269636,-18.549402,-18.749203,-18.869026,-18.928848,-18.888666,-18.748453,-18.518167,-18.16776,-17.677176,-17.046318,-16.255077,-15.283308,-14.11082,-12.6973715,-11.925156
16/06/27 12:45:00,16.291838,13.506091,9.279982,7.274254,6.7113233,6.9482965,7.55081,8.260223,8.893929,9.347896,9.531134,9.421533,9.042814,8.412339,7.5794992,6.574629,5.4182034,4.1803236,2.8904223,1.577049,0.28779078,-0.9607389,-2.1428902,-3.2439027,-4.2798367,-5.207513,-6.01438,-6.7184553,-7.308245,-7.812656,-8.210949,-8.532641,-8.7675,-8.89546,-8.976582,-8.971057,-8.919133,-8.831123,-8.667388,-8.488279,-8.304175,-8.095464,-7.8725142,-7.6456833,-7.435308,-7.2517104,-7.0751996,-6.896064,-6.7345614,-6.6009274,-6.495384,-6.4381294,-6.4093485,-6.4092073,-6.4378557,-6.4854326,-6.58205,-6.717817,-6.882835,-7.0771885,-7.300957,-7.554207,-7.836998,-8.139388,-8.451429,-8.793158,-9.16461,-9.565818,-9.9568205,-10.327653,-10.728322,-11.138849,-11.569254,-11.999552,-12.399768,-12.799908,-13.189982,-13.560002,-13.929971,-14.269899,-14.58979,-14.919641,-15.199463,-15.44926,-15.709017,-15.938742,-16.148434,-16.33809,-16.497717,-16.6873,-16.88684,-17.05637,-17.26589,-17.525421,-17.835018,-18.244736,-18.764679,-19.424986,-20.285847,-20.775995
16/06/27 13:00:00,3.3250747,4.447052,6.0974054,6.762083,6.8351955,6.6329045,6.2865825,5.8820305,5.475848,5.089814,4.7437153,4.4071846,4.080738,3.7563536,3.4076881,3.040076,2.6604142,2.2469773,1.8091766,1.3673439,0.88253313,0.3562914,-0.16949111,-0.7227015,-1.2611609,-1.7826599,-2.315065,-2.826365,-3.3246887,-3.7983408,-4.2458034,-4.645747,-5.0170093,-5.348613,-5.629734,-5.9096894,-6.157946,-6.3640842,-6.5577793,-6.7288117,-6.8670316,-6.992353,-7.0947514,-7.174246,-7.2608795,-7.3247447,-7.375943,-7.444585,-7.520803,-7.5847435,-7.6465435,-7.7163424,-7.7842836,-7.8705006,-7.975125,-8.098284,-8.210108,-8.330708,-8.470186,-8.6186495,-8.796184,-8.972886,-9.148836,-9.364094,-9.618729,-9.862816,-10.096413,-10.339563,-10.592318,-10.874707,-11.146783,-11.40858,-11.690117,-11.971431,-12.252544,-12.543474,-12.824247,-13.094879,-13.365384,-13.655766,-13.916051,-14.15625,-14.436351,-14.716375,-14.98633,-15.236227,-15.4760685,-15.715857,-15.975589,-16.205282,-16.40494,-16.624544,-16.814104,-16.953615,-17.073048,-17.152363,-17.17151,-17.110405,-16.908918,-16.767727
16/06/27 13:15:00,3.865599,3.4545054,2.894764,2.7042918,2.704128,2.7737803,2.8335805,2.8797379,2.871333,2.8284965,2.7414577,2.610085,2.433737,2.2013009,1.9712805,1.7319841,1.4716477,1.2085512,0.9211341,0.608044,0.2981778,-0.009284347,-0.33488375,-0.6489171,-0.97142744,-1.3222601,-1.6511033,-1.9874823,-2.3308344,-2.670518,-3.0058446,-3.3361013,-3.6605783,-3.9785755,-4.299422,-4.572499,-4.8172145,-5.073025,-5.329456,-5.5860786,-5.8225284,-6.038485,-6.253674,-6.4578767,-6.660908,-6.882621,-7.082924,-7.241746,-7.389034,-7.5647535,-7.738909,-7.90152,-8.082604,-8.242215,-8.390401,-8.54721,-8.702709,-8.876959,-9.060026,-9.221992,-9.382918,-9.562866,-9.761902,-9.960097,-10.13752,-10.324221,-10.54025,-10.755668,-10.970525,-11.194866,-11.428739,-11.672175,-11.905227,-12.137921,-12.360294,-12.582374,-12.824181,-13.055749,-13.287097,-13.528241,-13.769204,-14.000005,-14.230654,-14.471163,-14.701549,-14.911824,-15.111997,-15.322068,-15.52205,-15.71195,-15.921763,-16.111507,-16.301182,-16.510788,-16.700356,-16.909893,-17.159424,-17.42901,-17.748728,-17.928259
16/06/27 13:30:00,-0.27222314,-0.0034326762,0.40870172,0.63148034,0.7420454,0.7783104,0.79310536,0.7966869,0.7881647,0.7662662,0.7297119,0.677361,0.6282414,0.56154066,0.46655452,0.35264236,0.20920932,0.06567448,-0.088516384,-0.27389497,-0.4609797,-0.66024154,-0.87210774,-1.0869488,-1.3150697,-1.5467037,-1.7920078,-2.0410748,-2.2939222,-2.5405047,-2.790713,-3.0543864,-3.3113282,-3.5712984,-3.824037,-4.06926,-4.3366656,-4.5959635,-4.8568535,-5.119045,-5.362261,-5.6062293,-5.8407073,-6.0654616,-6.310276,-6.534973,-6.7293887,-6.9433627,-7.166771,-7.369518,-7.5715084,-7.8026648,-8.002948,-8.192314,-8.390733,-8.578192,-8.774682,-8.970213,-9.164796,-9.358447,-9.561191,-9.7530575,-9.934084,-10.124297,-10.333729,-10.552422,-10.760418,-10.957758,-11.14448,-11.330617,-11.526206,-11.721285,-11.925886,-12.14004,-12.36378,-12.597136,-12.810141,-13.012822,-13.195208,-13.387312,-13.589157,-13.780766,-13.96216,-14.143355,-14.334359,-14.5052,-14.68588,-14.866413,-15.01682,-15.157106,-15.307275,-15.457335,-15.587301,-15.6871805,-15.786964,-15.85666,-15.886259,-15.895733,-15.835052,-15.784351
16/06/27 13:45:00,-2.417326,-2.3552089,-2.191871,-1.9753808,-1.7629904,-1.5577409,-1.3805753,-1.2515285,-1.1403613,-1.0568378,-0.99085385,-0.9524472,-0.941787,-0.9491388,-0.9848219,-1.0192004,-1.0626367,-1.125487,-1.218095,-1.3207959,-1.4238982,-1.5276836,-1.6424047,-1.7882866,-1.9455392,-2.1043408,-2.2748349,-2.4571395,-2.6313484,-2.8275123,-3.0456612,-3.2558064,-3.4579244,-3.6719615,-3.897846,-4.115496,-4.3448,-4.5856357,-4.8078804,-5.02139,-5.246013,-5.471605,-5.6880174,-5.9150977,-6.1327066,-6.360699,-6.5889463,-6.7973275,-7.0057225,-7.2140226,-7.4321275,-7.6299596,-7.837434,-8.0544815,-8.271048,-8.487083,-8.692551,-8.9074135,-9.131647,-9.33524,-9.508191,-9.710476,-9.9121,-10.103075,-10.313401,-10.513097,-10.712177,-10.920656,-11.11856,-11.325903,-11.532711,-11.739007,-11.924817,-12.080174,-12.235092,-12.399591,-12.583693,-12.767422,-12.950802,-13.103862,-13.236622,-13.399086,-13.571277,-13.703227,-13.844939,-14.006424,-14.117716,-14.238814,-14.379724,-14.490474,-14.61106,-14.7115,-14.771811,-14.831987,-14.892039,-14.951975,-15.011806,-15.061551,-15.13123,-15.180752
16/06/27 14:00:00,-3.6936457,-3.5678997,-3.3585634,-3.1914291,-3.0333655,-2.9031963,-2.7906754,-2.675934,-2.5692067,-2.4807272,-2.4006994,-2.3392842,-2.2966218,-2.2528474,-2.218089,-2.2024827,-2.206175,-2.2393208,-2.272092,-2.314652,-2.377165,-2.4497995,-2.5327122,-2.606058,-2.6999648,-2.8345544,-2.969951,-3.0762556,-3.2035377,-3.361862,-3.5112898,-3.6718519,-3.8535638,-4.0364385,-4.210471,-4.3856397,-4.571908,-4.769233,-4.957571,-5.1568527,-5.36701,-5.5479817,-5.7396784,-5.9420185,-6.1449213,-6.3483,-6.5520735,-6.7661533,-6.9704633,-7.1849203,-7.399451,-7.603987,-7.8084574,-8.0128,-8.216959,-8.430878,-8.65451,-8.847825,-9.030784,-9.223346,-9.435486,-9.637187,-9.838433,-10.049206,-10.239507,-10.429323,-10.618654,-10.807503,-11.005869,-11.1837635,-11.341201,-11.518179,-11.714704,-11.900801,-12.08648,-12.261757,-12.426647,-12.591166,-12.7353325,-12.899151,-13.072639,-13.235818,-13.378706,-13.521312,-13.683643,-13.835721,-13.997554,-14.159154,-14.300541,-14.451716,-14.602692,-14.753476,-14.924072,-15.094494,-15.274741,-15.474816,-15.694721,-15.924453,-16.14401,-16.253426
16/06/27 14:15:00,-5.85932,-5.7170615,-5.4239817,-5.1241045,-4.84777,-4.5946174,-4.3740497,-4.1954594,-4.0383267,-3.8922372,-3.756871,-3.641993,-3.5474377,-3.4830875,-3.4288747,-3.374759,-3.340717,-3.316752,-3.322875,-3.3191285,-3.3155472,-3.3621664,-3.4090507,-3.476251,-3.5538287,-3.611848,-3.680354,-3.7693977,-3.869028,-3.9792862,-4.0902104,-4.211826,-4.334158,-4.4672184,-4.6210113,-4.7755423,-4.9308033,-5.08678,-5.2534494,-5.4207907,-5.588769,-5.7673454,-5.946484,-6.116142,-6.296267,-6.4968066,-6.6877193,-6.868951,-7.0404496,-7.2221565,-7.4340153,-7.6259875,-7.808022,-8.000064,-8.212067,-8.42399,-8.615801,-8.797457,-8.988917,-9.190154,-9.381144,-9.571853,-9.752265,-9.922362,-10.102122,-10.291529,-10.480576,-10.659257,-10.847561,-11.035487,-11.213037,-11.380208,-11.537007,-11.703429,-11.869484,-12.035175,-12.210508,-12.395491,-12.560138,-12.724455,-12.888451,-13.022144,-13.165537,-13.308638,-13.461454,-13.623997,-13.756285,-13.878325,-14.000122,-14.111689,-14.213032,-14.314157,-14.415071,-14.515779,-14.586295,-14.626629,-14.656779,-14.666757,-14.65657,-14.646159
