"Date Heure, GMT+01:00",Flux conductif (W/m2) pour la profondeur 0.0020 m,Flux conductif (W/m2) pour la profondeur 0.0060 m,Flux conductif (W/m2) pour la profondeur 0.0100 m,Flux conductif (W/m2) pour la profondeur 0.0140 m,Flux conductif (W/m2) pour la profondeur 0.0180 m,Flux conductif (W/m2) pour la profondeur 0.0220 m,Flux conductif (W/m2) pour la profondeur 0.0260 m,Flux conductif (W/m2) pour la profondeur 0.0300 m,Flux conductif (W/m2) pour la profondeur 0.0340 m,Flux conductif (W/m2) pour la profondeur 0.0380 m,Flux conductif (W/m2) pour la profondeur 0.0420 m,Flux conductif (W/m2) pour la profondeur 0.0460 m,Flux conductif (W/m2) pour la profondeur 0.0500 m,Flux conductif (W/m2) pour la profondeur 0.0540 m,Flux conductif (W/m2) pour la profondeur 0.0580 m,Flux conductif (W/m2) pour la profondeur 0.0620 m,Flux conductif (W/m2) pour la profondeur 0.0660 m,Flux conductif (W/m2) pour la profondeur 0.0700 m,Flux conductif (W/m2) pour la profondeur 0.0740 m,Flux conductif (W/m2) pour la profondeur 0.0780 m,Flux conductif (W/m2) pour la profondeur 0.0820 m,Flux conductif (W/m2) pour la profondeur 0.0860 m,Flux conductif (W/m2) pour la profondeur 0.0900 m,Flux conductif (W/m2) pour la profondeur 0.0940 m,Flux conductif (W/m2) pour la profondeur 0.0980 m,Flux conductif (W/m2) pour la profondeur 0.1020 m,Flux conductif (W/m2) pour la profondeur 0.1060 m,Flux conductif (W/m2) pour la profondeur 0.1100 m,Flux conductif (W/m2) pour la profondeur 0.1140 m,Flux conductif (W/m2) pour la profondeur 0.1180 m,Flux conductif (W/m2) pour la profondeur 0.1220 m,Flux conductif (W/m2) pour la profondeur 0.1260 m,Flux conductif (W/m2) pour la profondeur 0.1300 m,Flux conductif (W/m2) pour la profondeur 0.1340 m,Flux conductif (W/m2) pour la profondeur 0.1380 m,Flux conductif (W/m2) pour la profondeur 0.1420 m,Flux conductif (W/m2) pour la profondeur 0.1460 m,Flux conductif (W/m2) pour la profondeur 0.1500 m,Flux conductif (W/m2) pour la profondeur 0.1540 m,Flux conductif (W/m2) pour la profondeur 0.1580 m,Flux conductif (W/m2) pour la profondeur 0.1620 m,Flux conductif (W/m2) pour la profondeur 0.1660 m,Flux conductif (W/m2) pour la profondeur 0.1700 m,Flux conductif (W/m2) pour la profondeur 0.1740 m,Flux conductif (W/m2) pour la profondeur 0.1780 m,Flux conductif (W/m2) pour la profondeur 0.1820 m,Flux conductif (W/m2) pour la profondeur 0.1860 m,Flux conductif (W/m2) pour la profondeur 0.1900 m,Flux conductif (W/m2) pour la profondeur 0.1940 m,Flux conductif (W/m2) pour la profondeur 0.1980 m,Flux conductif (W/m2) pour la profondeur 0.2020 m,Flux conductif (W/m2) pour la profondeur 0.2060 m,Flux conductif (W/m2) pour la profondeur 0.2100 m,Flux conductif (W/m2) pour la profondeur 0.2140 m,Flux conductif (W/m2) pour la profondeur 0.2180 m,Flux conductif (W/m2) pour la profondeur 0.2220 m,Flux conductif (W/m2) pour la profondeur 0.2260 m,Flux conductif (W/m2) pour la profondeur 0.2300 m,Flux conductif (W/m2) pour la profondeur 0.2340 m,Flux conductif (W/m2) pour la profondeur 0.2380 m,Flux conductif (W/m2) pour la profondeur 0.2420 m,Flux conductif (W/m2) pour la profondeur 0.2460 m,Flux conductif (W/m2) pour la profondeur 0.2500 m,Flux conductif (W/m2) pour la profondeur 0.2540 m,Flux conductif (W/m2) pour la profondeur 0.2580 m,Flux conductif (W/m2) pour la profondeur 0.2620 m,Flux conductif (W/m2) pour la profondeur 0.2660 m,Flux conductif (W/m2) pour la profondeur 0.2700 m,Flux conductif (W/m2) pour la profondeur 0.2740 m,Flux conductif (W/m2) pour la profondeur 0.2780 m,Flux conductif (W/m2) pour la profondeur 0.2820 m,Flux conductif (W/m2) pour la profondeur 0.2860 m,Flux conductif (W/m2) pour la profondeur 0.2900 m,Flux conductif (W/m2) pour la profondeur 0.2940 m,Flux conductif (W/m2) pour la profondeur 0.2980 m,Flux conductif (W/m2) pour la profondeur 0.3020 m,Flux conductif (W/m2) pour la profondeur 0.3060 m,Flux conductif (W/m2) pour la profondeur 0.3100 m,Flux conductif (W/m2) pour la profondeur 0.3140 m,Flux conductif (W/m2) pour la profondeur 0.3180 m,Flux conductif (W/m2) pour la profondeur 0.3220 m,Flux conductif (W/m2) pour la profondeur 0.3260 m,Flux conductif (W/m2) pour la profondeur 0.3300 m,Flux conductif (W/m2) pour la profondeur 0.3340 m,Flux conductif (W/m2) pour la profondeur 0.3380 m,Flux conductif (W/m2) pour la profondeur 0.3420 m,Flux conductif (W/m2) pour la profondeur 0.3460 m,Flux conductif (W/m2) pour la profondeur 0.3500 m,Flux conductif (W/m2) pour la profondeur 0.3540 m,Flux conductif (W/m2) pour la profondeur 0.3580 m,Flux conductif (W/m2) pour la profondeur 0.3620 m,Flux conductif (W/m2) pour la profondeur 0.3660 m,Flux conductif (W/m2) pour la profondeur 0.3700 m,Flux conductif (W/m2) pour la profondeur 0.3740 m,Flux conductif (W/m2) pour la profondeur 0.3780 m,Flux conductif (W/m2) pour la profondeur 0.3820 m,Flux conductif (W/m2) pour la profondeur 0.3860 m,Flux conductif (W/m2) pour la profondeur 0.3900 m,Flux conductif (W/m2) pour la profondeur 0.3940 m,Flux conductif (W/m2) pour la profondeur 0.3980 m
16/06/27 12:00:00,-247.28792,-240.634,-227.55334,-214.89467,-202.63629,-190.81071,-179.40707,-168.39294,-157.7683,-147.54398,-137.70917,-128.23137,-119.14309,-110.42266,-102.03764,-94.02048,-86.360344,-79.0248,-72.02466,-65.3491,-58.99812,-52.971718,-47.237442,-41.80611,-36.67772,-31.830637,-27.275675,-22.991198,-18.977205,-15.233697,-11.739036,-8.504038,-5.4962487,-2.737305,-0.21638775,2.0773222,4.1546445,6.026398,7.692584,9.153201,10.40825,11.490189,12.388199,13.113097,13.6648855,14.054383,14.281591,14.368146,14.314049,14.10848,13.783898,13.329485,12.756057,12.074436,11.284621,10.397431,9.423686,8.352567,7.205712,5.983121,4.695614,3.3431907,1.9366703,0.48687243,-1.0170224,-2.5425558,-4.111367,-5.6909976,-7.292267,-8.9151745,-10.527264,-12.139352,-13.740622,-15.34189,-16.92152,-18.457874,-19.96177,-21.444025,-22.872185,-24.235428,-25.544573,-26.788801,-27.978933,-29.082512,-30.077896,-31.008362,-31.841455,-32.555534,-33.17224,-33.68075,-34.05943,-34.29746,-34.40565,-34.38401,-34.210903,-33.8755,-33.388626,-32.728645,-31.906372,-31.462776
16/06/27 12:15:00,158.20108,144.12505,117.57428,94.08539,73.39872,55.27625,39.458305,25.706863,13.848816,3.7002304,-4.94446,-12.236727,-18.273945,-23.218403,-27.21076,-30.32674,-32.66373,-34.319096,-35.390213,-35.97446,-36.093475,-35.81217,-35.206287,-34.308277,-33.19388,-31.895552,-30.434935,-28.866123,-27.221577,-25.512114,-23.770193,-21.995813,-20.210615,-18.457874,-16.75923,-15.114684,-13.513413,-11.977061,-10.516444,-9.142382,-7.887333,-6.718839,-5.626081,-4.6306977,-3.7435079,-2.964512,-2.2828906,-1.7202826,-1.2658683,-0.8980091,-0.61670506,-0.4327755,-0.35703978,-0.36785915,-0.47605303,-0.6599826,-0.91964793,-1.2658683,-1.6661856,-2.153058,-2.7264855,-3.3431907,-4.0139923,-4.7172527,-5.452971,-6.253606,-7.075879,-7.9306107,-8.8178005,-9.71581,-10.635458,-11.576744,-12.507212,-13.42686,-14.346507,-15.255336,-16.153345,-17.040535,-17.916904,-18.771635,-19.604729,-20.405365,-21.162722,-21.887619,-22.59088,-23.250862,-23.856749,-24.430174,-24.981964,-25.479658,-25.95571,-26.420944,-26.83208,-27.232397,-27.621895,-28.022213,-28.454988,-28.887764,-29.331358,-29.558565
16/06/27 12:30:00,-1.5579917,4.0139923,13.59997,20.372906,24.852133,27.437965,28.509087,28.411709,27.416327,25.7285,23.553806,21.043707,18.284763,15.406807,12.496392,9.629254,6.891949,4.2628384,1.76356,-0.51933056,-2.6074722,-4.522504,-6.2211475,-7.7034035,-8.990911,-10.094488,-11.003317,-11.728215,-12.301643,-12.734419,-13.026542,-13.199653,-13.286207,-13.275388,-13.178013,-12.994084,-12.745237,-12.463934,-12.139352,-11.793132,-11.4144535,-11.024956,-10.635458,-10.245959,-9.867281,-9.499422,-9.164021,-8.839439,-8.547316,-8.28765,-8.071262,-7.876514,-7.7034035,-7.606029,-7.5411124,-7.5086546,-7.5302935,-7.58439,-7.681765,-7.8115973,-7.973888,-8.168637,-8.395844,-8.687968,-9.012549,-9.34795,-9.71581,-10.105308,-10.516444,-10.9384,-11.371176,-11.814771,-12.258365,-12.723599,-13.188832,-13.643248,-14.097661,-14.541256,-14.984852,-15.3959875,-15.785485,-16.174984,-16.521204,-16.845785,-17.127089,-17.375937,-17.592323,-17.754614,-17.862808,-17.927725,-17.938543,-17.851988,-17.689697,-17.451672,-17.11627,-16.661856,-16.07761,-15.35271,-14.465521,-13.978648
16/06/27 12:45:00,17.11627,15.0497675,11.533466,9.131562,7.573571,6.6431036,6.145412,5.9182043,5.842469,5.8208303,5.8316493,5.8100104,5.7234554,5.561165,5.312319,4.966099,4.5116844,4.0139923,3.4838426,2.8671377,2.207155,1.5255336,0.82227343,0.097374484,-0.6383438,-1.3632427,-2.0773222,-2.7589436,-3.440565,-4.078909,-4.641517,-5.171667,-5.6693587,-6.123773,-6.545729,-6.9460464,-7.3030863,-7.6168485,-7.887333,-8.11454,-8.341747,-8.547316,-8.709607,-8.861078,-8.980091,-9.066647,-9.142382,-9.228937,-9.326311,-9.412867,-9.477783,-9.542699,-9.618435,-9.672532,-9.737448,-9.802364,-9.867281,-9.964656,-10.072849,-10.2026825,-10.332515,-10.473166,-10.635458,-10.786929,-10.960039,-11.133149,-11.306259,-11.501008,-11.706576,-11.922964,-12.139352,-12.35574,-12.582947,-12.810154,-13.037362,-13.275388,-13.513413,-13.751441,-13.967829,-14.1842165,-14.411424,-14.627811,-14.844199,-15.060587,-15.276975,-15.482543,-15.698931,-15.904499,-16.099247,-16.315636,-16.532022,-16.75923,-17.029715,-17.321838,-17.62478,-17.99264,-18.436235,-18.977205,-19.61555,-19.950949
16/06/27 13:00:00,1.6661856,2.4992783,3.8517017,4.673975,5.095931,5.2149444,5.1283894,4.9120016,4.6306977,4.2952967,3.916618,3.548759,3.1917193,2.82386,2.4776397,2.153058,1.8284764,1.482256,1.1360356,0.81145406,0.4976918,0.17311019,-0.18392958,-0.53014994,-0.8763704,-1.2334101,-1.5904499,-1.9691285,-2.3153489,-2.6507497,-3.0294285,-3.3972876,-3.7435079,-4.100548,-4.4575872,-4.7929883,-5.11757,-5.452971,-5.7775526,-6.091315,-6.3942575,-6.6755614,-6.956866,-7.2273507,-7.4870157,-7.746681,-7.995527,-8.211915,-8.417483,-8.623052,-8.839439,-9.055827,-9.250576,-9.445325,-9.629254,-9.813184,-9.986295,-10.170223,-10.3757925,-10.538083,-10.678735,-10.841025,-11.014136,-11.187246,-11.371176,-11.555105,-11.739036,-11.901326,-12.052796,-12.236727,-12.409837,-12.582947,-12.766877,-12.950807,-13.123916,-13.307846,-13.4917755,-13.654066,-13.827176,-13.989467,-14.151758,-14.324868,-14.497979,-14.66027,-14.81174,-14.963212,-15.114684,-15.287793,-15.439265,-15.558278,-15.666472,-15.763847,-15.850403,-15.893679,-15.926138,-15.936956,-15.872041,-15.731388,-15.525821,-15.406807
16/06/27 13:15:00,1.9042121,1.6337274,1.2117714,0.9953836,0.9088285,0.8980091,0.9304673,0.96292543,0.98456424,1.0062029,1.0062029,0.96292543,0.88718975,0.7789959,0.6599826,0.5085112,0.31376222,0.11901326,-0.06491632,-0.28130406,-0.53014994,-0.7681765,-1.0170224,-1.2766876,-1.536353,-1.7960182,-2.0556836,-2.3045294,-2.575014,-2.8671377,-3.1484416,-3.4189262,-3.7002304,-3.970715,-4.219561,-4.4900455,-4.7713494,-5.031015,-5.3014994,-5.5719843,-5.8100104,-6.069676,-6.3293414,-6.5781875,-6.8378525,-7.0866985,-7.3355446,-7.5952096,-7.833236,-8.071262,-8.309289,-8.536496,-8.752884,-8.958452,-9.164021,-9.380408,-9.607615,-9.802364,-9.986295,-10.191862,-10.40825,-10.624638,-10.808568,-10.992497,-11.176427,-11.338717,-11.533466,-11.739036,-11.922964,-12.096074,-12.269184,-12.431475,-12.572127,-12.723599,-12.896709,-13.048181,-13.188832,-13.351123,-13.502595,-13.643248,-13.783898,-13.924551,-14.065204,-14.195036,-14.314049,-14.443882,-14.573714,-14.681909,-14.779283,-14.887477,-15.00649,-15.114684,-15.244515,-15.385168,-15.504181,-15.634015,-15.796306,-15.980235,-16.196623,-16.315636
16/06/27 13:30:00,-2.4451814,-2.207155,-1.817657,-1.5796305,-1.4389784,-1.341604,-1.2658683,-1.2225907,-1.1901325,-1.1901325,-1.2117714,-1.2225907,-1.2550489,-1.287507,-1.3307846,-1.3957009,-1.4714366,-1.5579917,-1.6445469,-1.731102,-1.8392959,-1.9799478,-2.1422386,-2.3045294,-2.4668202,-2.6399305,-2.82386,-3.018609,-3.2025385,-3.3864682,-3.5920365,-3.7976048,-3.9815345,-4.197922,-4.4251294,-4.641517,-4.868724,-5.1067505,-5.323138,-5.539526,-5.788372,-6.015579,-6.242786,-6.4808125,-6.718839,-6.9460464,-7.162434,-7.3680024,-7.58439,-7.8115973,-8.027985,-8.244372,-8.46076,-8.687968,-8.904356,-9.0882845,-9.283034,-9.488603,-9.694171,-9.899739,-10.083669,-10.267598,-10.440708,-10.613819,-10.8193865,-11.014136,-11.187246,-11.360356,-11.511827,-11.674118,-11.836409,-11.987881,-12.139352,-12.290824,-12.442295,-12.582947,-12.723599,-12.853432,-12.994084,-13.123916,-13.23211,-13.351123,-13.480956,-13.59997,-13.697344,-13.794719,-13.892093,-13.978648,-14.065204,-14.151758,-14.216674,-14.270771,-14.324868,-14.346507,-14.378964,-14.411424,-14.389785,-14.335689,-14.270771,-14.238314
16/06/27 13:45:00,-4.4359484,-4.3818517,-4.2628384,-4.122186,-3.9598956,-3.7976048,-3.6569529,-3.5379395,-3.440565,-3.3431907,-3.2458162,-3.1808999,-3.1376224,-3.1159835,-3.1159835,-3.105164,-3.105164,-3.1376224,-3.1700804,-3.213358,-3.2674549,-3.3107324,-3.3864682,-3.494662,-3.602856,-3.7110498,-3.8192437,-3.938257,-4.078909,-4.23038,-4.360213,-4.500865,-4.673975,-4.836266,-4.9985566,-5.1608477,-5.312319,-5.47461,-5.6585393,-5.842469,-6.026398,-6.2211475,-6.4158964,-6.5998263,-6.7729363,-6.956866,-7.1407957,-7.3247247,-7.5302935,-7.735862,-7.9306107,-8.11454,-8.28765,-8.46076,-8.6446905,-8.839439,-9.023369,-9.196479,-9.380408,-9.575157,-9.759087,-9.932198,-10.105308,-10.289237,-10.440708,-10.59218,-10.76529,-10.905942,-11.057413,-11.219705,-11.381995,-11.511827,-11.630841,-11.7606735,-11.868868,-11.998699,-12.150171,-12.2800045,-12.388199,-12.485572,-12.593766,-12.70196,-12.788515,-12.86425,-12.950807,-13.026542,-13.080638,-13.134735,-13.188832,-13.25375,-13.3186655,-13.361943,-13.383582,-13.40522,-13.42686,-13.42686,-13.437678,-13.459317,-13.470138,-13.480956
16/06/27 14:00:00,-5.8857465,-5.788372,-5.626081,-5.47461,-5.3339577,-5.2149444,-5.1067505,-4.9985566,-4.8903627,-4.814627,-4.7388916,-4.673975,-4.641517,-4.609059,-4.565781,-4.5333233,-4.5116844,-4.479226,-4.4684067,-4.479226,-4.5116844,-4.5549617,-4.5982394,-4.641517,-4.6847944,-4.76053,-4.836266,-4.901182,-4.9769177,-5.052654,-5.150028,-5.2690415,-5.3772354,-5.4962487,-5.6044426,-5.7342753,-5.8857465,-6.015579,-6.145412,-6.264425,-6.3942575,-6.5349097,-6.6863813,-6.8378525,-6.989324,-7.162434,-7.3247247,-7.4761963,-7.6168485,-7.7575,-7.919791,-8.082082,-8.244372,-8.406664,-8.558135,-8.709607,-8.871897,-9.055827,-9.239757,-9.402047,-9.542699,-9.6833515,-9.834823,-9.975474,-10.137766,-10.300056,-10.440708,-10.59218,-10.7220125,-10.851846,-10.992497,-11.133149,-11.262982,-11.381995,-11.511827,-11.641661,-11.7606735,-11.868868,-11.987881,-12.106894,-12.204268,-12.301643,-12.420656,-12.539669,-12.637044,-12.723599,-12.831793,-12.950807,-13.048181,-13.156375,-13.264568,-13.372763,-13.480956,-13.58915,-13.718983,-13.837996,-13.946189,-14.076023,-14.216674,-14.281591
16/06/27 14:15:00,-7.833236,-7.7250423,-7.4870157,-7.270628,-7.0866985,-6.913588,-6.7512975,-6.5998263,-6.4699936,-6.340161,-6.2211475,-6.1129537,-6.015579,-5.939843,-5.8857465,-5.8208303,-5.7559137,-5.7342753,-5.7234554,-5.6909976,-5.6585393,-5.64772,-5.64772,-5.680178,-5.7018166,-5.7234554,-5.766733,-5.7991915,-5.842469,-5.9073853,-5.961482,-6.015579,-6.1129537,-6.1995087,-6.2752447,-6.35098,-6.4375353,-6.5349097,-6.632284,-6.7512975,-6.870311,-6.967685,-7.0650597,-7.1732535,-7.2814474,-7.4004607,-7.5411124,-7.681765,-7.822417,-7.963069,-8.092901,-8.211915,-8.341747,-8.482399,-8.623052,-8.774523,-8.925994,-9.055827,-9.17484,-9.315493,-9.466964,-9.596796,-9.70499,-9.834823,-9.9538355,-10.072849,-10.213501,-10.332515,-10.451528,-10.581361,-10.711193,-10.8193865,-10.9384,-11.079052,-11.198066,-11.29544,-11.392814,-11.511827,-11.620021,-11.728215,-11.836409,-11.922964,-11.998699,-12.074436,-12.171811,-12.269184,-12.35574,-12.442295,-12.518031,-12.582947,-12.647862,-12.69114,-12.71278,-12.745237,-12.766877,-12.777697,-12.777697,-12.745237,-12.71278,-12.70196
