"Date Heure, GMT+01:00",Température (K) pour la profondeur 0.0020 m,Température (K) pour la profondeur 0.0060 m,Température (K) pour la profondeur 0.0100 m,Température (K) pour la profondeur 0.0140 m,Température (K) pour la profondeur 0.0180 m,Température (K) pour la profondeur 0.0220 m,Température (K) pour la profondeur 0.0260 m,Température (K) pour la profondeur 0.0300 m,Température (K) pour la profondeur 0.0340 m,Température (K) pour la profondeur 0.0380 m,Température (K) pour la profondeur 0.0420 m,Température (K) pour la profondeur 0.0460 m,Température (K) pour la profondeur 0.0500 m,Température (K) pour la profondeur 0.0540 m,Température (K) pour la profondeur 0.0580 m,Température (K) pour la profondeur 0.0620 m,Température (K) pour la profondeur 0.0660 m,Température (K) pour la profondeur 0.0700 m,Température (K) pour la profondeur 0.0740 m,Température (K) pour la profondeur 0.0780 m,Température (K) pour la profondeur 0.0820 m,Température (K) pour la profondeur 0.0860 m,Température (K) pour la profondeur 0.0900 m,Température (K) pour la profondeur 0.0940 m,Température (K) pour la profondeur 0.0980 m,Température (K) pour la profondeur 0.1020 m,Température (K) pour la profondeur 0.1060 m,Température (K) pour la profondeur 0.1100 m,Température (K) pour la profondeur 0.1140 m,Température (K) pour la profondeur 0.1180 m,Température (K) pour la profondeur 0.1220 m,Température (K) pour la profondeur 0.1260 m,Température (K) pour la profondeur 0.1300 m,Température (K) pour la profondeur 0.1340 m,Température (K) pour la profondeur 0.1380 m,Température (K) pour la profondeur 0.1420 m,Température (K) pour la profondeur 0.1460 m,Température (K) pour la profondeur 0.1500 m,Température (K) pour la profondeur 0.1540 m,Température (K) pour la profondeur 0.1580 m,Température (K) pour la profondeur 0.1620 m,Température (K) pour la profondeur 0.1660 m,Température (K) pour la profondeur 0.1700 m,Température (K) pour la profondeur 0.1740 m,Température (K) pour la profondeur 0.1780 m,Température (K) pour la profondeur 0.1820 m,Température (K) pour la profondeur 0.1860 m,Température (K) pour la profondeur 0.1900 m,Température (K) pour la profondeur 0.1940 m,Température (K) pour la profondeur 0.1980 m,Température (K) pour la profondeur 0.2020 m,Température (K) pour la profondeur 0.2060 m,Température (K) pour la profondeur 0.2100 m,Température (K) pour la profondeur 0.2140 m,Température (K) pour la profondeur 0.2180 m,Température (K) pour la profondeur 0.2220 m,Température (K) pour la profondeur 0.2260 m,Température (K) pour la profondeur 0.2300 m,Température (K) pour la profondeur 0.2340 m,Température (K) pour la profondeur 0.2380 m,Température (K) pour la profondeur 0.2420 m,Température (K) pour la profondeur 0.2460 m,Température (K) pour la profondeur 0.2500 m,Température (K) pour la profondeur 0.2540 m,Température (K) pour la profondeur 0.2580 m,Température (K) pour la profondeur 0.2620 m,Température (K) pour la profondeur 0.2660 m,Température (K) pour la profondeur 0.2700 m,Température (K) pour la profondeur 0.2740 m,Température (K) pour la profondeur 0.2780 m,Température (K) pour la profondeur 0.2820 m,Température (K) pour la profondeur 0.2860 m,Température (K) pour la profondeur 0.2900 m,Température (K) pour la profondeur 0.2940 m,Température (K) pour la profondeur 0.2980 m,Température (K) pour la profondeur 0.3020 m,Température (K) pour la profondeur 0.3060 m,Température (K) pour la profondeur 0.3100 m,Température (K) pour la profondeur 0.3140 m,Température (K) pour la profondeur 0.3180 m,Température (K) pour la profondeur 0.3220 m,Température (K) pour la profondeur 0.3260 m,Température (K) pour la profondeur 0.3300 m,Température (K) pour la profondeur 0.3340 m,Température (K) pour la profondeur 0.3380 m,Température (K) pour la profondeur 0.3420 m,Température (K) pour la profondeur 0.3460 m,Température (K) pour la profondeur 0.3500 m,Température (K) pour la profondeur 0.3540 m,Température (K) pour la profondeur 0.3580 m,Température (K) pour la profondeur 0.3620 m,Température (K) pour la profondeur 0.3660 m,Température (K) pour la profondeur 0.3700 m,Température (K) pour la profondeur 0.3740 m,Température (K) pour la profondeur 0.3780 m,Température (K) pour la profondeur 0.3820 m,Température (K) pour la profondeur 0.3860 m,Température (K) pour la profondeur 0.3900 m,Température (K) pour la profondeur 0.3940 m,Température (K) pour la profondeur 0.3980 m
16/06/27 12:00:00,291.31223,290.96347,290.63348,290.32162,290.02734,289.75006,289.48914,289.24402,289.01416,288.799,288.598,288.41058,288.2363,288.07452,287.92484,287.7867,287.65964,287.54312,287.43674,287.33997,287.2524,287.17355,287.103,287.0403,286.98508,286.93686,286.8953,286.85992,286.83044,286.8064,286.78748,286.7733,286.7635,286.75778,286.75577,286.75717,286.76163,286.7689,286.77863,286.7906,286.80444,286.81995,286.83685,286.8549,286.87384,286.89343,286.91348,286.93372,286.954,286.9741,286.9938,287.01297,287.0314,287.04895,287.06546,287.08078,287.0948,287.10736,287.11835,287.1277,287.13522,287.14093,287.14465,287.1464,287.14603,287.14352,287.13885,287.13193,287.1228,287.11136,287.09766,287.08167,287.06342,287.0429,287.02014,286.99518,286.96808,286.93887,286.9076,286.87436,286.83923,286.8023,286.76367,286.7234,286.68164,286.63855,286.59418,286.54874,286.50235,286.45517,286.40735,286.3591,286.3106,286.26205,286.21362,286.16556,286.11807,286.07138,286.02576,285.98138
16/06/27 12:15:00,287.1812,287.40433,287.58774,287.73596,287.85312,287.943,288.00903,288.0543,288.08154,288.09335,288.09198,288.0794,288.05746,288.02786,287.99197,287.9511,287.90643,287.85898,287.80963,287.75916,287.70816,287.65735,287.60715,287.55804,287.51038,287.46442,287.4204,287.37857,287.339,287.3018,287.26703,287.23474,287.205,287.17773,287.15292,287.13046,287.1103,287.09235,287.0765,287.06268,287.05072,287.04044,287.03177,287.02457,287.0187,287.014,287.01035,287.00757,287.0055,287.004,287.00296,287.00226,287.00174,287.00125,287.0007,286.9999,286.99884,286.9973,286.99527,286.9926,286.9892,286.98492,286.97977,286.9736,286.96646,286.95822,286.94882,286.93826,286.92645,286.9134,286.89905,286.8834,286.8664,286.8481,286.82852,286.80765,286.7855,286.7621,286.73743,286.71155,286.68448,286.65625,286.62692,286.59656,286.5652,286.53284,286.4996,286.46555,286.4307,286.39508,286.35883,286.32187,286.2843,286.2462,286.2075,286.16827,286.12845,286.088,286.04697,286.00528
16/06/27 12:30:00,287.05414,287.05194,287.06546,287.0903,287.12292,287.1604,287.20032,287.2408,287.28046,287.31815,287.35303,287.38458,287.41238,287.43616,287.45584,287.4714,287.483,287.49084,287.49503,287.49582,287.49356,287.48846,287.4808,287.47092,287.45908,287.44556,287.4306,287.41452,287.39752,287.37982,287.3616,287.34308,287.32437,287.3056,287.28693,287.26843,287.25027,287.23248,287.21512,287.19824,287.18185,287.16605,287.15076,287.13605,287.12186,287.10822,287.09506,287.08237,287.07013,287.05826,287.04675,287.0355,287.02454,287.01376,287.00308,286.9925,286.9819,286.97125,286.9605,286.9496,286.93848,286.9271,286.91544,286.9034,286.89093,286.878,286.86456,286.8506,286.83606,286.82092,286.8052,286.78885,286.77188,286.75427,286.736,286.71707,286.6975,286.6773,286.6565,286.63504,286.61307,286.5905,286.56744,286.5439,286.51993,286.4956,286.47092,286.44598,286.42084,286.3956,286.37027,286.345,286.31992,286.2951,286.2707,286.24683,286.2237,286.20148,286.1804,286.16068
16/06/27 12:45:00,287.105,287.12915,287.14746,287.16168,287.17322,287.18304,287.19196,287.20038,287.20865,287.21686,287.22507,287.2333,287.24146,287.24945,287.25714,287.26443,287.27115,287.27716,287.28247,287.287,287.29056,287.2932,287.29486,287.29553,287.29514,287.29373,287.2913,287.28787,287.2835,287.27817,287.272,287.26508,287.25742,287.24908,287.24014,287.23062,287.22055,287.21002,287.19907,287.18777,287.17618,287.16425,287.15207,287.13968,287.12708,287.11435,287.1015,287.08856,287.07547,287.06226,287.04892,287.03552,287.022,287.0084,286.99472,286.98093,286.96707,286.9531,286.93896,286.92468,286.9102,286.89554,286.88065,286.86554,286.85022,286.83463,286.81882,286.80273,286.78638,286.7697,286.75275,286.73547,286.7179,286.69998,286.68176,286.6632,286.64432,286.6251,286.60553,286.5857,286.56552,286.54504,286.52426,286.50317,286.48178,286.46008,286.4381,286.4158,286.39325,286.3704,286.34723,286.32376,286.29996,286.27573,286.2511,286.226,286.20035,286.174,286.14682,286.11868
16/06/27 13:00:00,287.11646,287.1188,287.1235,287.12967,287.1367,287.14404,287.1514,287.1585,287.16525,287.17157,287.17737,287.18262,287.18738,287.19162,287.19534,287.1986,287.20142,287.20377,287.2056,287.20697,287.2079,287.20837,287.20837,287.20786,287.20688,287.20538,287.2034,287.2009,287.19785,287.19437,287.19037,287.18582,287.1808,287.17526,287.16922,287.1627,287.1557,287.14825,287.14032,287.13196,287.12314,287.11392,287.1043,287.0943,287.08392,287.07318,287.06207,287.05063,287.0389,287.0269,287.0146,287.00195,286.98904,286.97586,286.9624,286.9487,286.93472,286.92053,286.90604,286.89127,286.8763,286.86115,286.84573,286.83008,286.81418,286.798,286.7816,286.7649,286.74802,286.7309,286.7135,286.6959,286.678,286.65988,286.64148,286.62286,286.60394,286.5848,286.56543,286.5458,286.52597,286.5059,286.48557,286.465,286.4442,286.42322,286.402,286.38058,286.3589,286.33704,286.315,286.29285,286.27054,286.24814,286.2257,286.20322,286.18076,286.15845,286.13638,286.11465
16/06/27 13:15:00,287.13696,287.13965,287.14157,287.14307,287.14438,287.14563,287.1469,287.14825,287.14963,287.15103,287.15247,287.15387,287.15518,287.15637,287.15738,287.15823,287.1588,287.15912,287.15915,287.15894,287.15836,287.15744,287.1562,287.15457,287.1526,287.15024,287.14752,287.14444,287.14102,287.13718,287.13293,287.1283,287.1233,287.11786,287.1121,287.10596,287.09943,287.0925,287.08524,287.07755,287.06952,287.06116,287.0524,287.0433,287.03384,287.02402,287.01385,287.00333,286.99243,286.98123,286.96967,286.9578,286.9456,286.9331,286.92032,286.90726,286.89386,286.88016,286.8662,286.852,286.83746,286.82263,286.8075,286.79214,286.7765,286.76062,286.7445,286.7281,286.7114,286.69446,286.67728,286.65985,286.6422,286.6244,286.60632,286.588,286.56952,286.5508,286.53186,286.51273,286.49338,286.47385,286.4541,286.43417,286.41406,286.3938,286.37332,286.3527,286.3319,286.311,286.28992,286.26868,286.24728,286.22568,286.2039,286.18195,286.1598,286.1374,286.11472,286.0917
16/06/27 13:30:00,287.16885,287.1654,287.16263,287.16028,287.15817,287.15622,287.1544,287.15265,287.15094,287.1493,287.14758,287.14587,287.14413,287.14233,287.1405,287.13858,287.13657,287.13443,287.13217,287.1298,287.1273,287.1246,287.1217,287.11856,287.1152,287.1116,287.10776,287.10364,287.09924,287.0946,287.0897,287.08447,287.07898,287.07324,287.06714,287.06076,287.05405,287.04703,287.03964,287.032,287.02402,287.0157,287.00705,286.99808,286.98877,286.97913,286.96918,286.95892,286.9484,286.93753,286.92636,286.9149,286.9031,286.89102,286.8786,286.8659,286.85297,286.83972,286.8262,286.81238,286.79828,286.78394,286.76932,286.7545,286.73938,286.72397,286.7083,286.6924,286.67627,286.65994,286.64334,286.62656,286.60953,286.59232,286.57486,286.55722,286.53937,286.52133,286.5031,286.48468,286.4661,286.44736,286.42844,286.40933,286.39008,286.3707,286.35117,286.3315,286.31174,286.29184,286.27182,286.25174,286.23157,286.21133,286.1911,286.17078,286.15045,286.1302,286.11002,286.08994
16/06/27 13:45:00,287.2088,287.20255,287.19644,287.19052,287.1848,287.17935,287.1741,287.16904,287.16412,287.15933,287.1547,287.15018,287.14572,287.14133,287.13693,287.13254,287.12817,287.12378,287.11932,287.11484,287.11026,287.10562,287.10092,287.09607,287.09106,287.0859,287.0806,287.07513,287.0695,287.06363,287.05756,287.05133,287.04486,287.03815,287.03122,287.02405,287.01666,287.00906,287.00122,286.9931,286.98474,286.9761,286.9672,286.958,286.94858,286.9389,286.92896,286.91876,286.9083,286.89752,286.88647,286.87515,286.8636,286.85178,286.83972,286.8274,286.8148,286.80194,286.78885,286.77548,286.76184,286.74796,286.73383,286.71945,286.7048,286.69,286.67493,286.65964,286.64417,286.62845,286.61252,286.59634,286.58005,286.56354,286.54688,286.53006,286.51303,286.4958,286.4784,286.46085,286.44318,286.42532,286.40735,286.38925,286.37106,286.35272,286.33432,286.31583,286.29727,286.27863,286.2599,286.24106,286.2222,286.2033,286.1844,286.16544,286.1465,286.12753,286.10855,286.08954
16/06/27 14:00:00,287.24072,287.23242,287.2244,287.21655,287.20895,287.2015,287.19424,287.1871,287.18015,287.1733,287.16656,287.15994,287.15338,287.14685,287.14038,287.13397,287.1276,287.12125,287.11496,287.10864,287.10233,287.09592,287.08948,287.08295,287.0764,287.06973,287.06296,287.0561,287.04913,287.04205,287.03488,287.02753,287.02002,287.01236,287.00452,286.99655,286.98834,286.97995,286.97137,286.96262,286.9537,286.94458,286.93527,286.92572,286.916,286.906,286.89578,286.88535,286.8747,286.86386,286.8528,286.84152,286.83002,286.81827,286.8063,286.79413,286.78174,286.7691,286.7562,286.74304,286.72968,286.71613,286.70236,286.6884,286.67422,286.6598,286.64517,286.63034,286.6153,286.6001,286.5847,286.5691,286.55328,286.53732,286.52118,286.50485,286.48834,286.47168,286.45486,286.43787,286.42072,286.40344,286.38602,286.3684,286.35065,286.33276,286.31476,286.29657,286.27823,286.25977,286.24112,286.22235,286.2034,286.18433,286.16507,286.14563,286.12604,286.1063,286.08633,286.0662
16/06/27 14:15:00,287.28128,287.27023,287.2595,287.2491,287.23898,287.22913,287.21948,287.21008,287.20087,287.19183,287.18298,287.1743,287.16574,287.15732,287.149,287.14072,287.13257,287.12448,287.1164,287.10834,287.10034,287.09238,287.0844,287.07645,287.0684,287.06036,287.05225,287.0441,287.0359,287.02762,287.01923,287.0108,287.00226,286.99356,286.98477,286.97586,286.96686,286.9577,286.94843,286.939,286.92938,286.91962,286.90973,286.8997,286.8895,286.87915,286.86862,286.85788,286.84695,286.83582,286.8245,286.813,286.80133,286.78946,286.7774,286.76514,286.75266,286.73996,286.7271,286.71408,286.70084,286.68738,286.67377,286.66,286.64603,286.63193,286.6176,286.60312,286.58847,286.57364,286.55862,286.54343,286.5281,286.51257,286.49686,286.481,286.465,286.44885,286.43253,286.41608,286.39944,286.3827,286.3658,286.34885,286.33176,286.3145,286.29715,286.27966,286.26205,286.24435,286.22656,286.20868,286.19077,286.17282,286.15482,286.1368,286.11877,286.10077,286.08282,286.0649
