"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 0.0020 m,Flux d'énergie total (W/m2) pour la profondeur 0.0060 m,Flux d'énergie total (W/m2) pour la profondeur 0.0100 m,Flux d'énergie total (W/m2) pour la profondeur 0.0140 m,Flux d'énergie total (W/m2) pour la profondeur 0.0180 m,Flux d'énergie total (W/m2) pour la profondeur 0.0220 m,Flux d'énergie total (W/m2) pour la profondeur 0.0260 m,Flux d'énergie total (W/m2) pour la profondeur 0.0300 m,Flux d'énergie total (W/m2) pour la profondeur 0.0340 m,Flux d'énergie total (W/m2) pour la profondeur 0.0380 m,Flux d'énergie total (W/m2) pour la profondeur 0.0420 m,Flux d'énergie total (W/m2) pour la profondeur 0.0460 m,Flux d'énergie total (W/m2) pour la profondeur 0.0500 m,Flux d'énergie total (W/m2) pour la profondeur 0.0540 m,Flux d'énergie total (W/m2) pour la profondeur 0.0580 m,Flux d'énergie total (W/m2) pour la profondeur 0.0620 m,Flux d'énergie total (W/m2) pour la profondeur 0.0660 m,Flux d'énergie total (W/m2) pour la profondeur 0.0700 m,Flux d'énergie total (W/m2) pour la profondeur 0.0740 m,Flux d'énergie total (W/m2) pour la profondeur 0.0780 m,Flux d'énergie total (W/m2) pour la profondeur 0.0820 m,Flux d'énergie total (W/m2) pour la profondeur 0.0860 m,Flux d'énergie total (W/m2) pour la profondeur 0.0900 m,Flux d'énergie total (W/m2) pour la profondeur 0.0940 m,Flux d'énergie total (W/m2) pour la profondeur 0.0980 m,Flux d'énergie total (W/m2) pour la profondeur 0.1020 m,Flux d'énergie total (W/m2) pour la profondeur 0.1060 m,Flux d'énergie total (W/m2) pour la profondeur 0.1100 m,Flux d'énergie total (W/m2) pour la profondeur 0.1140 m,Flux d'énergie total (W/m2) pour la profondeur 0.1180 m,Flux d'énergie total (W/m2) pour la profondeur 0.1220 m,Flux d'énergie total (W/m2) pour la profondeur 0.1260 m,Flux d'énergie total (W/m2) pour la profondeur 0.1300 m,Flux d'énergie total (W/m2) pour la profondeur 0.1340 m,Flux d'énergie total (W/m2) pour la profondeur 0.1380 m,Flux d'énergie total (W/m2) pour la profondeur 0.1420 m,Flux d'énergie total (W/m2) pour la profondeur 0.1460 m,Flux d'énergie total (W/m2) pour la profondeur 0.1500 m,Flux d'énergie total (W/m2) pour la profondeur 0.1540 m,Flux d'énergie total (W/m2) pour la profondeur 0.1580 m,Flux d'énergie total (W/m2) pour la profondeur 0.1620 m,Flux d'énergie total (W/m2) pour la profondeur 0.1660 m,Flux d'énergie total (W/m2) pour la profondeur 0.1700 m,Flux d'énergie total (W/m2) pour la profondeur 0.1740 m,Flux d'énergie total (W/m2) pour la profondeur 0.1780 m,Flux d'énergie total (W/m2) pour la profondeur 0.1820 m,Flux d'énergie total (W/m2) pour la profondeur 0.1860 m,Flux d'énergie total (W/m2) pour la profondeur 0.1900 m,Flux d'énergie total (W/m2) pour la profondeur 0.1940 m,Flux d'énergie total (W/m2) pour la profondeur 0.1980 m,Flux d'énergie total (W/m2) pour la profondeur 0.2020 m,Flux d'énergie total (W/m2) pour la profondeur 0.2060 m,Flux d'énergie total (W/m2) pour la profondeur 0.2100 m,Flux d'énergie total (W/m2) pour la profondeur 0.2140 m,Flux d'énergie total (W/m2) pour la profondeur 0.2180 m,Flux d'énergie total (W/m2) pour la profondeur 0.2220 m,Flux d'énergie total (W/m2) pour la profondeur 0.2260 m,Flux d'énergie total (W/m2) pour la profondeur 0.2300 m,Flux d'énergie total (W/m2) pour la profondeur 0.2340 m,Flux d'énergie total (W/m2) pour la profondeur 0.2380 m,Flux d'énergie total (W/m2) pour la profondeur 0.2420 m,Flux d'énergie total (W/m2) pour la profondeur 0.2460 m,Flux d'énergie total (W/m2) pour la profondeur 0.2500 m,Flux d'énergie total (W/m2) pour la profondeur 0.2540 m,Flux d'énergie total (W/m2) pour la profondeur 0.2580 m,Flux d'énergie total (W/m2) pour la profondeur 0.2620 m,Flux d'énergie total (W/m2) pour la profondeur 0.2660 m,Flux d'énergie total (W/m2) pour la profondeur 0.2700 m,Flux d'énergie total (W/m2) pour la profondeur 0.2740 m,Flux d'énergie total (W/m2) pour la profondeur 0.2780 m,Flux d'énergie total (W/m2) pour la profondeur 0.2820 m,Flux d'énergie total (W/m2) pour la profondeur 0.2860 m,Flux d'énergie total (W/m2) pour la profondeur 0.2900 m,Flux d'énergie total (W/m2) pour la profondeur 0.2940 m,Flux d'énergie total (W/m2) pour la profondeur 0.2980 m,Flux d'énergie total (W/m2) pour la profondeur 0.3020 m,Flux d'énergie total (W/m2) pour la profondeur 0.3060 m,Flux d'énergie total (W/m2) pour la profondeur 0.3100 m,Flux d'énergie total (W/m2) pour la profondeur 0.3140 m,Flux d'énergie total (W/m2) pour la profondeur 0.3180 m,Flux d'énergie total (W/m2) pour la profondeur 0.3220 m,Flux d'énergie total (W/m2) pour la profondeur 0.3260 m,Flux d'énergie total (W/m2) pour la profondeur 0.3300 m,Flux d'énergie total (W/m2) pour la profondeur 0.3340 m,Flux d'énergie total (W/m2) pour la profondeur 0.3380 m,Flux d'énergie total (W/m2) pour la profondeur 0.3420 m,Flux d'énergie total (W/m2) pour la profondeur 0.3460 m,Flux d'énergie total (W/m2) pour la profondeur 0.3500 m,Flux d'énergie total (W/m2) pour la profondeur 0.3540 m,Flux d'énergie total (W/m2) pour la profondeur 0.3580 m,Flux d'énergie total (W/m2) pour la profondeur 0.3620 m,Flux d'énergie total (W/m2) pour la profondeur 0.3660 m,Flux d'énergie total (W/m2) pour la profondeur 0.3700 m,Flux d'énergie total (W/m2) pour la profondeur 0.3740 m,Flux d'énergie total (W/m2) pour la profondeur 0.3780 m,Flux d'énergie total (W/m2) pour la profondeur 0.3820 m,Flux d'énergie total (W/m2) pour la profondeur 0.3860 m,Flux d'énergie total (W/m2) pour la profondeur 0.3900 m,Flux d'énergie total (W/m2) pour la profondeur 0.3940 m,Flux d'énergie total (W/m2) pour la profondeur 0.3980 m
16/06/28 06:45:00,-0.3158641,-0.691885,-1.4115233,-2.080184,-2.6992593,-3.2712579,-3.7974691,-4.27928,-4.718487,-5.116474,-5.4748993,-5.79582,-6.0807247,-6.3302126,-6.5470176,-6.732622,-6.8883,-7.015764,-7.1164613,-7.192101,-7.2443247,-7.2748427,-7.285128,-7.276782,-7.2508354,-7.2097383,-7.1551905,-7.0878124,-7.009302,-6.922124,-6.8275814,-6.727002,-6.621791,-6.5136437,-6.404201,-6.2952046,-6.188328,-6.0849204,-5.98633,-5.894245,-5.810366,-5.7359867,-5.6735168,-5.623605,-5.5879307,-5.568865,-5.5666823,-5.583784,-5.621828,-5.681811,-5.765742,-5.8746147,-6.010793,-6.1755548,-6.3699403,-6.595936,-6.855207,-7.1487546,-7.47853,-7.846578,-8.25353,-8.701379,-9.1914425,-9.7250395,-10.304506,-10.931132,-11.605925,-12.330509,-13.106873,-13.936678,-14.820885,-15.7608,-16.758753,-17.816366,-18.934269,-20.114115,-21.357872,-22.667177,-24.043335,-25.487288,-27.001347,-28.587154,-30.245659,-31.978493,-33.78694,-35.672962,-37.63786,-39.683243,-41.810738,-44.02163,-46.317196,-48.699394,-51.169506,-53.72881,-56.3796,-59.122467,-61.959015,-64.89121,-67.92033,-69.43317
16/06/28 07:00:00,-5.169153,-5.076619,-4.918025,-4.8151245,-4.7600975,-4.744317,-4.7620387,-4.806204,-4.8709464,-4.9525623,-5.0460386,-5.1479845,-5.255352,-5.3656683,-5.476971,-5.587572,-5.6964197,-5.8015614,-5.90357,-6.0010977,-6.092224,-6.178609,-6.259884,-6.3350406,-6.404456,-6.4698596,-6.531187,-6.588102,-6.6429744,-6.6954684,-6.7466183,-6.797471,-6.848011,-6.8998795,-6.954136,-7.0124207,-7.075742,-7.144485,-7.2206583,-7.3049293,-7.3982887,-7.50345,-7.6204023,-7.7504888,-7.895015,-8.055372,-8.232899,-8.427851,-8.642629,-8.878216,-9.1352825,-9.415168,-9.719539,-10.04939,-10.406018,-10.78977,-11.200287,-11.640909,-12.112657,-12.615133,-13.148971,-13.714817,-14.31471,-14.948635,-15.614501,-16.314327,-17.04908,-17.81737,-18.619867,-19.455862,-20.323616,-21.223795,-22.155695,-23.116592,-24.10546,-25.11987,-26.157104,-27.214457,-28.288853,-29.376575,-30.471844,-31.570614,-32.66713,-33.753944,-34.82365,-35.867805,-36.877644,-37.84136,-38.746147,-39.578873,-40.324394,-40.96554,-41.48347,-41.85565,-42.05821,-42.06525,-41.846542,-41.369473,-40.59709,-40.118694
16/06/28 07:15:00,-5.2461896,-5.2945814,-5.379345,-5.4452786,-5.4965916,-5.5391817,-5.5758886,-5.6101336,-5.6434393,-5.677733,-5.714635,-5.7544465,-5.798688,-5.8469486,-5.89946,-5.95666,-6.017496,-6.0829797,-6.1528,-6.2269917,-6.3064947,-6.389613,-6.4764147,-6.567537,-6.662569,-6.762218,-6.866211,-6.9741726,-7.087079,-7.2056684,-7.330241,-7.4600477,-7.5958104,-7.738217,-7.8875995,-8.045288,-8.21097,-8.385637,-8.569568,-8.763142,-8.968381,-9.185611,-9.414165,-9.654334,-9.908494,-10.176935,-10.459985,-10.758371,-11.071393,-11.401382,-11.748649,-12.11216,-12.492935,-12.891602,-13.307516,-13.742004,-14.196025,-14.667941,-15.158043,-15.666296,-16.192703,-16.736553,-17.296852,-17.873234,-18.466341,-19.073792,-19.694595,-20.328049,-20.971394,-21.625008,-22.286842,-22.953835,-23.624666,-24.29727,-24.968948,-25.637356,-26.300428,-26.955158,-27.597824,-28.226063,-28.837543,-29.429214,-29.99704,-30.538689,-31.053497,-31.537434,-31.988152,-32.406013,-32.790047,-33.139935,-33.457054,-33.74549,-34.008987,-34.253307,-34.48861,-34.727062,-34.983543,-35.275944,-35.629917,-35.81434
16/06/28 07:30:00,-6.0232134,-6.01921,-6.0159154,-6.0259743,-6.047514,-6.0778203,-6.1142845,-6.156125,-6.2039776,-6.255912,-6.3105726,-6.3693094,-6.4320507,-6.4991317,-6.5703115,-6.644473,-6.7229967,-6.80588,-6.892749,-6.9849825,-7.0829506,-7.1859384,-7.294547,-7.4092484,-7.529969,-7.6569724,-7.7903223,-7.9313974,-8.079787,-8.233826,-8.394493,-8.563505,-8.740906,-8.9276,-9.122615,-9.325947,-9.5385475,-9.7597685,-9.9903145,-10.231475,-10.482955,-10.74375,-11.014085,-11.295678,-11.5878935,-11.890031,-12.204428,-12.528691,-12.863184,-13.2092705,-13.565565,-13.932688,-14.310359,-14.699244,-15.098572,-15.507747,-15.926415,-16.352816,-16.788681,-17.233326,-17.685036,-18.143824,-18.60897,-19.079473,-19.553997,-20.032185,-20.514019,-20.997818,-21.482246,-21.966938,-22.449558,-22.92943,-23.406517,-23.878487,-24.344666,-24.80436,-25.255562,-25.696945,-26.128502,-26.549221,-26.957098,-27.351452,-27.732637,-28.099651,-28.450474,-28.785477,-29.104324,-29.403988,-29.684137,-29.94513,-30.183949,-30.398243,-30.586004,-30.744219,-30.866821,-30.947765,-30.980324,-30.953049,-30.851458,-30.770292
16/06/28 07:45:00,-6.748759,-6.75852,-6.778336,-6.800028,-6.824135,-6.852683,-6.885533,-6.9240656,-6.9680405,-7.017689,-7.073007,-7.1344614,-7.202319,-7.2748156,-7.35394,-7.4390793,-7.529215,-7.62708,-7.731619,-7.841102,-7.956912,-8.079077,-8.207253,-8.342044,-8.4828,-8.6298895,-8.783949,-8.944599,-9.112241,-9.28751,-9.470061,-9.659551,-9.857004,-10.061042,-10.272645,-10.491885,-10.718389,-10.9538,-11.196087,-11.445276,-11.702715,-11.968716,-12.241936,-12.522387,-12.811008,-13.106472,-13.408472,-13.718319,-14.035667,-14.359498,-14.6898365,-15.025986,-15.3685665,-15.716913,-16.070091,-16.428383,-16.791718,-17.159481,-17.530369,-17.903614,-18.280218,-18.659903,-19.040266,-19.421986,-19.804058,-20.186472,-20.568216,-20.94828,-21.326319,-21.700296,-22.071585,-22.439503,-22.802032,-23.158518,-23.508282,-23.850967,-24.186249,-24.513119,-24.830242,-25.13696,-25.432228,-25.71642,-25.988203,-26.245216,-26.4878,-26.715284,-26.92735,-27.124014,-27.303608,-27.465462,-27.60857,-27.73363,-27.841663,-27.932693,-28.008083,-28.07022,-28.121468,-28.167252,-28.215347,-28.231792
16/06/28 08:00:00,-7.5902743,-7.5941525,-7.604241,-7.6223974,-7.6479726,-7.6792693,-7.7163525,-7.759115,-7.8082614,-7.8631773,-7.92379,-7.989791,-8.061515,-8.140238,-8.225009,-8.3161955,-8.413655,-8.516099,-8.624908,-8.740719,-8.861904,-8.989404,-9.12355,-9.264036,-9.411529,-9.565279,-9.725315,-9.892343,-10.0646305,-10.242547,-10.427742,-10.619871,-10.817949,-11.02229,-11.2332115,-11.449996,-11.672708,-11.900968,-12.13511,-12.375839,-12.6224575,-12.874298,-13.131645,-13.393835,-13.661573,-13.935192,-14.213942,-14.496499,-14.782899,-15.073792,-15.368837,-15.667341,-15.968976,-16.27406,-16.582237,-16.893198,-17.204948,-17.517773,-17.832668,-18.148312,-18.46371,-18.778507,-19.09439,-19.40896,-19.721224,-20.032225,-20.340261,-20.646004,-20.948097,-21.246887,-21.54171,-21.830536,-22.11471,-22.393225,-22.665422,-22.930967,-23.187824,-23.436699,-23.677586,-23.909122,-24.132023,-24.345276,-24.548199,-24.740131,-24.921078,-25.091393,-25.250088,-25.396809,-25.53191,-25.654388,-25.764256,-25.861534,-25.944868,-26.014614,-26.07044,-26.110336,-26.132967,-26.136314,-26.116344,-26.092247
16/06/28 08:15:00,-8.750015,-8.739337,-8.722082,-8.712581,-8.711944,-8.720128,-8.736651,-8.760966,-8.791748,-8.830852,-8.878741,-8.934733,-8.997772,-9.066908,-9.142674,-9.226416,-9.317181,-9.414321,-9.517492,-9.6266575,-9.743803,-9.867266,-9.996096,-10.131537,-10.273246,-10.420609,-10.573958,-10.733223,-10.8983965,-11.06954,-11.246277,-11.428604,-11.617226,-11.810376,-12.007732,-12.21071,-12.418865,-12.632259,-12.850229,-13.072029,-13.298024,-13.52855,-13.763281,-14.002552,-14.245344,-14.490288,-14.739067,-14.991682,-15.24674,-15.504292,-15.763657,-16.02514,-16.288437,-16.553505,-16.820078,-17.08675,-17.354486,-17.622013,-17.88866,-18.155052,-18.4212,-18.686453,-18.950062,-19.212795,-19.472939,-19.729452,-19.983046,-20.233368,-20.480076,-20.723173,-20.96233,-21.19724,-21.426544,-21.649208,-21.86626,-22.07737,-22.281872,-22.479416,-22.670021,-22.853714,-23.029116,-23.196236,-23.354424,-23.50368,-23.644342,-23.775415,-23.896904,-24.008806,-24.110466,-24.202223,-24.282736,-24.351337,-24.4104,-24.458591,-24.494564,-24.520355,-24.536648,-24.54345,-24.543478,-24.535097
16/06/28 08:30:00,-9.760678,-9.748882,-9.730342,-9.718541,-9.713207,-9.715007,-9.724205,-9.741439,-9.765448,-9.796264,-9.834453,-9.878351,-9.929276,-9.988231,-10.053621,-10.125749,-10.205213,-10.290621,-10.382408,-10.481549,-10.586989,-10.698488,-10.815632,-10.938452,-11.067212,-11.201941,-11.341248,-11.4861765,-11.636755,-11.792271,-11.952716,-12.117075,-12.287031,-12.462246,-12.642018,-12.826008,-13.013245,-13.20368,-13.398676,-13.598585,-13.801694,-14.008002,-14.217506,-14.429508,-14.644043,-14.862101,-15.082298,-15.304003,-15.52791,-15.753677,-15.980898,-16.208572,-16.43743,-16.667095,-16.896856,-17.127089,-17.35679,-17.585947,-17.814543,-18.04158,-18.26743,-18.492722,-18.715763,-18.935917,-19.154182,-19.36988,-19.582003,-19.790207,-19.995516,-20.196926,-20.393768,-20.58635,-20.774374,-20.95818,-21.136398,-21.30838,-21.474443,-21.634624,-21.787899,-21.934258,-22.075083,-22.20935,-22.3364,-22.456236,-22.56852,-22.673256,-22.76911,-22.856415,-22.936203,-23.00679,-23.069199,-23.124111,-23.169506,-23.206398,-23.235474,-23.254717,-23.264137,-23.26374,-23.252518,-23.237556
16/06/28 08:45:00,-10.729284,-10.712403,-10.683514,-10.662422,-10.650168,-10.644649,-10.645485,-10.653147,-10.667931,-10.690372,-10.718876,-10.754148,-10.796888,-10.84466,-10.89942,-10.961935,-11.029091,-11.102272,-11.182112,-11.266949,-11.358201,-11.455081,-11.556572,-11.664057,-11.776514,-11.893942,-12.017347,-12.145746,-12.278761,-12.416355,-12.558558,-12.705704,-12.856435,-13.011088,-13.169319,-13.331804,-13.497826,-13.667046,-13.839848,-14.014845,-14.193047,-14.374166,-14.558147,-14.745039,-14.934449,-15.124365,-15.315835,-15.50943,-15.703832,-15.899071,-16.094845,-16.29215,-16.489918,-16.687508,-16.885612,-17.083874,-17.281975,-17.478508,-17.673496,-17.86731,-18.059277,-18.249697,-18.437881,-18.624224,-18.808704,-18.990313,-19.168732,-19.344593,-19.517582,-19.686703,-19.851255,-20.012295,-20.169449,-20.32171,-20.468777,-20.610973,-20.74899,-20.881107,-21.008022,-21.1301,-21.24598,-21.354641,-21.45744,-21.554726,-21.645164,-21.728415,-21.805836,-21.877094,-21.9405,-21.997068,-22.046822,-22.08908,-22.124187,-22.151482,-22.170963,-22.183659,-22.189228,-22.187685,-22.179028,-22.166664
16/06/28 09:00:00,-11.445434,-11.434813,-11.418969,-11.407766,-11.400355,-11.398695,-11.403084,-11.412806,-11.428599,-11.449213,-11.475551,-11.507608,-11.543929,-11.586636,-11.634407,-11.687544,-11.747085,-11.809884,-11.877392,-11.951599,-12.030773,-12.114643,-12.203842,-12.298337,-12.397477,-12.50028,-12.6080265,-12.720711,-12.837046,-12.956657,-13.080521,-13.209038,-13.341158,-13.476826,-13.61575,-13.756596,-13.9017105,-14.051069,-14.202002,-14.355484,-14.510839,-14.66844,-14.828567,-14.990898,-15.154453,-15.319212,-15.485851,-15.654013,-15.823034,-15.9929695,-16.164068,-16.33429,-16.505062,-16.677017,-16.848782,-17.02007,-17.19019,-17.35983,-17.52898,-17.697285,-17.864403,-18.030033,-18.1945,-18.356754,-18.51685,-18.675446,-18.832195,-18.987774,-19.140165,-19.289036,-19.436409,-19.580603,-19.721607,-19.860786,-19.997162,-20.130348,-20.260674,-20.388187,-20.512539,-20.633728,-20.751757,-20.86731,-20.98106,-21.091988,-21.200432,-21.307419,-21.41193,-21.515327,-21.618965,-21.722164,-21.825592,-21.929594,-22.034842,-22.142687,-22.253803,-22.36887,-22.489227,-22.616226,-22.750877,-22.813705
